Time (s) Auto,Angle (rad) Minus 3pi/4,Angular Velocity (rad/s) Minus 3pi/4
0,0,
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,0,0
1.02,0,0.013
1.04,0,0.039
1.06,0.002,0.092
1.08,0.003,0.183
1.1,0.008,0.301
1.12,0.016,0.445
1.14,0.025,0.589
1.16,0.039,0.733
1.18,0.055,0.877
1.2,0.074,1.021
1.22,0.096,1.165
1.24,0.121,1.283
1.26,0.148,1.388
1.28,0.176,1.466
1.3,0.207,1.518
1.32,0.237,1.532
1.34,0.269,1.505
1.36,0.298,1.44
1.38,0.327,1.335
1.4,0.352,1.191
1.42,0.375,1.008
1.44,0.393,0.785
1.46,0.407,0.524
1.48,0.415,0.223
1.5,0.416,-0.105
1.52,0.41,-0.445
1.54,0.399,-0.812
1.56,0.379,-1.204
1.58,0.35,-1.597
1.6,0.314,-1.99
1.62,0.272,-2.395
1.64,0.218,-2.801
1.66,0.159,-3.181
1.68,0.091,-3.521
1.7,0.017,-3.835
1.72,-0.063,-4.084
1.74,-0.148,-4.254
1.76,-0.234,-4.346
1.78,-0.322,-4.372
1.8,-0.41,-4.32
1.82,-0.496,-4.163
1.84,-0.578,-3.927
1.86,-0.653,-3.626
1.88,-0.724,-3.246
1.9,-0.785,-2.775
1.92,-0.836,-2.225
1.94,-0.875,-1.623
1.96,-0.902,-0.969
1.98,-0.914,-0.275
2,-0.913,0.445
2.02,-0.897,1.178
2.04,-0.866,1.911
2.06,-0.82,2.644
2.08,-0.76,3.364
2.1,-0.685,4.058
2.12,-0.597,4.699
2.14,-0.496,5.275
2.16,-0.385,5.76
2.18,-0.264,6.152
2.2,-0.138,6.453
2.22,-0.005,6.663
2.24,0.13,6.754
2.26,0.267,6.715
2.28,0.401,6.584
2.3,0.531,6.349
2.32,0.657,6.008
2.34,0.773,5.576
2.36,0.88,5.079
2.38,0.977,4.529
2.4,1.062,3.914
2.42,1.134,3.246
2.44,1.192,2.539
2.46,1.236,1.793
2.48,1.264,1.034
2.5,1.277,0.262
2.52,1.275,-0.511
2.54,1.257,-1.309
2.56,1.224,-2.121
2.58,1.172,-2.932
2.6,1.106,-3.757
2.62,1.023,-4.581
2.64,0.922,-5.393
2.66,0.806,-6.152
2.68,0.675,-6.872
2.7,0.531,-7.54
2.72,0.372,-8.129
2.74,0.204,-8.587
2.76,0.027,-8.901
2.78,-0.154,-9.071
2.8,-0.338,-9.071
2.82,-0.52,-8.901
2.84,-0.696,-8.574
2.86,-0.864,-8.129
2.88,-1.023,-7.553
2.9,-1.169,-6.833
2.92,-1.297,-6.008
2.94,-1.409,-5.105
2.96,-1.503,-4.136
2.98,-1.576,-3.102
3,-1.627,-2.016
3.02,-1.657,-0.903
3.04,-1.663,0.249
3.06,-1.648,1.427
3.08,-1.607,2.618
3.1,-1.543,3.809
3.12,-1.455,4.987
3.14,-1.343,6.139
3.16,-1.208,7.239
3.18,-1.052,8.273
3.2,-0.877,9.215
3.22,-0.682,10.014
3.24,-0.473,10.616
3.26,-0.254,11.022
3.28,-0.03,11.244
3.3,0.198,11.284
3.32,0.424,11.126
3.34,0.646,10.799
3.36,0.858,10.328
3.38,1.06,9.739
3.4,1.249,9.058
3.42,1.423,8.312
3.44,1.582,7.527
3.46,1.725,6.702
3.48,1.85,5.877
3.5,1.959,5.066
3.52,2.053,4.254
3.54,2.13,3.443
3.56,2.19,2.631
3.58,2.235,1.833
3.6,2.264,1.034
3.62,2.276,0.209
3.64,2.273,-0.628
3.66,2.251,-1.479
3.68,2.213,-2.356
3.7,2.158,-3.272
3.72,2.083,-4.254
3.74,1.989,-5.275
3.76,1.872,-6.349
3.78,1.736,-7.474
3.8,1.574,-8.639
3.82,1.39,-9.817
3.84,1.181,-10.956
3.86,0.95,-12.03
3.88,0.699,-12.985
3.9,0.429,-13.784
3.92,0.145,-14.347
3.94,-0.149,-14.622
3.96,-0.445,-14.595
3.98,-0.737,-14.294
4,-1.019,-13.744
4.02,-1.29,-12.972
4.04,-1.541,-12.004
4.06,-1.772,-10.891
4.08,-1.978,-9.7
4.1,-2.16,-8.443
4.12,-2.317,-7.147
4.14,-2.446,-5.812
4.16,-2.549,-4.464
4.18,-2.625,-3.102
4.2,-2.673,-1.728
4.22,-2.694,-0.353
4.24,-2.688,1.034
4.26,-2.653,2.435
4.28,-2.59,3.875
4.3,-2.499,5.341
4.32,-2.377,6.846
4.34,-2.226,8.404
4.36,-2.042,9.988
4.38,-1.825,11.572
4.4,-1.579,13.09
4.42,-1.301,14.491
4.44,-0.996,15.708
4.46,-0.669,16.65
4.48,-0.325,17.279
4.5,0.027,17.567
4.52,0.382,17.527
4.54,0.732,17.2
4.56,1.073,16.637
4.58,1.4,15.917
4.6,1.711,15.093
4.62,2.004,14.242
4.64,2.279,13.417
4.66,2.54,12.658
4.68,2.785,11.964
4.7,3.018,11.336
4.72,3.237,10.799
4.74,3.448,10.328
4.76,3.651,9.896
4.78,3.844,9.49
4.8,4.029,9.111
4.82,4.208,8.718
4.84,4.379,8.26
4.86,4.54,7.723
4.88,4.689,7.108
4.9,4.825,6.401
4.92,4.946,5.576
4.94,5.05,4.66
4.96,5.133,3.678
4.98,5.198,2.631
5,5.24,1.532
5.02,5.259,0.406
5.04,5.256,-0.681
5.06,5.231,-1.728
5.08,5.187,-2.736
5.1,5.121,-3.691
5.12,5.038,-4.568
5.14,4.937,-5.341
5.16,4.822,-6.021
5.18,4.695,-6.597
5.2,4.557,-7.082
5.22,4.411,-7.487
5.24,4.257,-7.828
5.26,4.097,-8.103
5.28,3.932,-8.325
5.3,3.764,-8.522
5.32,3.591,-8.718
5.34,3.415,-8.94
5.36,3.234,-9.202
5.38,3.047,-9.53
5.4,2.854,-9.909
5.42,2.652,-10.354
5.44,2.441,-10.891
5.46,2.218,-11.506
5.48,1.981,-12.161
5.5,1.731,-12.802
5.52,1.469,-13.417
5.54,1.194,-13.98
5.56,0.908,-14.425
5.58,0.614,-14.674
5.6,0.317,-14.687
5.62,0.024,-14.451
5.64,-0.264,-13.954
5.66,-0.539,-13.182
5.68,-0.795,-12.174
5.7,-1.027,-10.982
5.72,-1.236,-9.66
5.74,-1.415,-8.234
5.76,-1.566,-6.754
5.78,-1.685,-5.262
5.8,-1.777,-3.77
5.82,-1.836,-2.291
5.84,-1.868,-0.851
5.86,-1.869,0.524
5.88,-1.846,1.846
5.9,-1.795,3.115
5.92,-1.72,4.32
5.94,-1.621,5.419
5.96,-1.502,6.427
5.98,-1.363,7.33
6,-1.206,8.116
6.02,-1.037,8.744
6.04,-0.855,9.189
6.06,-0.666,9.451
6.08,-0.474,9.516
6.1,-0.283,9.386
6.12,-0.096,9.058
6.14,0.082,8.561
6.16,0.248,7.933
6.18,0.401,7.186
6.2,0.537,6.336
6.22,0.655,5.419
6.24,0.754,4.477
6.26,0.834,3.534
6.28,0.895,2.592
6.3,0.938,1.649
6.32,0.961,0.733
6.34,0.966,-0.131
6.36,0.955,-0.942
6.38,0.928,-1.689
6.4,0.886,-2.382
6.42,0.833,-2.998
6.44,0.765,-3.534
6.46,0.69,-3.992
6.48,0.605,-4.346
6.5,0.514,-4.621
6.52,0.419,-4.791
6.54,0.32,-4.856
6.56,0.223,-4.804
6.58,0.127,-4.647
6.6,0.036,-4.398
6.62,-0.05,-4.058
6.64,-0.127,-3.626
6.66,-0.196,-3.115
6.68,-0.253,-2.566
6.7,-0.298,-1.977
6.72,-0.333,-1.374
6.74,-0.353,-0.759
6.76,-0.363,-0.17
6.78,-0.36,0.367
6.8,-0.347,0.864
6.82,-0.325,1.296
6.84,-0.294,1.662
6.86,-0.258,1.95
6.88,-0.215,2.173
6.9,-0.17,2.317
6.92,-0.121,2.356
6.94,-0.074,2.304
6.96,-0.028,2.173
6.98,0.014,1.977
7,0.052,1.702
7.02,0.083,1.361
7.04,0.107,0.956
7.06,0.123,0.497
7.08,0.127,0.013
7.1,0.123,-0.471
7.12,0.108,-0.956
7.14,0.085,-1.44
7.16,0.05,-1.898
7.18,0.008,-2.304
7.2,-0.042,-2.644
7.22,-0.099,-2.932
7.24,-0.16,-3.129
7.26,-0.226,-3.233
7.28,-0.291,-3.233
7.3,-0.357,-3.129
7.32,-0.418,-2.906
7.34,-0.474,-2.553
7.36,-0.522,-2.121
7.38,-0.559,-1.623
7.4,-0.587,-1.073
7.42,-0.603,-0.471
7.44,-0.606,0.17
7.46,-0.597,0.825
7.48,-0.573,1.479
7.5,-0.537,2.121
7.52,-0.489,2.749
7.54,-0.427,3.338
7.56,-0.353,3.875
7.58,-0.272,4.346
7.6,-0.179,4.752
7.62,-0.08,5.079
7.64,0.025,5.301
7.66,0.134,5.419
7.68,0.243,5.432
7.7,0.352,5.341
7.72,0.459,5.157
7.74,0.559,4.883
7.76,0.655,4.529
7.78,0.741,4.11
7.8,0.82,3.6
7.82,0.888,3.024
7.84,0.941,2.395
7.86,0.983,1.728
7.88,1.012,1.021
7.9,1.024,0.275
7.92,1.023,-0.484
7.94,1.005,-1.257
7.96,0.972,-2.042
7.98,0.924,-2.841
8,0.859,-3.639
8.02,0.778,-4.424
8.04,0.682,-5.171
8.06,0.57,-5.877
8.08,0.446,-6.532
8.1,0.308,-7.095
8.12,0.16,-7.553
8.14,0.005,-7.88
8.16,-0.157,-8.077
8.18,-0.32,-8.129
8.2,-0.484,-8.024
8.22,-0.644,-7.775
8.24,-0.796,-7.37
8.26,-0.941,-6.82
8.28,-1.071,-6.152
8.3,-1.188,-5.38
8.32,-1.288,-4.529
8.34,-1.37,-3.587
8.36,-1.433,-2.579
8.38,-1.473,-1.518
8.4,-1.494,-0.419
8.42,-1.491,0.694
8.44,-1.466,1.82
8.46,-1.418,2.958
8.48,-1.348,4.097
8.5,-1.253,5.223
8.52,-1.139,6.309
8.54,-1.001,7.33
8.56,-0.844,8.247
8.58,-0.669,9.032
8.6,-0.481,9.673
8.62,-0.28,10.145
8.64,-0.072,10.42
8.66,0.14,10.485
8.68,0.35,10.38
8.7,0.556,10.119
8.72,0.757,9.713
8.74,0.947,9.176
8.76,1.125,8.535
8.78,1.29,7.841
8.8,1.439,7.082
8.82,1.574,6.283
8.84,1.69,5.472
8.86,1.792,4.647
8.88,1.877,3.809
8.9,1.945,2.945
8.92,1.995,2.094
8.94,2.028,1.244
8.96,2.045,0.38
8.98,2.044,-0.511
9,2.025,-1.414
9.02,1.987,-2.33
9.04,1.932,-3.286
9.06,1.857,-4.294
9.08,1.761,-5.341
9.1,1.643,-6.401
9.12,1.505,-7.487
9.14,1.345,-8.587
9.16,1.161,-9.673
9.18,0.957,-10.695
9.2,0.732,-11.624
9.22,0.49,-12.422
9.24,0.232,-13.011
9.26,-0.035,-13.352
9.28,-0.305,-13.43
9.3,-0.575,-13.26
9.32,-0.839,-12.854
9.34,-1.092,-12.226
9.36,-1.33,-11.414
9.38,-1.55,-10.446
9.4,-1.75,-9.346
9.42,-1.926,-8.155
9.44,-2.077,-6.912
9.46,-2.202,-5.629
9.48,-2.303,-4.307
9.5,-2.375,-2.958
9.52,-2.421,-1.597
9.54,-2.439,-0.209
9.56,-2.43,1.204
9.58,-2.391,2.631
9.6,-2.325,4.071
9.62,-2.229,5.537
9.64,-2.103,7.042
9.66,-1.948,8.561
9.68,-1.761,10.079
9.7,-1.544,11.545
9.72,-1.297,12.907
9.74,-1.026,14.098
9.76,-0.73,15.067
9.78,-0.419,15.773
9.8,-0.096,16.166
9.82,0.232,16.245
9.84,0.558,16.022
9.86,0.877,15.577
9.88,1.183,14.962
9.9,1.477,14.229
9.92,1.753,13.43
9.94,2.014,12.619
9.96,2.257,11.833
9.98,2.487,11.087
10,2.7,10.407
10.02,2.901,9.791
10.04,3.091,9.242
10.06,3.27,8.744
10.08,3.44,8.299
10.1,3.602,7.906
10.12,3.756,7.54
10.14,3.903,7.173
10.16,4.043,6.794
10.18,4.175,6.388
10.2,4.299,5.943
10.22,4.414,5.445
10.24,4.518,4.883
10.26,4.61,4.254
10.28,4.689,3.547
10.3,4.753,2.788
10.32,4.8,1.99
10.34,4.833,1.165
10.36,4.847,0.327
10.38,4.846,-0.511
10.4,4.827,-1.309
10.42,4.793,-2.094
10.44,4.744,-2.854
10.46,4.678,-3.56
10.48,4.599,-4.202
10.5,4.51,-4.778
10.52,4.408,-5.301
10.54,4.296,-5.76
10.56,4.177,-6.139
10.58,4.05,-6.48
10.6,3.918,-6.781
10.62,3.778,-7.069
10.64,3.635,-7.343
10.66,3.484,-7.618
10.68,3.33,-7.919
10.7,3.168,-8.247
10.72,3,-8.626
10.74,2.824,-9.058
10.76,2.639,-9.569
10.78,2.443,-10.145
10.8,2.234,-10.76
10.82,2.012,-11.401
10.84,1.778,-12.056
10.86,1.53,-12.71
10.88,1.269,-13.313
10.9,0.996,-13.797
10.92,0.715,-14.124
10.94,0.429,-14.242
10.96,0.141,-14.111
10.98,-0.14,-13.705
11,-0.41,-13.038
11.02,-0.664,-12.148
11.04,-0.898,-11.048
11.06,-1.109,-9.791
11.08,-1.291,-8.417
11.1,-1.447,-6.964
11.12,-1.571,-5.472
11.14,-1.665,-3.966
11.16,-1.729,-2.474
11.18,-1.764,-1.008
11.2,-1.769,0.406
11.22,-1.747,1.754
11.24,-1.698,3.037
11.26,-1.624,4.241
11.28,-1.527,5.354
11.3,-1.409,6.375
11.32,-1.271,7.291
11.34,-1.115,8.063
11.36,-0.946,8.666
11.38,-0.767,9.071
11.4,-0.58,9.281
11.42,-0.393,9.281
11.44,-0.206,9.071
11.46,-0.027,8.679
11.48,0.143,8.116
11.5,0.3,7.422
11.52,0.441,6.597
11.54,0.565,5.681
11.56,0.669,4.712
11.58,0.754,3.731
11.6,0.818,2.749
11.62,0.864,1.754
11.64,0.889,0.772
11.66,0.894,-0.157
11.68,0.881,-1.008
11.7,0.853,-1.793
11.72,0.809,-2.526
11.74,0.751,-3.181
11.76,0.68,-3.731
11.78,0.6,-4.189
11.8,0.512,-4.555
11.82,0.416,-4.817
11.84,0.317,-4.961
11.86,0.217,-4.974
11.88,0.116,-4.869
11.9,0.02,-4.647
11.92,-0.071,-4.307
11.94,-0.154,-3.875
11.96,-0.226,-3.351
11.98,-0.289,-2.762
12,-0.338,-2.107
12.02,-0.374,-1.414
12.04,-0.394,-0.733
12.06,-0.402,-0.065
12.08,-0.397,0.576
12.1,-0.379,1.191
12.12,-0.349,1.754
12.14,-0.308,2.238
12.16,-0.258,2.644
12.18,-0.201,2.958
12.2,-0.138,3.181
12.22,-0.072,3.312
12.24,-0.005,3.325
12.26,0.063,3.233
12.28,0.126,3.05
12.3,0.185,2.788
12.32,0.239,2.435
12.34,0.284,1.977
12.36,0.319,1.453
12.38,0.342,0.877
12.4,0.355,0.262
12.42,0.353,-0.393
12.44,0.339,-1.06
12.46,0.311,-1.715
12.48,0.27,-2.356
12.5,0.217,-2.971
12.52,0.151,-3.534
12.54,0.074,-4.019
12.56,-0.011,-4.411
12.58,-0.104,-4.699
12.6,-0.201,-4.869
12.62,-0.3,-4.909
12.64,-0.399,-4.817
12.66,-0.495,-4.568
12.68,-0.584,-4.176
12.7,-0.663,-3.665
12.72,-0.732,-3.05
12.74,-0.787,-2.356
12.76,-0.826,-1.584
12.78,-0.851,-0.759
12.8,-0.858,0.092
12.82,-0.847,0.956
12.84,-0.82,1.82
12.86,-0.774,2.683
12.88,-0.712,3.521
12.9,-0.633,4.294
12.92,-0.539,5
12.94,-0.432,5.629
12.96,-0.313,6.165
12.98,-0.184,6.61
13,-0.047,6.925
13.02,0.096,7.108
13.04,0.239,7.147
13.06,0.383,7.055
13.08,0.523,6.846
13.1,0.658,6.506
13.12,0.785,6.061
13.14,0.902,5.524
13.16,1.007,4.909
13.18,1.1,4.215
13.2,1.177,3.469
13.22,1.238,2.683
13.24,1.285,1.859
13.26,1.313,0.995
13.28,1.324,0.105
13.3,1.318,-0.785
13.32,1.293,-1.702
13.34,1.25,-2.644
13.36,1.188,-3.6
13.38,1.106,-4.555
13.4,1.005,-5.485
13.42,0.886,-6.388
13.44,0.749,-7.252
13.46,0.595,-8.05
13.48,0.426,-8.757
13.5,0.243,-9.333
13.52,0.05,-9.739
13.54,-0.149,-9.961
13.56,-0.35,-10.001
13.58,-0.551,-9.857
13.6,-0.748,-9.53
13.62,-0.935,-9.006
13.64,-1.111,-8.325
13.66,-1.269,-7.514
13.68,-1.412,-6.584
13.7,-1.535,-5.563
13.72,-1.635,-4.451
13.74,-1.714,-3.286
13.76,-1.767,-2.068
13.78,-1.797,-0.798
13.8,-1.8,0.497
13.82,-1.777,1.82
13.84,-1.728,3.142
13.86,-1.651,4.464
13.88,-1.549,5.786
13.9,-1.42,7.082
13.92,-1.264,8.325
13.94,-1.085,9.464
13.96,-0.884,10.459
13.98,-0.664,11.297
14,-0.43,11.938
14.02,-0.184,12.37
14.04,0.068,12.566
14.06,0.322,12.514
14.08,0.572,12.252
14.1,0.814,11.82
14.12,1.046,11.257
14.14,1.266,10.577
14.16,1.47,9.804
14.18,1.659,8.993
14.2,1.83,8.168
14.22,1.985,7.343
14.24,2.124,6.532
14.26,2.246,5.733
14.28,2.353,4.948
14.3,2.444,4.163
14.32,2.52,3.403
14.34,2.579,2.657
14.36,2.626,1.924
14.38,2.656,1.191
14.4,2.673,0.432
14.42,2.675,-0.34
14.44,2.659,-1.152
14.46,2.63,-1.99
14.48,2.581,-2.88
14.5,2.515,-3.835
14.52,2.428,-4.856
14.54,2.322,-5.956
14.56,2.191,-7.134
14.58,2.037,-8.391
14.6,1.857,-9.7
14.62,1.649,-11.022
14.64,1.415,-12.318
14.66,1.156,-13.561
14.68,0.872,-14.674
14.7,0.565,-15.577
14.72,0.245,-16.192
14.74,-0.086,-16.493
14.76,-0.419,-16.454
14.78,-0.749,-16.061
14.8,-1.067,-15.355
14.82,-1.367,-14.373
14.84,-1.645,-13.195
14.86,-1.896,-11.886
14.88,-2.121,-10.498
14.9,-2.317,-9.058
14.92,-2.483,-7.579
14.94,-2.62,-6.087
14.96,-2.727,-4.595
14.98,-2.804,-3.115
15,-2.851,-1.649
15.02,-2.87,-0.183
15.04,-2.859,1.283
15.06,-2.818,2.762
15.08,-2.749,4.267
15.1,-2.648,5.825
15.12,-2.516,7.435
15.14,-2.351,9.071
15.16,-2.154,10.734
15.18,-1.923,12.383
15.2,-1.657,13.98
15.22,-1.362,15.446
15.24,-1.037,16.69
15.26,-0.69,17.645
15.28,-0.327,18.247
15.3,0.046,18.483
15.32,0.418,18.352
15.34,0.784,17.894
15.36,1.137,17.2
15.38,1.473,16.349
15.4,1.792,15.407
15.42,2.091,14.438
15.44,2.369,13.496
15.46,2.63,12.619
15.48,2.873,11.807
15.5,3.101,11.048
15.52,3.314,10.354
15.54,3.514,9.726
15.56,3.702,9.15
15.58,3.88,8.587
15.6,4.046,8.011
15.62,4.2,7.422
15.64,4.343,6.807
15.66,4.474,6.139
15.68,4.59,5.406
15.7,4.69,4.621
15.72,4.775,3.783
15.74,4.843,2.919
15.76,4.891,2.042
15.78,4.924,1.165
15.8,4.939,0.301
15.82,4.935,-0.537
15.84,4.917,-1.309
15.86,4.882,-2.016
15.88,4.835,-2.67
15.9,4.775,-3.259
15.92,4.703,-3.783
15.94,4.623,-4.228
15.96,4.533,-4.608
15.98,4.438,-4.922
16,4.335,-5.157
16.02,4.23,-5.328
16.04,4.122,-5.445
16.06,4.012,-5.537
16.08,3.9,-5.603
16.1,3.787,-5.655
16.12,3.674,-5.707
16.14,3.559,-5.76
16.16,3.443,-5.838
16.18,3.327,-5.943
16.2,3.206,-6.087
16.22,3.083,-6.283
16.24,2.956,-6.545
16.26,2.823,-6.885
16.28,2.681,-7.265
16.3,2.532,-7.697
16.32,2.375,-8.207
16.34,2.205,-8.796
16.36,2.023,-9.438
16.38,1.828,-10.105
16.4,1.619,-10.812
16.42,1.396,-11.519
16.44,1.158,-12.187
16.46,0.908,-12.763
16.48,0.646,-13.208
16.5,0.377,-13.47
16.52,0.104,-13.509
16.54,-0.167,-13.326
16.56,-0.432,-12.92
16.58,-0.686,-12.318
16.6,-0.927,-11.532
16.62,-1.15,-10.603
16.64,-1.352,-9.556
16.66,-1.533,-8.443
16.68,-1.69,-7.304
16.7,-1.825,-6.152
16.72,-1.937,-5
16.74,-2.025,-3.848
16.76,-2.091,-2.71
16.78,-2.133,-1.584
16.8,-2.154,-0.471
16.82,-2.152,0.615
16.84,-2.128,1.676
16.86,-2.084,2.736
16.88,-2.02,3.822
16.9,-1.932,4.922
16.92,-1.822,6.008
16.94,-1.692,7.082
16.96,-1.539,8.142
16.98,-1.365,9.163
17,-1.172,10.105
17.02,-0.96,10.917
17.04,-0.732,11.572
17.06,-0.495,12.03
17.08,-0.248,12.278
17.1,-1.08E-15,12.318
17.12,0.247,12.148
17.14,0.489,11.781
17.16,0.721,11.244
17.18,0.939,10.59
17.2,1.145,9.87
17.22,1.335,9.098
17.24,1.51,8.273
17.26,1.667,7.435
17.28,1.806,6.61
17.3,1.931,5.799
17.32,2.039,5.013
17.34,2.13,4.254
17.36,2.209,3.521
17.38,2.271,2.801
17.4,2.32,2.107
17.42,2.355,1.453
17.44,2.378,0.798
17.46,2.388,0.131
17.48,2.383,-0.537
17.5,2.366,-1.191
17.52,2.336,-1.872
17.54,2.292,-2.618
17.56,2.232,-3.416
17.58,2.155,-4.254
17.6,2.062,-5.144
17.62,1.951,-6.1
17.64,1.819,-7.108
17.66,1.667,-8.142
17.68,1.494,-9.202
17.7,1.299,-10.276
17.72,1.082,-11.31
17.74,0.845,-12.239
17.76,0.591,-13.025
17.78,0.322,-13.64
17.8,0.042,-14.046
17.82,-0.243,-14.19
17.84,-0.529,-14.059
17.86,-0.809,-13.679
17.88,-1.079,-13.077
17.9,-1.335,-12.278
17.92,-1.572,-11.323
17.94,-1.789,-10.263
17.96,-1.984,-9.124
17.98,-2.155,-7.919
18,-2.301,-6.676
18.02,-2.422,-5.419
18.04,-2.518,-4.15
18.06,-2.589,-2.867
18.08,-2.633,-1.584
18.1,-2.652,-0.288
18.12,-2.645,1.034
18.14,-2.611,2.382
18.16,-2.549,3.757
18.18,-2.461,5.184
18.2,-2.344,6.676
18.22,-2.194,8.194
18.24,-2.015,9.726
18.26,-1.806,11.257
18.28,-1.565,12.737
18.3,-1.294,14.098
18.32,-0.999,15.276
18.34,-0.68,16.218
18.36,-0.346,16.847
18.38,-0.002,17.135
18.4,0.344,17.109
18.42,0.686,16.794
18.44,1.019,16.258
18.46,1.338,15.564
18.48,1.643,14.792
18.5,1.931,13.993
18.52,2.202,13.195
18.54,2.458,12.435
18.56,2.699,11.742
18.58,2.926,11.14
18.6,3.143,10.629
18.62,3.351,10.184
18.64,3.55,9.791
18.66,3.742,9.451
18.68,3.927,9.137
18.7,4.108,8.81
18.72,4.28,8.43
18.74,4.445,7.985
18.76,4.601,7.487
18.78,4.745,6.898
18.8,4.879,6.205
18.82,4.995,5.406
18.84,5.096,4.503
18.86,5.177,3.508
18.88,5.237,2.435
18.9,5.275,1.335
18.92,5.29,0.223
18.94,5.284,-0.89
18.96,5.254,-1.977
18.98,5.204,-3.011
19,5.133,-3.979
19.02,5.044,-4.869
19.04,4.937,-5.668
19.06,4.816,-6.388
19.08,4.681,-7.029
19.1,4.533,-7.566
19.12,4.376,-7.998
19.14,4.213,-8.364
19.16,4.042,-8.692
19.18,3.864,-8.993
19.2,3.682,-9.268
19.22,3.493,-9.543
19.24,3.3,-9.857
19.26,3.101,-10.223
19.28,2.892,-10.668
19.3,2.675,-11.179
19.32,2.446,-11.768
19.34,2.205,-12.422
19.36,1.949,-13.103
19.38,1.681,-13.797
19.4,1.398,-14.438
19.42,1.101,-14.988
19.44,0.796,-15.368
19.46,0.484,-15.525
19.48,0.171,-15.407
19.5,-0.137,-14.988
19.52,-0.432,-14.281
19.54,-0.712,-13.313
19.56,-0.968,-12.121
19.58,-1.199,-10.747
19.6,-1.4,-9.242
19.62,-1.569,-7.658
19.64,-1.706,-6.048
19.66,-1.811,-4.438
19.68,-1.883,-2.827
19.7,-1.924,-1.23
19.72,-1.932,0.327
19.74,-1.91,1.833
19.76,-1.858,3.259
19.78,-1.778,4.621
19.8,-1.673,5.904
19.82,-1.541,7.108
19.84,-1.387,8.194
19.86,-1.211,9.124
19.88,-1.019,9.883
19.9,-0.814,10.433
19.92,-0.598,10.747
19.94,-0.38,10.799
19.96,-0.163,10.59
19.98,0.047,10.158
20,0.245,9.516
20.02,0.43,8.692
20.04,0.595,7.71
20.06,0.74,6.624
20.08,0.861,5.472
20.1,0.96,4.267
20.12,1.032,3.037
20.14,1.081,1.82
20.16,1.104,0.641
20.18,1.106,-0.497
20.2,1.084,-1.571
20.22,1.041,-2.579
20.24,0.98,-3.508
20.26,0.9,-4.359
20.28,0.804,-5.105
20.3,0.694,-5.733
20.32,0.573,-6.244
20.34,0.443,-6.61
20.36,0.306,-6.82
20.38,0.168,-6.859
20.4,0.03,-6.741
20.42,-0.104,-6.453
20.44,-0.231,-5.995
20.46,-0.346,-5.393
20.48,-0.448,-4.673
20.5,-0.534,-3.862
20.52,-0.603,-2.945
20.54,-0.653,-1.963
20.56,-0.682,-0.969
20.58,-0.691,0.013
20.6,-0.682,0.969
20.62,-0.652,1.885
20.64,-0.605,2.736
20.66,-0.542,3.521
20.68,-0.463,4.215
20.7,-0.371,4.791
20.72,-0.27,5.223
20.74,-0.16,5.524
20.76,-0.047,5.694
20.78,0.069,5.72
20.8,0.184,5.603
20.82,0.295,5.341
20.84,0.399,4.948
20.86,0.495,4.424
20.88,0.578,3.796
20.9,0.647,3.076
20.92,0.702,2.278
20.94,0.74,1.414
20.96,0.759,0.497
20.98,0.76,-0.445
21,0.741,-1.388
21.02,0.704,-2.33
21.04,0.649,-3.259
21.06,0.573,-4.176
21.08,0.481,-5.04
21.1,0.371,-5.799
21.12,0.247,-6.44
21.14,0.112,-6.951
21.16,-0.033,-7.317
21.18,-0.184,-7.527
21.2,-0.336,-7.54
21.22,-0.489,-7.357
21.24,-0.633,-6.99
21.26,-0.77,-6.453
21.28,-0.894,-5.76
21.3,-1.002,-4.922
21.32,-1.092,-3.966
21.34,-1.162,-2.932
21.36,-1.21,-1.833
21.38,-1.236,-0.694
21.4,-1.238,0.471
21.42,-1.217,1.662
21.44,-1.172,2.841
21.46,-1.103,4.006
21.48,-1.012,5.118
21.5,-0.897,6.152
21.52,-0.763,7.095
21.54,-0.613,7.919
21.56,-0.445,8.6
21.58,-0.265,9.111
21.6,-0.079,9.451
21.62,0.115,9.621
21.64,0.309,9.608
21.66,0.501,9.412
21.68,0.688,9.071
21.7,0.866,8.587
21.72,1.034,7.985
21.74,1.186,7.291
21.76,1.326,6.532
21.78,1.448,5.72
21.8,1.555,4.856
21.82,1.643,3.966
21.84,1.714,3.05
21.86,1.766,2.107
21.88,1.799,1.139
21.9,1.811,0.157
21.92,1.805,-0.838
21.94,1.778,-1.846
21.96,1.731,-2.893
21.98,1.663,-3.979
22,1.572,-5.105
22.02,1.459,-6.244
22.04,1.323,-7.37
22.06,1.164,-8.482
