"Time (s) Run #1","Angle, Ch P2 (rad) Run #1","Angular Velocity, Ch P2 (rad/s) Run #1","State Run #1"
10.500,-1.422,1.414,
10.550,-1.357,1.435,
10.600,-1.286,1.686,
10.650,-1.197,2.194,
10.664,,,1.00
10.700,-1.076,2.948,
10.750,-0.909,3.906,
10.758,,,0.00
10.800,-0.690,4.969,
10.850,-0.412,5.969,
10.900,-0.083,6.681,
10.950,0.275,6.849,
11.000,0.628,6.273,
11.050,0.931,4.885,
11.100,1.142,2.786,
11.150,1.227,0.215,
11.200,1.169,-2.513,
11.250,0.969,-5.074,
11.300,0.646,-7.179,
11.350,0.228,-8.639,
11.400,-0.243,-9.420,
11.450,-0.734,-9.660,
11.500,-1.219,-9.608,
11.550,-1.695,-9.530,
11.600,-2.165,-9.655,
11.650,-2.647,-10.090,
11.700,-3.164,-10.765,
11.714,,,1.00
11.750,-3.723,-11.373,
11.800,-4.318,-11.446,
11.808,,,0.00
11.850,-4.904,-10.535,
11.900,-5.416,-8.409,
11.950,-5.785,-5.210,
12.000,-5.960,-1.367,
12.050,-5.923,2.571,
12.100,-5.688,6.063,
12.150,-5.286,8.650,
12.200,-4.778,10.022,
12.250,-4.238,10.168,
12.300,-3.729,9.372,
12.350,-3.285,8.016,
12.400,-2.920,6.430,
12.450,-2.642,4.817,
12.500,-2.443,3.304,
12.550,-2.317,1.969,
12.600,-2.254,0.864,
12.650,-2.240,0.026,
12.700,-2.260,-0.539,
12.750,-2.303,-0.859,
12.767,,,1.00
12.800,-2.353,-0.974,
12.850,-2.405,-0.927,
12.861,,,0.00
12.900,-2.450,-0.749,
12.950,-2.483,-0.471,
13.000,-2.499,-0.136,
13.050,-2.498,0.220,
13.100,-2.477,0.571,
13.150,-2.439,0.885,
13.200,-2.386,1.121,
13.250,-2.323,1.251,
13.300,-2.257,1.241,
13.350,-2.193,1.073,
13.400,-2.144,0.744,
13.450,-2.114,0.262,
13.500,-2.113,-0.351,
13.550,-2.146,-1.089,
13.600,-2.218,-1.932,
13.650,-2.336,-2.838,
13.700,-2.502,-3.754,
13.750,-2.713,-4.639,
13.800,-2.967,-5.472,
13.820,,,1.00
13.850,-3.263,-6.236,
13.900,-3.594,-6.854,
13.913,,,0.00
13.950,-3.957,-7.179,
14.000,-4.329,-7.021,
14.050,-4.681,-6.231,
14.100,-4.976,-4.791,
14.150,-5.179,-2.843,
14.200,-5.268,-0.654,
14.250,-5.242,1.450,
14.300,-5.110,3.168,
14.350,-4.902,4.273,
14.400,-4.657,4.644,
14.450,-4.412,4.288,
14.500,-4.207,3.314,
14.550,-4.067,1.895,
14.600,-4.009,0.251,
14.650,-4.042,-1.408,
14.700,-4.156,-2.885,
14.750,-4.342,-3.985,
14.800,-4.574,-4.529,
14.850,-4.819,-4.383,
14.873,,,1.00
14.900,-5.038,-3.519,
14.950,-5.193,-2.037,
14.967,,,0.00
15.000,-5.256,-0.147,
15.050,-5.212,1.874,
15.100,-5.063,3.728,
15.150,-4.824,5.173,
15.200,-4.525,6.053,
15.250,-4.197,6.325,
15.300,-3.874,6.058,
15.350,-3.578,5.388,
15.400,-3.327,4.440,
15.450,-3.127,3.293,
15.500,-2.992,1.984,
15.550,-2.925,0.539,
15.600,-2.934,-1.026,
15.650,-3.024,-2.712,
15.700,-3.201,-4.477,
15.750,-3.471,-6.220,
15.800,-3.830,-7.723,
15.850,-4.262,-8.681,
15.900,-4.728,-8.755,
15.921,,,1.00
15.950,-5.177,-7.702,
16.000,-5.540,-5.524,
16.014,,,0.00
16.050,-5.760,-2.492,
16.100,-5.803,0.942,
16.150,-5.663,4.288,
16.200,-5.355,7.090,
16.250,-4.921,9.001,
16.300,-4.417,9.886,
16.350,-3.900,9.870,
16.400,-3.410,9.257,
16.450,-2.967,8.388,
16.500,-2.573,7.508,
16.550,-2.221,6.744,
16.600,-1.904,6.121,
16.650,-1.613,5.623,
16.700,-1.345,5.231,
16.750,-1.093,4.938,
16.800,-0.855,4.749,
16.850,-0.622,4.655,
16.900,-0.391,4.602,
16.950,-0.160,4.513,
16.964,,,1.00
17.000,0.064,4.304,
17.050,0.276,3.911,
17.057,,,0.00
17.100,0.463,3.299,
17.150,0.614,2.456,
17.200,0.716,1.424,
17.250,0.760,0.288,
17.300,0.745,-0.843,
17.350,0.672,-1.880,
17.400,0.551,-2.759,
17.450,0.390,-3.435,
17.500,0.199,-3.896,
17.550,-0.006,-4.163,
17.600,-0.221,-4.283,
17.650,-0.438,-4.304,
17.700,-0.653,-4.252,
17.750,-0.866,-4.142,
17.800,-1.070,-3.969,
17.850,-1.264,-3.723,
17.900,-1.445,-3.388,
17.950,-1.607,-2.932,
18.000,-1.744,-2.351,
18.009,,,1.00
18.050,-1.846,-1.655,
18.100,-1.912,-0.864,
18.102,,,0.00
18.150,-1.935,0.000,
18.200,-1.913,0.937,
18.250,-1.844,1.953,
18.300,-1.722,3.074,
18.350,-1.541,4.309,
18.400,-1.294,5.603,
18.450,-0.979,6.828,
18.500,-0.603,7.760,
18.550,-0.184,8.116,
18.600,0.239,7.624,
18.650,0.614,6.121,
18.700,0.886,3.691,
18.750,1.005,0.654,
18.800,0.955,-2.513,
18.850,0.741,-5.325,
18.900,0.396,-7.388,
18.950,-0.033,-8.472,
19.000,-0.487,-8.587,
19.050,-0.917,-7.953,
19.060,,,1.00
19.100,-1.296,-6.885,
19.150,-1.610,-5.650,
19.154,,,0.00
19.200,-1.860,-4.424,
19.250,-2.048,-3.304,
19.300,-2.185,-2.314,
19.350,-2.276,-1.461,
19.400,-2.326,-0.749,
19.450,-2.345,-0.194,
19.500,-2.340,0.188,
19.550,-2.320,0.393,
19.600,-2.295,0.403,
19.650,-2.273,0.204,
19.700,-2.267,-0.215,
19.750,-2.287,-0.848,
19.800,-2.345,-1.676,
19.850,-2.449,-2.670,
19.900,-2.608,-3.801,
19.950,-2.826,-5.047,
20.000,-3.109,-6.351,
20.050,-3.462,-7.587,
20.100,-3.877,-8.519,
20.112,,,1.00
20.150,-4.334,-8.849,
20.200,-4.793,-8.294,
20.205,,,0.00
20.250,-5.201,-6.718,
20.300,-5.498,-4.220,
20.350,-5.644,-1.141,
20.400,-5.616,2.058,
20.450,-5.426,4.922,
20.500,-5.099,7.063,
20.550,-4.684,8.252,
20.600,-4.238,8.451,
20.650,-3.811,7.849,
20.700,-3.437,6.718,
20.750,-3.131,5.294,
20.800,-2.903,3.723,
20.850,-2.757,2.094,
20.900,-2.694,0.482,
20.950,-2.711,-1.073,
21.000,-2.804,-2.550,
21.050,-2.969,-3.943,
21.100,-3.201,-5.226,
21.150,-3.497,-6.325,
21.164,,,1.00
21.200,-3.844,-7.110,
21.250,-4.224,-7.398,
21.258,,,0.00
