"Time (s) Skæv 5.5. time","Angle, Ch P2 (rad) Skæv 5.5. time","Angular Acceleration, Ch P2 (rad/s²) Skæv 5.5. time","State Skæv 5.5. time"
0.000,0.000,,
0.050,0.000,,
0.100,0.000,0.000,
0.150,0.000,0.000,
0.200,0.000,0.000,
0.250,0.000,0.000,
0.300,0.000,0.000,
0.350,0.000,0.000,
0.400,0.000,0.000,
0.450,0.000,0.000,
0.500,0.000,0.000,
0.550,0.000,0.000,
0.600,0.000,0.000,
0.650,0.000,0.000,
0.700,0.000,0.000,
0.750,0.000,0.000,
0.800,0.000,0.000,
0.850,0.000,0.000,
0.900,0.000,0.000,
0.950,0.000,0.000,
1.000,0.000,0.000,
1.050,0.000,0.000,
1.100,0.000,0.000,
1.150,0.000,0.000,
1.200,0.000,0.000,
1.250,0.000,0.000,
1.300,0.000,0.000,
1.350,0.000,0.000,
1.400,0.000,0.000,
1.450,0.000,0.000,
1.500,0.000,0.000,
1.550,0.000,0.000,
1.600,0.000,0.000,
1.650,0.000,0.000,
1.700,0.000,0.000,
1.750,0.000,0.017,
1.800,0.000,0.192,
1.850,0.000,0.785,
1.900,0.000,1.972,
1.905,,,0.00
1.942,,,1.00
1.950,0.002,3.578,
1.955,,,0.00
2.000,0.014,5.027,
2.050,0.041,5.603,
2.100,0.085,4.730,
2.150,0.146,2.199,
2.200,0.217,-1.693,
2.250,0.284,-6.213,
2.300,0.336,-10.455,
2.350,0.358,-13.666,
2.400,0.342,-15.464,
2.450,0.284,-15.778,
2.500,0.184,-14.678,
2.550,0.044,-12.182,
2.600,-0.130,-8.290,
2.650,-0.328,-3.177,
2.700,-0.537,2.723,
2.750,-0.738,8.814,
2.800,-0.917,14.608,
2.850,-1.057,19.810,
2.900,-1.147,24.260,
2.946,,,1.00
2.950,-1.173,27.821,
2.960,,,0.00
2.984,,,1.00
2.999,,,0.00
3.000,-1.128,30.229,
3.033,,,1.00
3.043,,,0.00
3.050,-1.004,30.875,
3.100,-0.798,28.571,
3.150,-0.509,21.817,
3.200,-0.151,9.774,
3.250,0.247,-6.650,
3.300,0.633,-24.609,
3.350,0.950,-40.387,
3.400,1.151,-50.946,
3.450,1.208,-54.786,
3.500,1.111,-51.906,
3.550,0.870,-43.337,
3.600,0.511,-30.823,
3.650,0.071,-16.738,
3.700,-0.410,-3.735,
3.750,-0.889,5.917,
3.800,-1.340,11.135,
3.850,-1.753,12.287,
3.900,-2.128,10.681,
3.950,-2.476,7.871,
4.000,-2.804,5.166,
4.015,,,1.00
4.029,,,0.00
4.050,-3.121,3.508,
4.053,,,1.00
4.068,,,0.00
4.100,-3.435,3.491,
4.101,,,1.00
4.111,,,0.00
4.150,-3.745,5.358,
4.200,-4.045,9.041,
4.250,-4.328,14.085,
4.300,-4.576,19.513,
4.350,-4.774,23.946,
4.400,-4.906,26.005,
4.450,-4.962,24.888,
4.500,-4.950,20.612,
4.550,-4.879,13.840,
4.600,-4.771,5.637,
4.650,-4.646,-2.775,
4.700,-4.533,-10.140,
4.750,-4.450,-15.411,
4.800,-4.412,-17.890,
4.850,-4.428,-17.261,
4.900,-4.492,-13.596,
4.950,-4.599,-7.330,
5.000,-4.728,0.646,
5.050,-4.857,9.076,
5.082,,,1.00
5.096,,,0.00
5.100,-4.961,16.546,
5.121,,,1.00
5.135,,,0.00
5.150,-5.017,21.852,
5.168,,,1.00
5.179,,,0.00
5.200,-5.011,24.295,
5.250,-4.937,23.736,
5.300,-4.797,20.543,
5.350,-4.601,15.481,
5.400,-4.364,9.582,
5.450,-4.104,3.910,
5.500,-3.837,-0.803,
5.550,-3.577,-4.276,
5.600,-3.330,-6.597,
5.650,-3.099,-8.011,
5.700,-2.893,-8.779,
5.750,-2.708,-9.128,
5.800,-2.546,-9.006,
5.850,-2.408,-8.098,
5.900,-2.295,-6.004,
5.950,-2.199,-2.513,
6.000,-2.113,2.286,
6.050,-2.025,8.063,
6.100,-1.916,14.312,
6.145,,,1.00
6.150,-1.772,20.473,
6.159,,,0.00
6.183,,,1.00
6.197,,,0.00
6.200,-1.576,25.726,
6.229,,,1.00
6.240,,,0.00
6.250,-1.312,28.606,
6.300,-0.966,26.948,
6.350,-0.536,18.780,
6.400,-0.038,3.770,
6.450,0.485,-15.952,
6.500,0.969,-36.443,
6.550,1.351,-53.651,
6.600,1.582,-64.891,
6.650,1.634,-69.063,
6.700,1.495,-65.939,
6.750,1.178,-55.781,
6.800,0.702,-39.898,
6.850,0.116,-21.520,
6.900,-0.517,-5.341,
6.950,-1.144,4.573,
7.000,-1.734,6.929,
7.050,-2.292,3.787,
7.100,-2.838,-0.628,
7.150,-3.394,-1.641,
7.198,,,1.00
7.200,-3.974,4.276,
7.212,,,0.00
7.236,,,1.00
7.250,-4.568,18.047,
7.250,,,0.00
7.284,,,1.00
7.294,,,0.00
7.300,-5.135,37.210,
7.350,-5.609,56.619,
7.400,-5.927,70.651,
7.450,-6.040,75.451,
7.500,-5.938,69.970,
7.550,-5.639,55.798,
7.600,-5.185,36.565,
7.650,-4.640,17.122,
7.700,-4.065,2.042,
7.750,-3.508,-6.039,
7.800,-2.985,-7.348,
7.850,-2.490,-4.433,
7.900,-2.007,-0.768,
7.950,-1.519,0.506,
8.000,-1.018,-2.618,
8.050,-0.509,-10.647,
8.100,-0.016,-22.305,
8.150,0.426,-34.784,
8.200,0.773,-44.698,
8.250,0.991,-49.445,
8.251,,,1.00
8.266,,,0.00
8.289,,,1.00
8.300,1.071,-48.049,
8.303,,,0.00
8.337,,,1.00
8.346,,,0.00
8.350,1.016,-40.998,
8.400,0.850,-29.688,
8.450,0.602,-15.935,
8.500,0.314,-1.833,
8.550,0.025,10.542,
8.600,-0.228,19.583,
8.650,-0.419,24.504,
8.700,-0.542,25.395,
8.750,-0.592,22.881,
8.800,-0.578,17.855,
8.850,-0.518,11.275,
8.900,-0.427,4.067,
8.950,-0.327,-2.810,
9.000,-0.237,-8.325,
9.050,-0.173,-11.467,
9.100,-0.146,-11.606,
9.150,-0.157,-8.866,
9.200,-0.195,-4.049,
9.250,-0.243,1.710,
9.300,-0.289,7.313,
9.308,,,1.00
9.322,,,0.00
9.346,,,1.00
9.350,-0.313,11.851,
9.360,,,0.00
9.393,,,1.00
9.400,-0.302,14.643,
9.403,,,0.00
9.450,-0.250,15.237,
9.500,-0.154,13.334,
9.550,-0.017,8.866,
9.600,0.146,2.164,
9.650,0.320,-5.986,
9.700,0.479,-14.399,
9.750,0.600,-21.747,
9.800,0.661,-26.826,
9.850,0.646,-28.903,
9.900,0.551,-27.855,
9.950,0.380,-23.981,
10.000,0.145,-17.802,
10.050,-0.141,-9.983,
10.100,-0.452,-1.431,
10.150,-0.768,6.807,
10.200,-1.062,13.823,
10.250,-1.316,19.251,
10.300,-1.519,23.318,
10.350,-1.662,26.564,
10.366,,,1.00
10.380,,,0.00
10.400,-1.739,29.514,
10.404,,,1.00
10.419,,,0.00
10.450,-1.740,32.428,
10.453,,,1.00
10.462,,,0.00
10.500,-1.663,35.168,
10.550,-1.497,36.844,
10.600,-1.233,35.692,
10.650,-0.869,29.461,
10.700,-0.412,16.546,
10.750,0.107,-2.670,
10.800,0.630,-25.307,
10.850,1.085,-46.914,
10.900,1.409,-63.390,
10.950,1.552,-72.274,
11.000,1.495,-72.641,
11.050,1.239,-64.438,
11.100,0.800,-48.695,
11.150,0.221,-28.484,
11.200,-0.426,-8.849,
11.250,-1.078,5.219,
11.300,-1.690,11.292,
11.350,-2.254,10.577,
11.400,-2.787,6.912,
11.420,,,1.00
11.434,,,0.00
11.450,-3.305,4.800,
11.457,,,1.00
11.471,,,0.00
11.500,-3.828,7.662,
11.504,,,1.00
11.514,,,0.00
11.550,-4.350,16.650,
11.600,-4.844,30.281,
11.650,-5.267,44.890,
11.700,-5.568,56.060,
11.750,-5.708,60.371,
11.800,-5.675,56.514,
11.850,-5.484,45.344,
11.900,-5.165,29.304,
11.950,-4.769,11.746,
12.000,-4.350,-4.032,
12.050,-3.954,-15.813,
12.100,-3.610,-22.986,
12.150,-3.332,-26.058,
12.200,-3.126,-25.848,
12.250,-2.991,-23.161,
12.300,-2.919,-18.815,
12.350,-2.893,-13.701,
12.400,-2.903,-8.552,
12.450,-2.933,-3.840,
12.468,,,1.00
12.482,,,0.00
12.500,-2.969,0.192,
12.506,,,1.00
12.520,,,0.00
12.550,-3.005,3.491,
12.553,,,1.00
12.563,,,0.00
12.600,-3.028,6.109,
12.650,-3.036,8.203,
12.700,-3.024,9.861,
12.750,-2.985,11.048,
12.800,-2.917,11.729,
12.850,-2.818,11.990,
12.900,-2.689,12.078,
12.950,-2.531,12.182,
13.000,-2.342,12.287,
13.050,-2.122,12.165,
13.100,-1.871,11.467,
13.150,-1.588,9.809,
13.200,-1.279,6.789,
13.250,-0.947,2.094,
13.300,-0.606,-4.259,
13.350,-0.272,-11.694,
13.400,0.033,-19.059,
13.450,0.287,-24.923,
13.500,0.471,-28.047,
13.523,,,1.00
13.537,,,0.00
13.550,0.576,-27.838,
13.560,,,1.00
13.574,,,0.00
13.600,0.603,-24.504,
13.606,,,1.00
13.617,,,0.00
13.650,0.564,-18.867,
13.700,0.474,-11.938,
13.750,0.355,-4.677,
13.800,0.225,1.972,
13.850,0.102,7.069,
13.900,0.005,9.896,
13.950,-0.061,10.245,
14.000,-0.097,8.412,
14.050,-0.108,4.992,
14.100,-0.104,0.716,
14.150,-0.099,-3.578,
14.200,-0.104,-7.034,
14.250,-0.130,-8.866,
14.300,-0.185,-8.500,
14.350,-0.267,-5.742,
14.400,-0.369,-0.908,
14.450,-0.478,5.201,
14.500,-0.572,11.519,
14.550,-0.636,17.034,
14.571,,,1.00
14.585,,,0.00
14.600,-0.653,20.996,
14.609,,,1.00
14.623,,,0.00
14.650,-0.613,22.934,
14.656,,,1.00
14.665,,,0.00
14.700,-0.511,22.410,
14.750,-0.346,18.832,
14.800,-0.124,11.764,
14.850,0.137,1.501,
14.900,0.407,-10.647,
14.950,0.649,-22.672,
15.000,0.829,-32.550,
15.050,0.919,-38.746,
15.100,0.898,-40.457,
15.150,0.768,-37.629,
15.200,0.533,-30.805,
15.250,0.212,-21.084,
15.300,-0.163,-10.053,
15.350,-0.564,0.471,
15.400,-0.957,8.919,
15.450,-1.318,14.556,
15.500,-1.637,17.628,
15.550,-1.907,18.989,
15.600,-2.130,19.565,
15.616,,,1.00
15.630,,,0.00
15.650,-2.303,19.949,
15.654,,,1.00
15.668,,,0.00
15.700,-2.427,20.455,
15.701,,,1.00
15.711,,,0.00
15.750,-2.501,21.241,
15.800,-2.521,22.410,
15.850,-2.488,24.068,
15.900,-2.395,26.180,
15.950,-2.238,28.449,
16.000,-2.011,30.107,
16.050,-1.703,29.758,
16.100,-1.313,25.377,
16.150,-0.845,14.905,
16.200,-0.319,-2.339,
16.250,0.220,-24.330,
16.300,0.697,-46.478,
16.350,1.045,-63.443,
16.400,1.206,-71.244,
16.450,1.164,-68.312,
16.500,0.924,-55.432,
16.550,0.528,-35.395,
16.600,0.033,-12.462,
16.650,-0.485,8.657,
16.674,,,1.00
16.688,,,0.00
16.700,-0.966,24.435,
16.712,,,1.00
16.727,,,0.00
16.750,-1.365,33.737,
16.760,,,1.00
16.770,,,0.00
16.800,-1.667,37.717,
16.850,-1.869,38.537,
16.900,-1.973,38.066,
16.950,-1.982,37.437,
17.000,-1.899,36.949,
17.050,-1.725,36.006,
17.100,-1.458,33.091,
17.150,-1.096,26.145,
17.200,-0.657,13.544,
17.250,-0.165,-4.765,
17.300,0.328,-26.459,
17.350,0.752,-47.211,
17.400,1.043,-62.273,
17.450,1.153,-68.208,
17.500,1.065,-63.809,
17.550,0.795,-50.126,
17.600,0.382,-30.142,
17.650,-0.113,-8.203,
17.700,-0.619,11.240,
17.740,,,1.00
17.750,-1.079,25.220,
17.754,,,0.00
17.778,,,1.00
17.792,,,0.00
17.800,-1.459,33.126,
17.826,,,1.00
17.836,,,0.00
17.850,-1.745,36.268,
17.900,-1.935,36.687,
17.950,-2.033,36.181,
18.000,-2.040,35.867,
18.050,-1.962,36.006,
18.100,-1.794,35.901,
18.150,-1.533,33.982,
18.200,-1.178,28.135,
18.250,-0.738,16.528,
18.300,-0.239,-1.239,
18.350,0.273,-23.178,
18.400,0.727,-45.064,
18.450,1.056,-61.977,
18.500,1.203,-70.110,
18.550,1.150,-67.789,
18.600,0.902,-55.554,
18.650,0.495,-36.024,
18.700,-0.013,-13.544,
18.750,-0.545,7.016,
18.800,-1.043,22.131,
18.808,,,1.00
18.822,,,0.00
18.846,,,1.00
18.850,-1.466,30.770,
18.861,,,0.00
18.893,,,1.00
18.900,-1.800,34.104,
18.905,,,0.00
18.950,-2.042,34.174,
19.000,-2.196,32.865,
19.050,-2.270,31.503,
19.100,-2.265,30.805,
19.150,-2.188,30.945,
19.200,-2.034,31.416,
19.250,-1.802,31.049,
19.300,-1.486,28.082,
19.350,-1.089,20.595,
19.400,-0.625,7.330,
19.450,-0.126,-11.240,
19.500,0.355,-32.201,
19.550,0.751,-50.859,
19.600,0.997,-62.570,
19.650,1.062,-64.595,
19.700,0.939,-56.706,
19.750,0.655,-40.841,
19.800,0.256,-20.403,
19.850,-0.195,0.576,
19.879,,,1.00
19.893,,,0.00
19.900,-0.633,18.501,
19.916,,,1.00
19.931,,,0.00
19.950,-1.012,31.294,
19.963,,,1.00
19.973,,,0.00
20.000,-1.296,38.711,
20.050,-1.473,41.923,
20.100,-1.543,42.551,
20.150,-1.502,41.713,
20.200,-1.357,39.410,
20.250,-1.109,34.366,
20.300,-0.763,24.766,
20.350,-0.339,9.582,
20.400,0.124,-10.245,
20.450,0.567,-31.625,
20.500,0.924,-50.405,
20.550,1.137,-62.814,
20.600,1.170,-66.462,
20.650,1.015,-60.633,
20.700,0.685,-46.373,
20.750,0.223,-26.704,
20.800,-0.309,-6.144,
20.850,-0.844,10.856,
20.900,-1.330,21.782,
20.936,,,1.00
20.950,-1.748,26.738,
20.950,,,0.00
20.974,,,1.00
20.988,,,0.00
21.000,-2.089,27.489,
21.021,,,1.00
21.031,,,0.00
21.050,-2.358,26.093,
21.100,-2.562,23.963,
21.150,-2.705,21.677,
21.200,-2.796,19.338,
21.250,-2.835,16.965,
21.300,-2.834,14.696,
21.350,-2.798,12.636,
21.400,-2.728,10.734,
21.450,-2.633,8.901,
21.500,-2.516,7.103,
21.550,-2.380,5.411,
21.600,-2.232,4.049,
21.650,-2.075,3.334,
21.700,-1.912,3.595,
21.750,-1.744,5.027,
21.800,-1.565,7.505,
21.850,-1.370,10.489,
21.900,-1.148,12.933,
21.950,-0.889,13.509,
21.997,,,1.00
22.000,-0.589,10.978,
22.011,,,0.00
22.035,,,1.00
22.049,,,0.00
22.050,-0.251,4.643,
22.081,,,1.00
22.093,,,0.00
22.100,0.108,-5.149,
22.150,0.462,-16.842,
22.200,0.771,-28.135,
22.250,1.002,-36.844,
22.300,1.131,-41.574,
22.350,1.145,-41.836,
22.400,1.043,-37.839,
22.450,0.839,-30.281,
22.500,0.553,-20.298,
22.550,0.212,-9.477,
22.600,-0.149,0.367,
22.650,-0.501,7.749,
22.700,-0.826,12.078,
22.750,-1.114,13.753,
22.800,-1.362,13.840,
22.850,-1.577,13.544,
22.900,-1.759,13.736,
22.950,-1.910,14.783,
23.000,-2.026,16.616,
23.050,-2.102,19.042,
23.062,,,1.00
23.077,,,0.00
23.100,-2.130,22.026,
23.101,,,1.00
23.115,,,0.00
23.149,,,1.00
23.150,-2.105,25.674,
23.158,,,0.00
23.200,-2.018,29.880,
23.250,-1.858,33.912,
23.300,-1.610,36.181,
23.350,-1.263,34.313,
23.400,-0.815,25.831,
23.450,-0.278,9.530,
23.500,0.303,-13.055,
23.550,0.858,-37.664,
23.600,1.308,-59.184,
23.650,1.588,-73.810,
23.700,1.663,-79.779,
23.750,1.521,-76.445,
23.800,1.162,-63.879,
23.850,0.622,-43.947,
23.900,-0.042,-21.293,
23.950,-0.746,-2.164,
24.000,-1.428,8.831,
24.050,-2.061,11.188,
24.100,-2.652,8.430,
24.129,,,1.00
24.144,,,0.00
24.150,-3.223,6.004,
24.168,,,1.00
24.182,,,0.00
24.200,-3.797,8.604,
24.214,,,1.00
24.226,,,0.00
24.250,-4.370,18.239,
24.300,-4.917,33.458,
24.350,-5.383,50.021,
24.400,-5.715,62.814,
24.450,-5.865,67.893,
24.500,-5.821,63.739,
24.550,-5.598,51.348,
24.600,-5.231,33.615,
24.650,-4.777,14.521,
24.700,-4.295,-2.059,
24.750,-3.833,-13.544,
24.800,-3.421,-19.268,
24.850,-3.069,-20.106,
24.900,-2.774,-17.506,
24.950,-2.527,-12.741,
25.000,-2.315,-6.597,
25.050,-2.121,0.489,
25.100,-1.927,8.081,
25.150,-1.715,15.394,
25.192,,,1.00
25.200,-1.459,21.066,
25.206,,,0.00
25.230,,,1.00
25.244,,,0.00
25.250,-1.145,23.248,
25.277,,,1.00
25.287,,,0.00
25.300,-0.760,19.984,
25.350,-0.305,10.175,
25.400,0.192,-5.376,
25.450,0.685,-23.841,
25.500,1.114,-41.347,
25.550,1.426,-54.646,
25.600,1.587,-62.029,
25.650,1.576,-63.024,
25.700,1.396,-57.648,
25.750,1.056,-46.269,
25.800,0.584,-30.526,
25.850,0.033,-13.753,
25.900,-0.543,-0.017,
25.950,-1.101,7.714,
26.000,-1.621,8.831,
26.050,-2.105,4.974,
26.100,-2.573,-0.820,
26.150,-3.046,-5.061,
26.200,-3.544,-4.520,
26.250,-4.072,2.897,
26.252,,,1.00
26.266,,,0.00
26.290,,,1.00
26.300,-4.613,17.122,
26.304,,,0.00
26.338,,,1.00
26.347,,,0.00
26.350,-5.126,35.430,
26.400,-5.548,53.180,
26.450,-5.821,65.555,
26.500,-5.908,69.307,
26.550,-5.795,63.600,
26.600,-5.503,50.039,
26.650,-5.074,32.149,
26.700,-4.563,14.416,
26.750,-4.032,0.838,
26.800,-3.517,-6.562,
26.850,-3.035,-8.116,
26.900,-2.581,-5.812,
26.950,-2.144,-2.147,
27.000,-1.711,0.593,
27.050,-1.268,0.576,
27.100,-0.814,-3.299,
27.150,-0.357,-11.065,
27.200,0.082,-21.415,
27.250,0.467,-31.922,
27.300,0.765,-39.916,
27.301,,,1.00
27.315,,,0.00
27.338,,,1.00
27.350,0.950,-43.476,
27.352,,,0.00
27.384,,,1.00
27.395,,,0.00
27.400,1.013,-41.958,
27.450,0.961,-35.797,
27.500,0.811,-26.093,
27.550,0.589,-14.364,
27.600,0.331,-2.374,
27.650,0.072,8.133,
27.700,-0.160,15.813,
27.750,-0.342,19.984,
27.800,-0.467,20.647,
27.850,-0.533,18.326,
27.900,-0.547,13.893,
27.950,-0.523,8.430,
28.000,-0.481,3.072,
28.050,-0.432,-1.204,
28.100,-0.391,-3.700,
28.150,-0.366,-4.102,
28.200,-0.355,-2.531,
28.250,-0.355,0.524,
28.300,-0.355,4.276,
28.350,-0.344,7.854,
28.360,,,1.00
28.374,,,0.00
28.398,,,1.00
28.400,-0.311,10.455,
28.412,,,0.00
28.445,,,1.00
28.450,-0.247,11.467,
28.455,,,0.00
28.500,-0.151,10.524,
28.550,-0.022,7.453,
28.600,0.130,2.391,
28.650,0.292,-4.154,
28.700,0.446,-11.292,
28.750,0.570,-17.907,
28.800,0.646,-22.969,
28.850,0.657,-25.761,
28.900,0.598,-25.988,
28.950,0.468,-23.684,
29.000,0.273,-19.146,
29.050,0.027,-12.898,
29.100,-0.254,-5.637,
29.150,-0.551,1.798,
29.200,-0.840,8.622,
29.250,-1.106,14.382,
29.300,-1.330,19.059,
29.350,-1.508,22.934,
29.400,-1.626,26.302,
29.423,,,1.00
29.437,,,0.00
29.450,-1.678,29.426,
29.461,,,1.00
29.475,,,0.00
29.500,-1.656,32.446,
29.510,,,1.00
29.518,,,0.00
29.550,-1.554,35.046,
29.600,-1.362,36.111,
29.650,-1.073,33.667,
29.700,-0.685,25.569,
29.750,-0.215,10.769,
29.800,0.302,-9.512,
29.850,0.800,-31.713,
29.900,1.210,-51.435,
29.950,1.473,-65.223,
30.000,1.555,-71.314,
30.050,1.440,-69.185,
30.100,1.133,-59.097,
30.150,0.660,-42.569,
30.200,0.068,-23.056,
30.250,-0.576,-5.498,
30.300,-1.214,5.777,
30.350,-1.811,9.285,
30.400,-2.370,7.034,
30.450,-2.908,3.264,
30.491,,,1.00
30.500,-3.446,2.531,
30.506,,,0.00
30.530,,,1.00
30.545,,,0.00
30.550,-3.996,7.976,
30.578,,,1.00
30.588,,,0.00
30.600,-4.547,20.176,
30.650,-5.063,36.739,
30.700,-5.485,53.076,
30.750,-5.762,64.298,
30.800,-5.851,67.108,
30.850,-5.749,60.790,
30.900,-5.477,47.002,
30.950,-5.075,29.042,
31.000,-4.601,10.961,
31.050,-4.111,-3.630,
31.100,-3.646,-12.689,
31.150,-3.228,-16.144,
31.200,-2.860,-15.272,
31.250,-2.535,-11.659,
31.300,-2.243,-6.528,
31.350,-1.968,-0.663,
31.400,-1.695,5.253,
31.450,-1.409,10.193,
31.500,-1.092,12.636,
31.550,-0.732,10.996,
31.560,,,1.00
31.574,,,0.00
31.598,,,1.00
31.600,-0.331,4.398,
31.612,,,0.00
31.645,,,1.00
31.650,0.093,-6.597,
31.656,,,0.00
31.700,0.509,-19.967,
31.750,0.872,-32.899,
31.800,1.144,-42.848,
31.850,1.297,-48.258,
31.900,1.316,-48.625,
31.950,1.203,-44.122,
32.000,0.971,-35.308,
32.050,0.639,-23.318,
32.100,0.245,-10.140,
32.150,-0.170,1.710,
32.200,-0.570,10.193,
32.250,-0.933,14.556,
32.300,-1.250,15.394,
32.350,-1.525,14.050,
32.400,-1.762,11.921,
32.450,-1.973,10.036,
32.500,-2.160,8.901,
32.550,-2.326,8.674,
32.600,-2.474,9.320,
32.629,,,1.00
32.643,,,0.00
32.650,-2.600,10.612,
32.667,,,1.00
32.682,,,0.00
32.700,-2.700,12.182,
32.716,,,1.00
32.726,,,0.00
32.750,-2.769,13.666,
32.800,-2.802,14.905,
32.850,-2.799,15.987,
32.900,-2.755,17.139,
32.950,-2.669,18.605,
33.000,-2.538,20.438,
33.050,-2.358,22.340,
33.100,-2.119,23.632,
33.150,-1.819,23.300,
33.200,-1.455,19.949,
33.250,-1.029,12.043,
33.300,-0.559,-1.152,
33.350,-0.075,-18.431,
33.400,0.364,-36.355,
33.450,0.702,-50.492,
33.500,0.894,-57.247,
33.550,0.917,-55.135,
33.600,0.782,-44.925,
33.650,0.522,-28.955,
33.700,0.182,-10.350,
33.701,,,1.00
33.715,,,0.00
33.739,,,1.00
33.750,-0.182,7.714,
33.754,,,0.00
33.786,,,1.00
33.797,,,0.00
33.800,-0.517,22.672,
33.850,-0.782,33.109,
33.900,-0.953,38.869,
33.950,-1.018,40.579,
34.000,-0.974,38.886,
34.050,-0.828,33.842,
34.100,-0.587,24.941,
34.150,-0.273,11.868,
34.200,0.082,-4.608,
34.250,0.429,-22.323,
34.300,0.716,-38.240,
34.350,0.895,-49.393,
34.400,0.933,-53.704,
34.450,0.817,-50.423,
34.500,0.558,-40.212,
34.550,0.184,-25.080,
34.600,-0.258,-8.098,
34.650,-0.715,7.383,
34.700,-1.140,18.919,
34.750,-1.505,25.831,
34.772,,,1.00
34.786,,,0.00
34.800,-1.795,29.060,
34.811,,,1.00
34.825,,,0.00
34.850,-2.011,30.212,
34.858,,,1.00
34.869,,,0.00
34.900,-2.149,30.631,
34.950,-2.212,31.102,
35.000,-2.198,31.974,
35.050,-2.105,33.249,
35.100,-1.931,34.435,
35.150,-1.668,34.261,
35.200,-1.313,30.578,
35.250,-0.869,20.961,
35.300,-0.349,4.189,
35.350,0.201,-18.204,
35.400,0.710,-41.905,
35.450,1.101,-61.593,
35.500,1.315,-73.077,
35.550,1.321,-74.264,
35.600,1.115,-65.014,
35.650,0.724,-47.089,
35.700,0.199,-24.295,
35.750,-0.385,-1.868,
35.800,-0.957,15.394,
35.848,,,1.00
35.850,-1.466,25.185,
35.862,,,0.00
35.886,,,1.00
35.900,-1.894,28.239,
35.901,,,0.00
35.935,,,1.00
35.945,,,0.00
35.950,-2.243,27.053,
36.000,-2.524,24.120,
36.050,-2.744,20.892,
36.100,-2.914,17.802,
36.150,-3.039,14.731,
36.200,-3.126,11.414,
36.250,-3.184,7.749,
36.300,-3.222,3.770,
36.350,-3.248,-0.436,
36.400,-3.278,-4.817,
36.450,-3.318,-9.390,
36.500,-3.380,-14.032,
36.550,-3.479,-18.326,
36.600,-3.624,-21.363,
36.650,-3.830,-21.764,
36.700,-4.098,-18.064,
36.750,-4.427,-9.303,
36.800,-4.791,4.189,
36.850,-5.155,20.473,
36.900,-5.466,36.355,
36.924,,,1.00
36.938,,,0.00
36.950,-5.677,48.450,
36.962,,,1.00
36.977,,,0.00
37.000,-5.749,54.297,
37.010,,,1.00
37.022,,,0.00
37.050,-5.666,52.971,
37.100,-5.435,45.204,
37.150,-5.078,33.249,
37.200,-4.635,20.473,
37.250,-4.150,10.367,
37.300,-3.655,5.236,
37.350,-3.160,5.323,
37.400,-2.664,8.849,
37.450,-2.146,12.479,
37.500,-1.588,12.078,
37.550,-0.980,3.997,
37.600,-0.333,-12.828,
37.650,0.303,-35.413,
37.700,0.850,-57.648,
37.750,1.228,-73.234,
37.800,1.396,-78.383,
37.850,1.340,-72.344,
37.900,1.079,-56.619,
37.950,0.660,-34.261,
37.989,,,1.00
38.000,0.146,-9.530,
38.003,,,0.00
38.027,,,1.00
38.041,,,0.00
38.050,-0.383,12.915,
38.073,,,1.00
38.084,,,0.00
38.100,-0.862,29.566,
38.150,-1.247,39.252,
38.200,-1.519,43.075,
38.250,-1.676,43.232,
38.300,-1.723,41.696,
38.350,-1.665,39.462,
38.400,-1.510,36.320,
38.450,-1.258,31.032,
38.500,-0.920,21.939,
38.550,-0.514,8.011,
38.600,-0.074,-10.105,
38.650,0.349,-29.688,
38.700,0.688,-46.635,
38.750,0.895,-57.037,
38.800,0.933,-58.521,
38.850,0.803,-50.894,
38.900,0.526,-35.919,
38.950,0.148,-16.808,
39.000,-0.272,2.601,
39.040,,,1.00
39.050,-0.675,19.076,
39.054,,,0.00
39.078,,,1.00
39.092,,,0.00
39.100,-1.016,30.875,
39.124,,,1.00
39.134,,,0.00
39.150,-1.269,37.961,
39.200,-1.418,41.347,
39.250,-1.458,42.272,
39.300,-1.392,41.469,
39.350,-1.217,38.554,
39.400,-0.941,32.114,
39.450,-0.570,20.525,
39.500,-0.130,3.421,
39.550,0.330,-17.366,
39.600,0.748,-38.170,
39.650,1.057,-54.926,
39.700,1.211,-64.577,
39.750,1.181,-65.502,
39.800,0.968,-57.491,
39.850,0.587,-41.923,
39.900,0.090,-22.096,
39.950,-0.462,-2.601,
40.000,-1.005,12.427,
40.050,-1.497,21.014,
40.098,,,1.00
40.100,-1.921,23.754,
40.113,,,0.00
40.137,,,1.00
40.150,-2.278,22.724,
40.151,,,0.00
40.184,,,1.00
40.194,,,0.00
40.200,-2.576,20.071,
40.250,-2.824,17.157,
40.300,-3.032,14.504,
40.350,-3.203,12.095,
40.400,-3.344,9.687,
40.450,-3.460,7.016,
40.500,-3.558,3.944,
40.550,-3.644,0.506,
40.600,-3.729,-3.159,
40.650,-3.822,-6.842,
40.700,-3.932,-10.228,
40.750,-4.068,-12.706,
40.800,-4.241,-13.282,
40.850,-4.453,-10.839,
40.900,-4.705,-4.660,
40.950,-4.976,5.009,
41.000,-5.242,16.808,
41.050,-5.466,28.536,
41.100,-5.612,37.786,
41.150,-5.652,42.691,
41.167,,,1.00
41.182,,,0.00
41.200,-5.572,42.394,
41.206,,,1.00
41.221,,,0.00
41.250,-5.372,37.210,
41.253,,,1.00
41.265,,,0.00
41.300,-5.071,28.571,
41.350,-4.694,18.815,
