Time (s) Auto,Angle (rad) pi/4 forskydt,Angular Velocity (rad/s) pi/4 forskydt
0,0,
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,0,0
1.02,0,0
1.04,0,0
1.06,0,0
1.08,0,0
1.1,0,0
1.12,0,0
1.14,0,0
1.16,0,0
1.18,0,0
1.2,0,0
1.22,0,0
1.24,0,0
1.26,0,0
1.28,0,0
1.3,0,0
1.32,0,0
1.34,0,0
1.36,0,0
1.38,0,0
1.4,0,0
1.42,0,0
1.44,0,0
1.46,0,0
1.48,0,0
1.5,0,0.013
1.52,0,0.065
1.54,0.002,0.157
1.56,0.006,0.262
1.58,0.013,0.367
1.6,0.02,0.484
1.62,0.031,0.628
1.64,0.046,0.785
1.66,0.063,0.942
1.68,0.083,1.086
1.7,0.107,1.217
1.72,0.132,1.335
1.74,0.16,1.44
1.76,0.19,1.518
1.78,0.221,1.545
1.8,0.253,1.518
1.82,0.283,1.466
1.84,0.311,1.388
1.86,0.339,1.257
1.88,0.363,1.06
1.9,0.382,0.825
1.92,0.396,0.589
1.94,0.405,0.327
1.96,0.41,0.013
1.98,0.407,-0.34
2,0.396,-0.707
2.02,0.379,-1.073
2.04,0.353,-1.466
2.06,0.32,-1.872
2.08,0.278,-2.278
2.1,0.229,-2.683
2.12,0.171,-3.076
2.14,0.105,-3.456
2.16,0.033,-3.796
2.18,-0.047,-4.097
2.2,-0.132,-4.346
2.22,-0.221,-4.529
2.24,-0.314,-4.66
2.26,-0.408,-4.739
2.28,-0.504,-4.739
2.3,-0.6,-4.66
2.32,-0.691,-4.529
2.34,-0.781,-4.359
2.36,-0.867,-4.136
2.38,-0.947,-3.835
2.4,-1.021,-3.482
2.42,-1.087,-3.089
2.44,-1.145,-2.657
2.46,-1.194,-2.199
2.48,-1.233,-1.715
2.5,-1.263,-1.191
2.52,-1.282,-0.615
2.54,-1.288,-0.013
2.56,-1.282,0.589
2.58,-1.264,1.217
2.6,-1.235,1.885
2.62,-1.189,2.579
2.64,-1.131,3.272
2.66,-1.059,3.966
2.68,-0.972,4.686
2.7,-0.872,5.419
2.72,-0.756,6.139
2.74,-0.625,6.807
2.76,-0.482,7.409
2.78,-0.328,7.919
2.8,-0.163,8.325
2.82,0.006,8.6
2.84,0.182,8.718
2.86,0.358,8.666
2.88,0.531,8.417
2.9,0.697,7.985
2.92,0.853,7.37
2.94,0.994,6.584
2.96,1.118,5.642
2.98,1.222,4.568
3,1.302,3.377
3.02,1.359,2.094
3.04,1.387,0.759
3.06,1.389,-0.589
3.08,1.363,-1.95
3.1,1.312,-3.325
3.12,1.23,-4.66
3.14,1.123,-5.93
3.16,0.993,-7.121
3.18,0.837,-8.221
3.2,0.661,-9.176
3.22,0.468,-9.961
3.24,0.261,-10.59
3.26,0.042,-11.048
3.28,-0.184,-11.323
3.3,-0.413,-11.414
3.32,-0.642,-11.362
3.34,-0.869,-11.205
3.36,-1.092,-10.969
3.38,-1.308,-10.681
3.4,-1.519,-10.38
3.42,-1.723,-10.079
3.44,-1.923,-9.791
3.46,-2.114,-9.543
3.48,-2.303,-9.346
3.5,-2.488,-9.202
3.52,-2.67,-9.111
3.54,-2.851,-9.084
3.56,-3.033,-9.124
3.58,-3.215,-9.189
3.6,-3.401,-9.281
3.62,-3.586,-9.386
3.64,-3.776,-9.464
3.66,-3.966,-9.49
3.68,-4.156,-9.425
3.7,-4.345,-9.281
3.72,-4.529,-9.032
3.74,-4.708,-8.652
3.76,-4.877,-8.116
3.78,-5.034,-7.422
3.8,-5.176,-6.597
3.82,-5.3,-5.642
3.84,-5.404,-4.568
3.86,-5.484,-3.39
3.88,-5.54,-2.16
3.9,-5.57,-0.903
3.92,-5.576,0.353
3.94,-5.556,1.571
3.96,-5.512,2.736
3.98,-5.446,3.809
4,-5.358,4.791
4.02,-5.253,5.642
4.04,-5.13,6.336
4.06,-4.997,6.885
4.08,-4.854,7.278
4.1,-4.703,7.514
4.12,-4.551,7.579
4.14,-4.398,7.501
4.16,-4.249,7.317
4.18,-4.104,7.029
4.2,-3.966,6.663
4.22,-3.837,6.218
4.24,-3.717,5.707
4.26,-3.608,5.157
4.28,-3.511,4.581
4.3,-3.424,3.992
4.32,-3.351,3.364
4.34,-3.289,2.723
4.36,-3.242,2.107
4.38,-3.206,1.518
4.4,-3.181,0.929
4.42,-3.168,0.353
4.44,-3.168,-0.183
4.46,-3.176,-0.681
4.48,-3.195,-1.165
4.5,-3.223,-1.623
4.52,-3.261,-2.029
4.54,-3.305,-2.395
4.56,-3.357,-2.736
4.58,-3.415,-3.063
4.6,-3.479,-3.351
4.62,-3.55,-3.6
4.64,-3.624,-3.809
4.66,-3.702,-3.992
4.68,-3.784,-4.136
4.7,-3.869,-4.241
4.72,-3.954,-4.294
4.74,-4.042,-4.294
4.76,-4.126,-4.241
4.78,-4.211,-4.136
4.8,-4.293,-3.992
4.82,-4.372,-3.783
4.84,-4.445,-3.508
4.86,-4.513,-3.181
4.88,-4.573,-2.814
4.9,-4.626,-2.409
4.92,-4.67,-1.963
4.94,-4.705,-1.492
4.96,-4.73,-1.021
4.98,-4.745,-0.55
5,-4.752,-0.092
5.02,-4.749,0.353
5.04,-4.738,0.759
5.06,-4.717,1.126
5.08,-4.692,1.44
5.1,-4.659,1.702
5.12,-4.623,1.911
5.14,-4.582,2.042
5.16,-4.54,2.121
5.18,-4.497,2.134
5.2,-4.453,2.081
5.22,-4.412,1.963
5.24,-4.375,1.78
5.26,-4.34,1.545
5.28,-4.312,1.257
5.3,-4.29,0.916
5.32,-4.274,0.537
5.34,-4.268,0.118
5.36,-4.269,-0.327
5.38,-4.28,-0.785
5.4,-4.301,-1.244
5.42,-4.331,-1.689
5.44,-4.368,-2.121
5.46,-4.416,-2.539
5.48,-4.47,-2.932
5.5,-4.533,-3.259
5.52,-4.602,-3.508
5.54,-4.675,-3.678
5.56,-4.75,-3.757
5.58,-4.827,-3.744
5.6,-4.901,-3.626
5.62,-4.973,-3.403
5.64,-5.039,-3.076
5.66,-5.097,-2.657
5.68,-5.146,-2.173
5.7,-5.185,-1.61
5.72,-5.212,-0.969
5.74,-5.224,-0.275
5.76,-5.223,0.432
5.78,-5.207,1.152
5.8,-5.177,1.872
5.82,-5.132,2.579
5.84,-5.074,3.246
5.86,-5.001,3.875
5.88,-4.918,4.464
5.9,-4.822,4.987
5.92,-4.717,5.432
5.94,-4.604,5.799
5.96,-4.485,6.1
5.98,-4.359,6.336
6,-4.23,6.493
6.02,-4.098,6.571
6.04,-3.966,6.597
6.06,-3.834,6.584
6.08,-3.702,6.545
6.1,-3.572,6.466
6.12,-3.443,6.375
6.14,-3.318,6.283
6.16,-3.192,6.192
6.18,-3.069,6.087
6.2,-2.948,5.982
6.22,-2.831,5.904
6.24,-2.713,5.838
6.26,-2.597,5.786
6.28,-2.482,5.747
6.3,-2.367,5.72
6.32,-2.253,5.707
6.34,-2.139,5.72
6.36,-2.025,5.76
6.38,-1.909,5.799
6.4,-1.792,5.838
6.42,-1.676,5.904
6.44,-1.557,5.982
6.46,-1.436,6.061
6.48,-1.315,6.139
6.5,-1.191,6.231
6.52,-1.065,6.322
6.54,-0.938,6.414
6.56,-0.809,6.506
6.58,-0.677,6.571
6.6,-0.545,6.597
6.62,-0.413,6.584
6.64,-0.281,6.532
6.66,-0.151,6.427
6.68,-0.024,6.257
6.7,0.101,6.021
6.72,0.218,5.72
6.74,0.33,5.341
6.76,0.434,4.883
6.78,0.526,4.359
6.8,0.608,3.809
6.82,0.679,3.233
6.84,0.738,2.618
6.86,0.784,1.963
6.88,0.817,1.296
6.9,0.836,0.654
6.92,0.842,0.026
6.94,0.837,-0.576
6.96,0.818,-1.152
6.98,0.79,-1.676
7,0.751,-2.147
7.02,0.704,-2.579
7.04,0.647,-2.958
7.06,0.584,-3.286
7.08,0.515,-3.534
7.1,0.441,-3.718
7.12,0.366,-3.835
7.14,0.287,-3.901
7.16,0.209,-3.927
7.18,0.13,-3.888
7.2,0.052,-3.796
7.22,-0.022,-3.652
7.24,-0.094,-3.482
7.26,-0.162,-3.286
7.28,-0.226,-3.063
7.3,-0.284,-2.841
7.32,-0.339,-2.618
7.34,-0.39,-2.409
7.36,-0.435,-2.199
7.38,-0.478,-2.003
7.4,-0.515,-1.82
7.42,-0.55,-1.649
7.44,-0.581,-1.492
7.46,-0.609,-1.348
7.48,-0.635,-1.23
7.5,-0.658,-1.139
7.52,-0.68,-1.06
7.54,-0.701,-0.969
7.56,-0.719,-0.864
7.58,-0.735,-0.746
7.6,-0.749,-0.615
7.62,-0.76,-0.471
7.64,-0.768,-0.301
7.66,-0.773,-0.105
7.68,-0.773,0.131
7.7,-0.768,0.393
7.72,-0.757,0.668
7.74,-0.741,0.969
7.76,-0.719,1.309
7.78,-0.69,1.689
7.8,-0.652,2.081
7.82,-0.606,2.487
7.84,-0.553,2.906
7.86,-0.49,3.325
7.88,-0.419,3.731
7.9,-0.341,4.123
7.92,-0.254,4.49
7.94,-0.16,4.804
7.96,-0.061,5.053
7.98,0.042,5.236
8,0.149,5.354
8.02,0.258,5.38
8.04,0.366,5.301
8.06,0.471,5.105
8.08,0.572,4.804
8.1,0.664,4.411
8.12,0.749,3.927
8.14,0.823,3.351
8.16,0.884,2.683
8.18,0.931,1.95
8.2,0.963,1.165
8.22,0.979,0.353
8.24,0.977,-0.484
8.26,0.96,-1.322
8.28,0.924,-2.147
8.3,0.873,-2.958
8.32,0.806,-3.731
8.34,0.723,-4.464
8.36,0.627,-5.131
8.38,0.517,-5.733
8.4,0.396,-6.257
8.42,0.265,-6.689
8.44,0.127,-7.029
8.46,-0.017,-7.265
8.48,-0.165,-7.409
8.5,-0.314,-7.474
8.52,-0.465,-7.461
8.54,-0.614,-7.37
8.56,-0.76,-7.213
8.58,-0.903,-7.016
8.6,-1.041,-6.794
8.62,-1.175,-6.545
8.64,-1.304,-6.283
8.66,-1.426,-6.008
8.68,-1.544,-5.72
8.7,-1.656,-5.419
8.72,-1.761,-5.118
8.74,-1.86,-4.83
8.76,-1.954,-4.542
8.78,-2.042,-4.241
8.8,-2.124,-3.927
8.82,-2.199,-3.626
8.84,-2.268,-3.325
8.86,-2.333,-3.024
8.88,-2.389,-2.723
8.9,-2.441,-2.409
8.92,-2.487,-2.094
8.94,-2.524,-1.767
8.96,-2.557,-1.427
8.98,-2.582,-1.086
9,-2.6,-0.733
9.02,-2.612,-0.393
9.04,-2.615,-0.039
9.06,-2.614,0.327
9.08,-2.603,0.681
9.1,-2.586,1.047
9.12,-2.562,1.427
9.14,-2.529,1.833
9.16,-2.488,2.251
9.18,-2.439,2.67
9.2,-2.381,3.102
9.22,-2.315,3.547
9.24,-2.24,4.006
9.26,-2.155,4.49
9.28,-2.061,5
9.3,-1.956,5.524
9.32,-1.839,6.061
9.34,-1.714,6.597
9.36,-1.576,7.134
9.38,-1.428,7.658
9.4,-1.269,8.155
9.42,-1.101,8.626
9.44,-0.924,9.045
9.46,-0.738,9.386
9.48,-0.547,9.595
9.5,-0.352,9.647
9.52,-0.159,9.543
9.54,0.031,9.268
9.56,0.215,8.796
9.58,0.386,8.116
9.6,0.542,7.239
9.62,0.679,6.205
9.64,0.792,5.027
9.66,0.881,3.731
9.68,0.942,2.369
9.7,0.975,0.982
9.72,0.982,-0.393
9.74,0.96,-1.741
9.76,0.911,-3.011
9.78,0.837,-4.163
9.8,0.743,-5.184
9.82,0.628,-6.061
9.84,0.498,-6.768
9.86,0.355,-7.291
9.88,0.204,-7.645
9.9,0.047,-7.802
9.92,-0.112,-7.762
9.94,-0.265,-7.553
9.96,-0.415,-7.199
9.98,-0.556,-6.728
10,-0.685,-6.126
10.02,-0.803,-5.432
10.04,-0.903,-4.673
10.06,-0.99,-3.875
10.08,-1.059,-3.05
10.1,-1.112,-2.199
10.12,-1.147,-1.335
10.14,-1.166,-0.458
10.16,-1.166,0.406
10.18,-1.148,1.257
10.2,-1.115,2.081
10.22,-1.065,2.906
10.24,-0.999,3.718
10.26,-0.916,4.49
10.28,-0.818,5.223
10.3,-0.707,5.904
10.32,-0.581,6.506
10.34,-0.445,7.003
10.36,-0.3,7.396
10.38,-0.148,7.671
10.4,0.009,7.789
10.42,0.167,7.71
10.44,0.32,7.448
10.46,0.467,7.016
10.48,0.603,6.414
10.5,0.726,5.642
10.52,0.831,4.699
10.54,0.916,3.626
10.56,0.977,2.448
10.58,1.015,1.191
10.6,1.026,-0.105
10.62,1.01,-1.414
10.64,0.969,-2.723
10.66,0.902,-4.006
10.68,0.807,-5.21
10.7,0.691,-6.309
10.72,0.554,-7.278
10.74,0.397,-8.103
10.76,0.228,-8.757
10.78,0.046,-9.228
10.8,-0.145,-9.516
10.82,-0.338,-9.608
10.84,-0.531,-9.53
10.86,-0.721,-9.307
10.88,-0.905,-8.967
10.9,-1.081,-8.535
10.92,-1.247,-8.024
10.94,-1.403,-7.461
10.96,-1.546,-6.885
10.98,-1.678,-6.309
11,-1.799,-5.72
11.02,-1.907,-5.118
11.04,-2.003,-4.529
11.06,-2.088,-3.953
11.08,-2.161,-3.39
11.1,-2.223,-2.827
11.12,-2.275,-2.265
11.14,-2.314,-1.715
11.16,-2.342,-1.178
11.18,-2.361,-0.668
11.2,-2.369,-0.157
11.22,-2.367,0.353
11.24,-2.355,0.864
11.26,-2.333,1.388
11.28,-2.3,1.911
11.3,-2.256,2.422
11.32,-2.202,2.932
11.34,-2.139,3.469
11.36,-2.064,4.032
11.38,-1.978,4.608
11.4,-1.88,5.184
11.42,-1.77,5.773
11.44,-1.649,6.362
11.46,-1.516,6.951
11.48,-1.371,7.527
11.5,-1.214,8.077
11.52,-1.048,8.587
11.54,-0.87,9.032
11.56,-0.685,9.386
11.58,-0.493,9.621
11.6,-0.298,9.713
11.62,-0.102,9.621
11.64,0.09,9.32
11.66,0.273,8.81
11.68,0.445,8.103
11.7,0.6,7.199
11.72,0.735,6.126
11.74,0.847,4.896
11.76,0.933,3.56
11.78,0.99,2.16
11.8,1.019,0.733
11.82,1.019,-0.694
11.84,0.991,-2.094
11.86,0.935,-3.416
11.88,0.853,-4.621
11.9,0.748,-5.681
11.92,0.624,-6.584
11.94,0.482,-7.317
11.96,0.328,-7.88
11.98,0.165,-8.247
12,-0.005,-8.404
12.02,-0.174,-8.351
12.04,-0.341,-8.129
12.06,-0.501,-7.762
12.08,-0.653,-7.252
12.1,-0.793,-6.624
12.12,-0.919,-5.917
12.14,-1.03,-5.171
12.16,-1.126,-4.385
12.18,-1.206,-3.56
12.2,-1.269,-2.71
12.22,-1.315,-1.833
12.24,-1.343,-0.956
12.26,-1.352,-0.092
12.28,-1.346,0.759
12.3,-1.323,1.597
12.32,-1.282,2.435
12.34,-1.225,3.259
12.36,-1.151,4.071
12.38,-1.062,4.869
12.4,-0.957,5.642
12.42,-0.836,6.375
12.44,-0.701,7.029
12.46,-0.553,7.592
12.48,-0.396,8.05
12.5,-0.229,8.378
12.52,-0.058,8.548
12.54,0.115,8.535
12.56,0.286,8.338
12.58,0.451,7.946
12.6,0.606,7.357
12.62,0.748,6.571
12.64,0.872,5.603
12.66,0.974,4.477
12.68,1.052,3.22
12.7,1.104,1.872
12.72,1.128,0.471
12.74,1.123,-0.956
12.76,1.09,-2.382
12.78,1.027,-3.77
12.8,0.938,-5.092
12.82,0.823,-6.336
12.84,0.683,-7.461
12.86,0.522,-8.417
12.88,0.344,-9.176
12.9,0.152,-9.752
12.92,-0.049,-10.132
12.94,-0.256,-10.302
12.96,-0.463,-10.276
12.98,-0.669,-10.092
13,-0.869,-9.778
13.02,-1.062,-9.359
13.04,-1.244,-8.875
13.06,-1.417,-8.338
13.08,-1.579,-7.775
13.1,-1.728,-7.186
13.12,-1.866,-6.61
13.14,-1.992,-6.048
13.16,-2.108,-5.498
13.18,-2.212,-4.974
13.2,-2.306,-4.464
13.22,-2.391,-3.979
13.24,-2.465,-3.508
13.26,-2.531,-3.063
13.28,-2.587,-2.644
13.3,-2.636,-2.225
13.32,-2.677,-1.82
13.34,-2.708,-1.427
13.36,-2.733,-1.06
13.38,-2.75,-0.707
13.4,-2.761,-0.353
13.42,-2.765,-0.026
13.44,-2.761,0.275
13.46,-2.754,0.55
13.48,-2.739,0.825
13.5,-2.721,1.1
13.52,-2.695,1.361
13.54,-2.666,1.597
13.56,-2.631,1.806
13.58,-2.593,2.016
13.6,-2.551,2.212
13.62,-2.504,2.395
13.64,-2.455,2.566
13.66,-2.402,2.723
13.68,-2.345,2.867
13.7,-2.287,2.985
13.72,-2.226,3.089
13.74,-2.163,3.194
13.76,-2.099,3.286
13.78,-2.031,3.377
13.8,-1.963,3.456
13.82,-1.893,3.521
13.84,-1.822,3.574
13.86,-1.75,3.626
13.88,-1.678,3.691
13.9,-1.602,3.77
13.92,-1.527,3.862
13.94,-1.448,3.953
13.96,-1.368,4.071
13.98,-1.286,4.202
14,-1.2,4.359
14.02,-1.112,4.542
14.04,-1.019,4.752
14.06,-0.922,4.987
14.08,-0.82,5.223
14.1,-0.713,5.459
14.12,-0.602,5.694
14.14,-0.485,5.917
14.16,-0.364,6.113
14.18,-0.24,6.257
14.2,-0.113,6.336
14.22,0.014,6.349
14.24,0.141,6.296
14.26,0.267,6.165
14.28,0.39,5.93
14.3,0.506,5.589
14.32,0.614,5.171
14.34,0.713,4.673
14.36,0.803,4.097
14.38,0.878,3.456
14.4,0.941,2.762
14.42,0.99,2.016
14.44,1.023,1.23
14.46,1.038,0.432
14.48,1.04,-0.353
14.5,1.024,-1.126
14.52,0.994,-1.872
14.54,0.949,-2.579
14.56,0.891,-3.259
14.58,0.818,-3.888
14.6,0.734,-4.451
14.62,0.639,-4.922
14.64,0.536,-5.315
14.66,0.426,-5.629
14.68,0.309,-5.864
14.7,0.19,-6.021
14.72,0.068,-6.1
14.74,-0.055,-6.1
14.76,-0.178,-6.008
14.78,-0.297,-5.864
14.8,-0.412,-5.681
14.82,-0.525,-5.472
14.84,-0.631,-5.223
14.86,-0.734,-4.948
14.88,-0.829,-4.686
14.9,-0.92,-4.438
14.92,-1.007,-4.189
14.94,-1.089,-3.927
14.96,-1.164,-3.665
14.98,-1.235,-3.416
15,-1.301,-3.181
15.02,-1.362,-2.932
15.04,-1.418,-2.683
15.06,-1.469,-2.422
15.08,-1.516,-2.147
15.1,-1.555,-1.846
15.12,-1.59,-1.518
15.14,-1.616,-1.178
15.16,-1.637,-0.812
15.18,-1.649,-0.432
15.2,-1.654,-0.013
15.22,-1.651,0.432
15.24,-1.637,0.916
15.26,-1.615,1.427
15.28,-1.58,1.977
15.3,-1.536,2.566
15.32,-1.478,3.181
15.34,-1.409,3.848
15.36,-1.326,4.555
15.38,-1.227,5.288
15.4,-1.114,6.021
15.42,-0.986,6.741
15.44,-0.844,7.461
15.46,-0.688,8.155
15.48,-0.517,8.783
15.5,-0.335,9.307
15.52,-0.143,9.7
15.54,0.055,9.948
15.56,0.258,10.014
15.58,0.459,9.857
15.6,0.655,9.477
15.62,0.84,8.901
15.64,1.013,8.129
15.66,1.169,7.173
15.68,1.302,6.048
15.7,1.412,4.791
15.72,1.495,3.43
15.74,1.55,1.99
15.76,1.576,0.511
15.78,1.571,-0.995
15.8,1.536,-2.513
15.82,1.47,-4.019
15.84,1.374,-5.472
15.86,1.25,-6.846
15.88,1.1,-8.129
15.9,0.924,-9.294
15.92,0.726,-10.315
15.94,0.509,-11.166
15.96,0.276,-11.82
15.98,0.033,-12.252
16,-0.217,-12.475
16.02,-0.468,-12.527
16.04,-0.719,-12.462
16.06,-0.968,-12.291
16.08,-1.213,-12.043
16.1,-1.45,-11.768
16.12,-1.682,-11.506
16.14,-1.91,-11.27
16.16,-2.133,-11.074
16.18,-2.351,-10.956
16.2,-2.57,-10.917
16.22,-2.788,-10.943
16.24,-3.007,-11.022
16.26,-3.228,-11.179
16.28,-3.453,-11.375
16.3,-3.684,-11.558
16.32,-3.916,-11.702
16.34,-4.152,-11.781
16.36,-4.389,-11.742
16.38,-4.624,-11.532
16.4,-4.852,-11.126
16.42,-5.072,-10.524
16.44,-5.276,-9.7
16.46,-5.463,-8.652
16.48,-5.625,-7.422
16.5,-5.762,-6.034
16.52,-5.868,-4.516
16.54,-5.944,-2.88
16.56,-5.985,-1.178
16.58,-5.991,0.524
16.6,-5.963,2.186
16.62,-5.903,3.783
16.64,-5.81,5.301
16.66,-5.689,6.702
16.68,-5.54,7.946
16.7,-5.369,8.993
16.72,-5.177,9.831
16.74,-4.973,10.459
16.76,-4.756,10.878
16.78,-4.535,11.1
16.8,-4.31,11.14
16.82,-4.087,11.048
16.84,-3.867,10.852
16.86,-3.652,10.59
16.88,-3.443,10.276
16.9,-3.241,9.948
16.92,-3.046,9.634
16.94,-2.856,9.359
16.96,-2.672,9.124
16.98,-2.491,8.914
17,-2.315,8.757
17.02,-2.143,8.652
17.04,-1.97,8.6
17.06,-1.799,8.587
17.08,-1.627,8.613
17.1,-1.455,8.679
17.12,-1.28,8.757
17.14,-1.104,8.836
17.16,-0.927,8.901
17.18,-0.748,8.927
17.2,-0.569,8.901
17.22,-0.391,8.823
17.24,-0.215,8.679
17.26,-0.042,8.43
17.28,0.124,8.063
17.3,0.281,7.592
17.32,0.429,7.016
17.34,0.564,6.336
17.36,0.683,5.563
17.38,0.787,4.712
17.4,0.873,3.809
17.42,0.939,2.867
17.44,0.988,1.911
17.46,1.016,0.956
17.48,1.026,0.026
17.5,1.016,-0.851
17.52,0.991,-1.676
17.54,0.949,-2.435
17.56,0.892,-3.115
17.58,0.823,-3.704
17.6,0.743,-4.202
17.62,0.653,-4.608
17.64,0.558,-4.909
17.66,0.456,-5.092
17.68,0.352,-5.157
17.7,0.248,-5.118
17.72,0.146,-4.987
17.74,0.047,-4.778
17.76,-0.046,-4.503
17.78,-0.134,-4.163
17.8,-0.214,-3.77
17.82,-0.284,-3.338
17.84,-0.347,-2.893
17.86,-0.401,-2.435
17.88,-0.445,-1.977
17.9,-0.479,-1.532
17.92,-0.506,-1.1
17.94,-0.523,-0.707
17.96,-0.533,-0.353
17.98,-0.537,-0.052
18,-0.534,0.209
18.02,-0.528,0.419
18.04,-0.517,0.563
18.06,-0.504,0.668
18.08,-0.49,0.733
18.1,-0.474,0.759
18.12,-0.459,0.746
18.14,-0.445,0.707
18.16,-0.43,0.641
18.18,-0.418,0.537
18.2,-0.408,0.419
18.22,-0.402,0.314
18.24,-0.396,0.236
18.26,-0.393,0.157
18.28,-0.39,0.092
18.3,-0.39,0.065
18.32,-0.388,0.079
18.34,-0.386,0.118
18.36,-0.383,0.183
18.38,-0.38,0.288
18.4,-0.372,0.432
18.42,-0.363,0.602
18.44,-0.349,0.785
18.46,-0.331,1.008
18.48,-0.309,1.257
18.5,-0.281,1.518
18.52,-0.248,1.78
18.54,-0.21,2.042
18.56,-0.167,2.317
18.58,-0.118,2.579
18.6,-0.063,2.814
18.62,-0.005,3.024
18.64,0.058,3.194
18.66,0.124,3.312
18.68,0.192,3.377
18.7,0.259,3.403
18.72,0.328,3.364
18.74,0.396,3.259
18.76,0.459,3.076
18.78,0.52,2.827
18.8,0.573,2.5
18.82,0.62,2.107
18.84,0.658,1.676
18.86,0.688,1.191
18.88,0.707,0.654
18.9,0.715,0.079
18.92,0.71,-0.511
18.94,0.694,-1.1
18.96,0.666,-1.689
18.98,0.627,-2.278
19,0.575,-2.854
19.02,0.512,-3.403
19.04,0.438,-3.914
19.06,0.355,-4.372
19.08,0.262,-4.791
19.1,0.163,-5.157
19.12,0.055,-5.459
19.14,-0.057,-5.694
19.16,-0.173,-5.877
19.18,-0.292,-6.008
19.2,-0.415,-6.048
19.22,-0.536,-6.008
19.24,-0.655,-5.917
19.26,-0.773,-5.799
19.28,-0.888,-5.629
19.3,-0.999,-5.406
19.32,-1.104,-5.131
19.34,-1.205,-4.83
19.36,-1.297,-4.503
19.38,-1.385,-4.15
19.4,-1.464,-3.77
19.42,-1.536,-3.364
19.44,-1.599,-2.945
19.46,-1.654,-2.5
19.48,-1.7,-2.029
19.5,-1.736,-1.532
19.52,-1.761,-1.008
19.54,-1.777,-0.471
19.56,-1.78,0.079
19.58,-1.773,0.654
19.6,-1.755,1.257
19.62,-1.723,1.885
19.64,-1.679,2.526
19.66,-1.623,3.207
19.68,-1.552,3.94
19.7,-1.466,4.699
19.72,-1.363,5.472
19.74,-1.247,6.257
19.76,-1.114,7.055
19.78,-0.964,7.828
19.8,-0.8,8.561
19.82,-0.622,9.242
19.84,-0.429,9.817
19.86,-0.226,10.249
19.88,-0.017,10.511
19.9,0.196,10.603
19.92,0.41,10.472
19.94,0.619,10.079
19.96,0.817,9.438
19.98,0.999,8.587
20,1.162,7.553
20.02,1.304,6.336
20.04,1.418,4.961
20.06,1.503,3.469
20.08,1.558,1.898
20.1,1.58,0.288
20.12,1.569,-1.348
20.14,1.527,-2.985
20.16,1.45,-4.595
20.18,1.341,-6.152
20.2,1.203,-7.631
20.22,1.035,-9.006
20.24,0.84,-10.236
20.26,0.624,-11.27
20.28,0.386,-12.082
20.3,0.137,-12.658
20.32,-0.123,-13.011
20.34,-0.386,-13.169
20.36,-0.652,-13.142
20.38,-0.914,-12.959
20.4,-1.172,-12.671
20.42,-1.422,-12.344
20.44,-1.665,-12.004
20.46,-1.902,-11.689
20.48,-2.132,-11.414
20.5,-2.358,-11.205
20.52,-2.579,-11.061
20.54,-2.799,-10.982
20.56,-3.018,-10.982
20.58,-3.237,-11.035
20.6,-3.459,-11.126
20.62,-3.682,-11.231
20.64,-3.908,-11.31
20.66,-4.136,-11.297
20.68,-4.362,-11.166
20.7,-4.584,-10.904
20.72,-4.8,-10.485
20.74,-5.006,-9.87
20.76,-5.198,-9.045
20.78,-5.371,-8.037
20.8,-5.521,-6.872
20.82,-5.647,-5.563
20.84,-5.746,-4.123
20.86,-5.814,-2.605
20.88,-5.85,-1.047
20.9,-5.856,0.497
20.92,-5.829,2.016
20.94,-5.774,3.482
20.96,-5.689,4.843
20.98,-5.578,6.087
21,-5.444,7.16
21.02,-5.289,8.063
21.04,-5.119,8.783
21.06,-4.935,9.294
21.08,-4.744,9.608
21.1,-4.549,9.739
21.12,-4.353,9.713
21.14,-4.158,9.543
21.16,-3.969,9.255
21.18,-3.787,8.901
21.2,-3.613,8.495
21.22,-3.446,8.05
21.24,-3.291,7.579
21.26,-3.143,7.095
21.28,-3.007,6.624
21.3,-2.879,6.165
21.32,-2.76,5.733
21.34,-2.65,5.341
21.36,-2.548,4.987
21.38,-2.45,4.673
21.4,-2.361,4.398
21.42,-2.276,4.176
21.44,-2.194,4.006
21.46,-2.116,3.888
21.48,-2.04,3.822
21.5,-1.963,3.822
21.52,-1.888,3.888
21.54,-1.81,4.019
21.56,-1.728,4.228
21.58,-1.641,4.49
21.6,-1.549,4.804
21.62,-1.45,5.184
21.64,-1.343,5.616
21.66,-1.225,6.087
21.68,-1.1,6.584
21.7,-0.963,7.108
21.72,-0.815,7.658
21.74,-0.657,8.181
21.76,-0.487,8.652
21.78,-0.309,9.045
21.8,-0.124,9.333
21.82,0.066,9.49
