Time (s) Auto,Angle (rad) 3pi/4 forkudt,Angular Velocity (rad/s) 3pi/4 forkudt
834.98,-1.951,-8.522
835,-2.106,-7.684
835.02,-2.259,-7.042
835.04,-2.394,-6.244
835.06,-2.509,-5.315
835.08,-2.606,-4.372
835.1,-2.684,-3.43
835.12,-2.743,-2.5
835.14,-2.783,-1.597
835.16,-2.807,-0.694
835.18,-2.812,0.209
835.2,-2.798,1.1
835.22,-2.768,1.977
835.24,-2.719,2.867
835.26,-2.653,3.77
835.28,-2.568,4.686
835.3,-2.466,5.642
835.32,-2.344,6.637
835.34,-2.201,7.697
835.36,-2.037,8.783
835.38,-1.849,9.831
835.4,-1.641,10.76
835.42,-1.417,11.558
835.44,-1.178,12.252
835.46,-0.925,12.763
835.48,-0.663,13.313
835.5,-0.401,13.823
835.52,-0.105,14.098
835.54,0.176,14.046
835.56,0.452,13.522
835.58,0.727,12.71
835.6,0.966,11.65
835.62,1.188,10.459
835.64,1.39,9.124
835.66,1.558,7.474
835.68,1.69,5.629
835.7,1.784,3.744
835.72,1.839,1.872
835.74,1.858,0.013
835.76,1.841,-1.859
835.78,1.784,-3.731
835.8,1.69,-5.563
835.82,1.561,-7.33
835.84,1.396,-8.993
835.86,1.199,-10.524
835.88,0.974,-11.873
835.9,0.721,-12.998
835.92,0.449,-13.797
835.94,0.163,-14.242
835.96,-0.124,-14.111
835.98,-0.415,-13.692
836,-0.666,-13.247
836.02,-0.938,-12.815
836.04,-1.191,-12.239
836.06,-1.428,-11.035
836.08,-1.645,-9.556
836.1,-1.808,-8.247
836.12,-1.957,-7.33
836.14,-2.105,-6.61
836.16,-2.227,-5.681
836.18,-2.331,-4.621
836.2,-2.413,-3.587
836.22,-2.474,-2.539
836.24,-2.515,-1.492
836.26,-2.534,-0.458
836.28,-2.532,0.563
836.3,-2.512,1.571
836.32,-2.469,2.592
836.34,-2.408,3.613
836.36,-2.325,4.647
836.38,-2.223,5.733
836.4,-2.097,6.859
836.42,-1.948,7.985
836.44,-1.777,9.045
836.46,-1.585,10.04
836.48,-1.374,10.943
836.5,-1.145,11.768
836.52,-0.903,12.475
836.54,-0.644,12.881
836.56,-0.379,13.182
836.58,-0.124,13.391
836.6,0.159,13.522
836.62,0.426,13.339
836.64,0.694,12.579
836.66,0.941,11.572
836.68,1.153,10.393
836.7,1.356,9.137
836.72,1.527,7.645
836.74,1.663,5.864
836.76,1.762,4.032
836.78,1.824,2.199
836.8,1.85,0.367
836.82,1.839,-1.479
836.84,1.791,-3.325
836.86,1.706,-5.157
836.88,1.585,-6.951
836.9,1.426,-8.666
836.92,1.236,-10.236
836.94,1.015,-11.65
836.96,0.768,-12.867
836.98,0.496,-13.797
837,0.21,-14.386
837.02,-0.083,-14.412
837.04,-0.379,-14.019
837.06,-0.644,-13.535
837.08,-0.911,-13.116
837.1,-1.175,-12.645
837.12,-1.422,-11.716
837.14,-1.651,-10.302
837.16,-1.841,-8.927
837.18,-1.992,-7.919
837.2,-2.152,-7.226
837.22,-2.29,-6.466
837.24,-2.41,-5.498
837.26,-2.51,-4.542
837.28,-2.592,-3.574
837.3,-2.653,-2.605
837.32,-2.695,-1.649
837.34,-2.719,-0.694
837.36,-2.724,0.249
837.38,-2.708,1.178
837.4,-2.677,2.094
837.42,-2.625,3.024
837.44,-2.556,3.979
837.46,-2.466,4.948
837.48,-2.358,5.943
837.5,-2.229,6.99
837.52,-2.08,8.077
837.54,-1.905,9.15
837.56,-1.712,10.171
837.58,-1.499,11.074
837.6,-1.266,11.886
837.62,-1.023,12.553
837.64,-0.762,12.998
837.66,-0.496,13.417
837.68,-0.232,13.705
837.7,0.058,13.862
837.72,0.328,13.718
837.74,0.606,13.051
837.76,0.866,12.121
837.78,1.087,10.956
837.8,1.302,9.713
837.82,1.484,8.234
837.84,1.634,6.427
837.86,1.744,4.555
837.88,1.814,2.683
837.9,1.85,0.838
837.92,1.849,-1.021
837.94,1.81,-2.893
837.96,1.733,-4.739
837.98,1.619,-6.532
838,1.47,-8.247
838.02,1.288,-9.844
838.04,1.074,-11.297
838.06,0.834,-12.54
838.08,0.569,-13.496
838.1,0.289,-14.137
838.12,-6.54E-14,-14.255
838.14,-0.294,-13.967
838.16,-0.559,-13.483
838.18,-0.828,-12.998
838.2,-1.084,-12.488
838.22,-1.329,-11.663
838.24,-1.557,-10.328
838.26,-1.755,-8.81
838.28,-1.898,-7.605
838.3,-2.045,-6.82
838.32,-2.179,-6.087
838.34,-2.292,-5.066
838.36,-2.381,-4.006
838.38,-2.45,-2.958
838.4,-2.501,-1.924
838.42,-2.527,-0.89
838.44,-2.535,0.131
838.46,-2.523,1.139
838.48,-2.49,2.173
838.5,-2.436,3.207
838.52,-2.361,4.241
838.54,-2.267,5.288
838.56,-2.15,6.388
838.58,-2.012,7.514
838.6,-1.849,8.6
838.62,-1.667,9.634
838.64,-1.464,10.59
838.66,-1.241,11.493
838.68,-1.004,12.305
838.7,-0.748,12.723
838.72,-0.481,12.959
838.74,-0.237,13.182
838.76,0.041,13.417
838.78,0.313,13.443
838.8,0.58,12.828
838.82,0.837,11.925
838.84,1.056,10.839
838.86,1.268,9.634
838.88,1.45,8.221
838.9,1.599,6.48
838.92,1.711,4.647
838.94,1.784,2.788
838.96,1.822,0.956
838.98,1.822,-0.877
839,1.788,-2.71
839.02,1.714,-4.542
839.04,1.605,-6.349
839.06,1.459,-8.063
839.08,1.28,-9.673
839.1,1.071,-11.126
839.12,0.833,-12.383
839.14,0.572,-13.378
839.16,0.294,-14.059
839.18,0.005,-14.255
839.2,-0.287,-13.98
839.22,-0.558,-13.509
839.24,-0.822,-13.038
839.26,-1.082,-12.54
839.28,-1.327,-11.794
839.3,-1.557,-10.511
839.32,-1.762,-9.045
839.34,-1.909,-7.854
839.36,-2.061,-7.082
839.38,-2.201,-6.401
839.4,-2.32,-5.432
839.42,-2.417,-4.411
839.44,-2.496,-3.403
839.46,-2.554,-2.409
839.48,-2.592,-1.414
839.5,-2.611,-0.419
839.52,-2.609,0.563
839.54,-2.587,1.545
839.56,-2.548,2.526
839.58,-2.487,3.521
839.6,-2.406,4.529
839.62,-2.306,5.55
839.64,-2.185,6.65
839.66,-2.042,7.789
839.68,-1.872,8.875
839.7,-1.684,9.896
839.72,-1.478,10.825
839.74,-1.249,11.702
839.76,-1.008,12.435
839.78,-0.749,12.841
839.8,-0.485,13.208
839.82,-0.231,13.47
839.84,0.058,13.653
839.86,0.324,13.587
839.88,0.598,12.972
839.9,0.859,12.082
839.92,1.079,10.93
839.94,1.293,9.713
839.96,1.477,8.286
839.98,1.627,6.519
840,1.739,4.66
840.02,1.813,2.801
840.04,1.85,0.969
840.06,1.852,-0.877
840.08,1.816,-2.736
840.1,1.742,-4.595
840.12,1.632,-6.414
840.14,1.484,-8.142
840.16,1.304,-9.752
840.18,1.093,-11.205
840.2,0.853,-12.475
840.22,0.591,-13.483
840.24,0.309,-14.176
840.26,0.019,-14.425
840.28,-0.276,-14.19
840.3,-0.554,-13.692
840.32,-0.82,-13.169
840.34,-1.081,-12.658
840.36,-1.33,-11.925
840.38,-1.563,-10.695
840.4,-1.769,-9.242
840.42,-1.926,-8.024
840.44,-2.077,-7.199
840.46,-2.218,-6.493
840.48,-2.34,-5.576
840.5,-2.441,-4.581
840.52,-2.523,-3.587
840.54,-2.586,-2.592
840.56,-2.626,-1.597
840.58,-2.648,-0.615
840.6,-2.652,0.353
840.62,-2.634,1.322
840.64,-2.598,2.278
840.66,-2.543,3.233
840.68,-2.469,4.228
840.7,-2.375,5.249
840.72,-2.259,6.309
840.74,-2.124,7.396
840.76,-1.963,8.482
840.78,-1.783,9.53
840.8,-1.582,10.498
840.82,-1.362,11.401
840.84,-1.125,12.2
840.86,-0.872,12.776
840.88,-0.608,13.169
840.9,-0.346,13.509
840.92,-0.071,13.705
840.94,0.212,13.705
840.96,0.479,13.313
840.98,0.749,12.54
841,0.99,11.506
841.02,1.206,10.276
841.04,1.403,8.927
841.06,1.569,7.317
841.08,1.698,5.485
841.1,1.789,3.6
841.12,1.841,1.741
841.14,1.858,-0.105
841.16,1.838,-1.95
841.18,1.78,-3.809
841.2,1.685,-5.642
841.22,1.554,-7.422
841.24,1.387,-9.098
841.26,1.188,-10.616
841.28,0.96,-11.964
841.3,0.707,-13.09
841.32,0.432,-13.888
841.34,0.145,-14.347
841.36,-0.145,-14.281
841.38,-0.438,-13.836
841.4,-0.699,-13.326
841.42,-0.961,-12.854
841.44,-1.221,-12.318
841.46,-1.459,-11.179
841.48,-1.679,-9.687
841.5,-1.844,-8.404
841.52,-1.998,-7.514
841.54,-2.149,-6.82
841.56,-2.276,-5.904
841.58,-2.384,-4.869
841.6,-2.471,-3.862
841.62,-2.538,-2.854
841.64,-2.586,-1.846
841.66,-2.612,-0.838
841.68,-2.619,0.157
841.7,-2.606,1.126
841.72,-2.573,2.094
841.74,-2.523,3.076
841.76,-2.45,4.071
841.78,-2.359,5.079
841.8,-2.248,6.126
841.82,-2.116,7.239
841.84,-1.959,8.351
841.86,-1.78,9.399
841.88,-1.582,10.354
841.9,-1.365,11.244
841.92,-1.131,12.056
841.94,-0.881,12.75
841.96,-0.619,13.142
841.98,-0.347,13.391
842,-0.088,13.535
842.02,0.195,13.6
842.04,0.463,13.352
842.06,0.734,12.579
842.08,0.975,11.545
842.1,1.192,10.328
842.12,1.39,8.993
842.14,1.558,7.409
842.16,1.689,5.603
842.18,1.783,3.731
842.2,1.838,1.872
842.22,1.857,0.026
842.24,1.839,-1.82
842.26,1.784,-3.678
842.28,1.692,-5.511
842.3,1.563,-7.278
842.32,1.4,-8.954
842.34,1.203,-10.498
842.36,0.977,-11.886
842.38,0.726,-13.038
842.4,0.451,-13.875
842.42,0.165,-14.36
842.44,-0.127,-14.281
842.46,-0.419,-13.875
842.48,-0.679,-13.417
842.5,-0.949,-12.998
842.52,-1.208,-12.449
842.54,-1.45,-11.375
842.56,-1.671,-9.909
842.58,-1.85,-8.548
842.6,-1.996,-7.592
842.62,-2.15,-6.912
842.64,-2.282,-6.1
842.66,-2.394,-5.079
842.68,-2.485,-4.084
842.7,-2.557,-3.089
842.72,-2.609,-2.094
842.74,-2.641,-1.1
842.76,-2.653,-0.131
842.78,-2.645,0.825
842.8,-2.62,1.78
842.82,-2.575,2.749
842.84,-2.51,3.744
842.86,-2.425,4.739
842.88,-2.32,5.76
842.9,-2.196,6.833
842.92,-2.048,7.933
842.94,-1.877,9.006
842.96,-1.687,10.014
842.98,-1.477,10.956
843,-1.247,11.794
843.02,-1.002,12.54
843.04,-0.746,12.972
843.06,-0.473,13.326
843.08,-0.22,13.574
843.1,0.071,13.731
843.12,0.339,13.692
843.14,0.616,13.064
843.16,0.878,12.148
843.18,1.1,10.982
843.2,1.313,9.739
843.22,1.499,8.286
843.24,1.648,6.506
843.26,1.759,4.647
843.28,1.833,2.801
843.3,1.871,0.956
843.32,1.872,-0.903
843.34,1.835,-2.762
843.36,1.761,-4.608
843.38,1.651,-6.427
843.4,1.503,-8.181
843.42,1.321,-9.804
843.44,1.109,-11.27
843.46,0.869,-12.566
843.48,0.603,-13.6
843.5,0.319,-14.294
843.52,0.027,-14.504
843.54,-0.27,-14.281
843.56,-0.548,-13.875
843.58,-0.82,-13.43
843.6,-1.089,-12.92
843.62,-1.341,-12.161
843.64,-1.577,-10.786
843.66,-1.791,-9.32
843.68,-1.934,-8.207
843.7,-2.103,-7.527
843.72,-2.249,-6.872
843.74,-2.378,-5.838
843.76,-2.483,-4.843
843.78,-2.57,-3.875
843.8,-2.639,-2.932
843.82,-2.688,-1.963
843.84,-2.717,-0.995
843.86,-2.727,-0.052
843.88,-2.719,0.864
843.9,-2.692,1.78
843.92,-2.648,2.723
843.94,-2.584,3.665
843.96,-2.501,4.621
843.98,-2.4,5.603
844,-2.278,6.637
844.02,-2.135,7.71
844.04,-1.97,8.77
844.06,-1.783,9.791
844.08,-1.577,10.721
844.1,-1.352,11.532
844.12,-1.114,12.226
844.14,-0.862,12.737
844.16,-0.6,13.26
844.18,-0.338,13.744
844.2,-0.047,13.967
844.22,0.234,13.849
844.24,0.504,13.221
844.26,0.773,12.383
844.28,1.001,11.362
844.3,1.224,10.171
844.32,1.417,8.77
844.34,1.577,7.042
844.36,1.7,5.21
844.38,1.786,3.325
844.4,1.833,1.44
844.42,1.843,-0.432
844.44,1.816,-2.278
844.46,1.751,-4.123
844.48,1.651,-5.943
844.5,1.513,-7.697
844.52,1.341,-9.333
844.54,1.137,-10.825
844.56,0.906,-12.148
844.58,0.649,-13.208
844.6,0.372,-13.928
844.62,0.086,-14.19
844.64,-0.203,-14.019
844.66,-0.479,-13.64
844.68,-0.745,-13.208
844.7,-1.008,-12.697
844.72,-1.258,-11.977
844.74,-1.489,-10.681
844.76,-1.701,-9.215
844.78,-1.847,-8.024
844.8,-2.006,-7.213
844.82,-2.147,-6.493
844.84,-2.267,-5.459
844.86,-2.366,-4.411
844.88,-2.443,-3.377
844.9,-2.501,-2.343
844.92,-2.537,-1.322
844.94,-2.553,-0.301
844.96,-2.549,0.707
844.98,-2.524,1.715
845,-2.48,2.723
845.02,-2.416,3.731
845.04,-2.331,4.778
845.06,-2.226,5.864
845.08,-2.097,6.977
845.1,-1.946,8.077
845.12,-1.773,9.137
845.14,-1.58,10.145
845.16,-1.367,11.061
845.18,-1.136,11.86
845.2,-0.891,12.527
845.22,-0.633,12.972
845.24,-0.366,13.339
845.26,-0.104,13.574
845.28,0.181,13.653
845.3,0.449,13.391
845.32,0.719,12.593
845.34,0.964,11.558
845.36,1.177,10.367
845.38,1.379,9.098
845.4,1.549,7.579
845.42,1.684,5.799
845.44,1.781,3.966
845.46,1.843,2.121
845.48,1.866,0.275
845.5,1.854,-1.584
845.52,1.803,-3.443
845.54,1.715,-5.275
845.56,1.591,-7.055
845.58,1.433,-8.77
845.6,1.239,-10.367
845.62,1.015,-11.794
845.64,0.765,-12.998
845.66,0.492,-13.902
845.68,0.203,-14.464
845.7,-0.091,-14.517
845.72,-0.388,-14.176
845.74,-0.66,-13.692
845.76,-0.93,-13.221
845.78,-1.192,-12.71
845.8,-1.442,-11.794
845.82,-1.673,-10.42
845.84,-1.865,-9.071
845.86,-2.02,-8.09
845.88,-2.183,-7.409
845.9,-2.325,-6.65
845.92,-2.449,-5.681
845.94,-2.553,-4.739
845.96,-2.637,-3.796
845.98,-2.705,-2.867
846,-2.752,-1.937
846.02,-2.782,-1.008
846.04,-2.793,-0.105
846.06,-2.785,0.785
846.08,-2.761,1.662
846.1,-2.719,2.553
846.12,-2.659,3.469
846.14,-2.581,4.398
846.16,-2.483,5.354
846.18,-2.367,6.322
846.2,-2.231,7.37
846.22,-2.075,8.456
846.24,-1.891,9.49
846.26,-1.692,10.459
846.28,-1.475,11.336
846.3,-1.236,12.121
846.32,-0.986,12.723
846.34,-0.726,13.208
846.36,-0.459,13.692
846.38,-0.179,13.967
846.4,0.11,13.993
846.42,0.382,13.653
846.44,0.66,12.92
846.46,0.909,11.925
846.48,1.133,10.734
846.5,1.34,9.451
846.52,1.517,7.906
846.54,1.659,6.1
846.56,1.762,4.215
846.58,1.827,2.33
846.6,1.855,0.445
846.62,1.846,-1.427
846.64,1.797,-3.286
846.66,1.714,-5.118
846.68,1.593,-6.912
846.7,1.436,-8.626
846.72,1.246,-10.184
846.74,1.026,-11.585
846.76,0.781,-12.776
846.78,0.511,-13.653
846.8,0.228,-14.176
846.82,-0.06,-14.163
846.84,-0.35,-13.862
846.86,-0.611,-13.456
846.88,-0.884,-13.025
846.9,-1.14,-12.462
846.92,-1.384,-11.441
846.94,-1.607,-10.027
846.96,-1.791,-8.639
846.98,-1.937,-7.605
847,-2.091,-6.872
847.02,-2.22,-6.034
847.04,-2.333,-4.961
847.06,-2.419,-3.914
847.08,-2.487,-2.88
847.1,-2.535,-1.885
847.12,-2.562,-0.877
847.14,-2.57,0.131
847.16,-2.557,1.139
847.18,-2.524,2.147
847.2,-2.471,3.142
847.22,-2.399,4.15
847.24,-2.306,5.197
847.26,-2.191,6.309
847.28,-2.055,7.435
847.3,-1.893,8.508
847.32,-1.712,9.516
847.34,-1.513,10.485
847.36,-1.293,11.375
847.38,-1.054,12.226
847.4,-0.806,12.854
847.42,-0.533,13.195
847.44,-0.272,13.43
847.46,-0.005,13.653
847.48,0.278,13.771
847.5,0.556,13.273
847.52,0.82,12.239
847.54,1.046,11.074
847.56,1.257,9.896
847.58,1.448,8.587
847.6,1.605,6.964
847.62,1.728,5.157
847.64,1.813,3.312
847.66,1.86,1.466
847.68,1.871,-0.38
847.7,1.846,-2.238
847.72,1.781,-4.097
847.74,1.681,-5.917
847.76,1.544,-7.671
847.78,1.373,-9.346
847.8,1.169,-10.891
847.82,0.935,-12.265
847.84,0.675,-13.391
847.86,0.394,-14.203
847.88,0.102,-14.595
847.9,-0.196,-14.582
847.92,-0.485,-14.176
847.94,-0.768,-13.614
847.96,-1.027,-13.064
847.98,-1.288,-12.435
848,-1.533,-11.388
848.02,-1.755,-9.961
848.04,-1.927,-8.731
848.06,-2.089,-7.893
848.08,-2.246,-7.213
848.1,-2.383,-6.336
848.12,-2.499,-5.38
848.14,-2.597,-4.451
848.16,-2.678,-3.521
848.18,-2.738,-2.592
848.2,-2.78,-1.676
848.22,-2.805,-0.785
848.24,-2.812,0.105
848.26,-2.801,0.982
848.28,-2.772,1.859
848.3,-2.727,2.762
848.32,-2.663,3.678
848.34,-2.579,4.595
848.36,-2.479,5.524
848.38,-2.359,6.493
848.4,-2.22,7.553
848.42,-2.059,8.639
848.44,-1.872,9.66
848.46,-1.67,10.616
848.48,-1.45,11.493
848.5,-1.208,12.252
848.52,-0.955,12.881
848.54,-0.694,13.326
848.56,-0.418,13.718
848.58,-0.146,14.032
848.6,0.143,14.15
848.62,0.429,13.849
848.64,0.705,12.881
848.66,0.953,11.663
848.68,1.164,10.446
848.7,1.37,9.202
848.72,1.543,7.697
848.74,1.679,5.864
848.76,1.778,3.966
848.78,1.838,2.068
848.8,1.86,0.196
848.82,1.846,-1.676
848.84,1.794,-3.547
848.86,1.703,-5.393
848.88,1.577,-7.16
848.9,1.415,-8.836
848.92,1.222,-10.407
848.94,0.997,-11.82
848.96,0.746,-12.998
848.98,0.473,-13.836
849,0.187,-14.281
849.02,-0.104,-14.229
849.04,-0.391,-13.888
849.06,-0.657,-13.47
849.08,-0.927,-13.025
849.1,-1.184,-12.409
849.12,-1.426,-11.375
849.14,-1.646,-9.935
849.16,-1.83,-8.535
849.18,-1.973,-7.487
849.2,-2.124,-6.741
849.22,-2.251,-5.917
849.24,-2.361,-4.856
849.26,-2.446,-3.809
849.28,-2.512,-2.775
849.3,-2.557,-1.78
849.32,-2.582,-0.785
849.34,-2.589,0.209
849.36,-2.575,1.204
849.38,-2.54,2.199
849.4,-2.487,3.194
849.42,-2.413,4.202
849.44,-2.318,5.236
849.46,-2.204,6.322
849.48,-2.067,7.435
849.5,-1.905,8.508
849.52,-1.725,9.516
849.54,-1.525,10.498
849.56,-1.305,11.428
849.58,-1.065,12.278
849.6,-0.814,12.815
849.62,-0.543,13.129
849.64,-0.289,13.43
849.66,-0.014,13.731
849.68,0.269,13.849
849.7,0.547,13.299
849.72,0.812,12.239
849.74,1.038,11.035
849.76,1.246,9.857
849.78,1.437,8.587
849.8,1.596,7.003
849.82,1.718,5.197
849.84,1.805,3.338
849.86,1.852,1.466
849.88,1.863,-0.406
849.9,1.836,-2.265
849.92,1.772,-4.11
849.94,1.671,-5.93
849.96,1.535,-7.697
849.98,1.362,-9.372
850,1.158,-10.904
850.02,0.924,-12.265
850.04,0.664,-13.391
850.06,0.383,-14.203
850.08,0.091,-14.582
850.1,-0.207,-14.556
850.12,-0.495,-14.124
850.14,-0.778,-13.535
850.16,-1.034,-12.972
850.18,-1.293,-12.318
850.2,-1.536,-11.297
850.22,-1.753,-9.909
850.24,-1.929,-8.692
850.26,-2.089,-7.841
850.28,-2.243,-7.134
850.3,-2.38,-6.257
850.32,-2.494,-5.275
850.34,-2.589,-4.333
850.36,-2.667,-3.416
850.38,-2.727,-2.487
850.4,-2.766,-1.558
850.42,-2.788,-0.641
850.44,-2.793,0.262
850.46,-2.777,1.152
850.48,-2.746,2.042
850.5,-2.697,2.945
850.52,-2.628,3.875
850.54,-2.542,4.804
850.56,-2.436,5.747
850.58,-2.312,6.741
850.6,-2.168,7.815
850.62,-2.001,8.888
850.64,-1.81,9.883
850.66,-1.604,10.812
850.68,-1.379,11.663
850.7,-1.134,12.435
850.72,-0.88,12.959
850.74,-0.611,13.404
850.76,-0.347,13.836
850.78,-0.058,14.124
850.8,0.228,14.111
850.82,0.509,13.561
850.84,0.779,12.514
850.86,1.018,11.231
850.88,1.221,9.975
850.9,1.415,8.705
850.92,1.579,7.173
850.94,1.704,5.315
850.96,1.792,3.39
850.98,1.839,1.479
851,1.85,-0.406
851.02,1.824,-2.265
851.04,1.759,-4.123
851.06,1.659,-5.943
851.08,1.521,-7.697
851.1,1.349,-9.346
851.12,1.145,-10.852
851.14,0.913,-12.187
851.16,0.655,-13.26
851.18,0.377,-14.006
851.2,0.09,-14.281
851.22,-0.203,-14.137
851.24,-0.479,-13.744
851.26,-0.751,-13.234
851.28,-1.012,-12.671
851.3,-1.258,-11.899
851.32,-1.492,-10.76
851.34,-1.698,-9.386
851.36,-1.863,-8.155
851.38,-2.014,-7.239
851.4,-2.155,-6.414
851.42,-2.275,-5.419
851.44,-2.372,-4.346
851.46,-2.447,-3.312
851.48,-2.504,-2.304
851.5,-2.54,-1.296
851.52,-2.556,-0.275
851.54,-2.551,0.733
851.56,-2.526,1.741
851.58,-2.482,2.749
851.6,-2.416,3.77
851.62,-2.331,4.804
851.64,-2.224,5.877
851.66,-2.097,6.99
851.68,-1.945,8.077
851.7,-1.772,9.111
851.72,-1.58,10.132
851.74,-1.368,11.074
851.76,-1.133,11.886
851.78,-0.891,12.566
851.8,-0.631,12.972
851.82,-0.361,13.299
851.84,-0.105,13.587
851.86,0.179,13.771
851.88,0.459,13.548
851.9,0.727,12.579
851.92,0.972,11.362
851.94,1.175,10.158
851.96,1.374,8.94
851.98,1.544,7.501
852,1.676,5.707
852.02,1.773,3.848
852.04,1.83,2.003
852.06,1.852,0.157
852.08,1.838,-1.689
852.1,1.784,-3.56
852.12,1.695,-5.406
852.14,1.568,-7.186
852.16,1.406,-8.875
852.18,1.211,-10.446
852.2,0.986,-11.873
852.22,0.734,-13.077
852.24,0.459,-13.967
852.26,0.17,-14.491
852.28,-0.126,-14.582
852.3,-0.421,-14.229
852.32,-0.701,-13.64
852.34,-0.963,-13.051
852.36,-1.221,-12.449
852.38,-1.467,-11.585
852.4,-1.69,-10.276
852.42,-1.883,-8.98
852.44,-2.037,-8.011
852.46,-2.198,-7.278
852.48,-2.337,-6.466
852.5,-2.457,-5.459
852.52,-2.554,-4.49
852.54,-2.636,-3.547
852.56,-2.697,-2.618
852.58,-2.739,-1.689
852.6,-2.765,-0.772
852.62,-2.771,0.144
852.64,-2.758,1.06
852.66,-2.728,1.963
852.68,-2.68,2.867
852.7,-2.614,3.796
852.72,-2.529,4.752
852.74,-2.424,5.733
852.76,-2.3,6.728
852.78,-2.155,7.775
852.8,-1.99,8.836
852.82,-1.8,9.844
852.84,-1.594,10.812
852.86,-1.37,11.663
852.88,-1.123,12.357
852.9,-0.872,12.894
852.92,-0.609,13.352
852.94,-0.336,13.797
852.96,-0.057,14.059
852.98,0.231,14.019
853,0.511,13.43
853.02,0.779,12.357
853.04,1.007,11.153
853.06,1.217,9.975
853.08,1.411,8.679
853.1,1.572,7.029
853.12,1.693,5.157
853.14,1.778,3.259
853.16,1.824,1.374
853.18,1.833,-0.511
853.2,1.803,-2.382
853.22,1.737,-4.241
853.24,1.634,-6.061
853.26,1.494,-7.815
853.28,1.319,-9.438
853.3,1.114,-10.917
853.32,0.881,-12.213
853.34,0.622,-13.247
853.36,0.346,-13.941
853.38,0.06,-14.163
853.4,-0.229,-14.006
853.42,-0.503,-13.6
853.44,-0.773,-13.077
853.46,-1.029,-12.449
853.48,-1.272,-11.611
853.5,-1.497,-10.446
853.52,-1.698,-9.137
853.54,-1.857,-7.985
853.56,-2.009,-7.082
853.58,-2.144,-6.231
853.6,-2.26,-5.184
853.62,-2.353,-4.071
853.64,-2.422,-2.985
853.66,-2.471,-1.963
853.68,-2.501,-0.969
853.7,-2.51,0.052
853.72,-2.499,1.086
853.74,-2.466,2.107
853.76,-2.414,3.129
853.78,-2.342,4.176
853.8,-2.248,5.262
853.82,-2.132,6.388
853.84,-1.993,7.514
853.86,-1.83,8.574
853.88,-1.648,9.569
853.9,-1.448,10.551
853.92,-1.227,11.48
853.94,-0.985,12.265
853.96,-0.734,12.815
853.98,-0.47,13.116
854,-0.204,13.378
854.02,0.06,13.587
854.04,0.342,13.587
854.06,0.614,12.92
854.08,0.872,11.781
854.1,1.081,10.629
854.12,1.29,9.49
854.14,1.472,8.168
854.16,1.619,6.453
854.18,1.731,4.621
854.2,1.805,2.762
854.22,1.841,0.903
854.24,1.841,-0.942
854.26,1.803,-2.801
854.28,1.729,-4.647
854.3,1.616,-6.453
854.32,1.47,-8.194
854.34,1.288,-9.817
854.36,1.074,-11.31
854.38,0.834,-12.606
854.4,0.567,-13.627
854.42,0.283,-14.307
854.44,-0.009,-14.504
854.46,-0.306,-14.32
854.48,-0.584,-13.849
854.5,-0.861,-13.247
854.52,-1.117,-12.579
854.54,-1.363,-11.755
854.56,-1.591,-10.681
854.58,-1.797,-9.451
854.6,-1.965,-8.364
854.62,-2.124,-7.514
854.64,-2.268,-6.702
854.66,-2.395,-5.707
854.68,-2.498,-4.673
854.7,-2.579,-3.704
854.72,-2.645,-2.788
854.74,-2.692,-1.846
854.76,-2.719,-0.89
854.78,-2.727,0.039
854.8,-2.717,0.956
854.82,-2.689,1.872
854.84,-2.642,2.801
854.86,-2.578,3.744
854.88,-2.493,4.712
854.9,-2.389,5.707
854.92,-2.265,6.741
854.94,-2.121,7.828
854.96,-1.953,8.875
854.98,-1.762,9.857
855,-1.558,10.799
855.02,-1.332,11.663
855.04,-1.087,12.305
855.06,-0.834,12.854
855.08,-0.58,13.391
855.1,-0.297,13.849
855.12,-0.017,14.059
855.14,0.265,13.915
855.16,0.545,13.286
855.18,0.811,12.2
855.2,1.032,10.982
855.22,1.243,9.804
855.24,1.431,8.495
855.26,1.588,6.807
855.28,1.706,4.935
855.3,1.784,3.037
855.32,1.827,1.165
855.34,1.832,-0.707
855.36,1.799,-2.592
855.38,1.728,-4.464
855.4,1.619,-6.283
855.42,1.475,-8.011
855.44,1.297,-9.621
855.46,1.089,-11.1
855.48,0.851,-12.396
855.5,0.589,-13.404
855.52,0.309,-14.072
855.54,0.022,-14.255
855.56,-0.27,-14.019
855.58,-0.542,-13.561
855.6,-0.809,-13.025
855.62,-1.067,-12.383
855.64,-1.308,-11.532
855.66,-1.528,-10.367
855.68,-1.731,-9.111
855.7,-1.888,-7.998
855.72,-2.042,-7.095
855.74,-2.177,-6.231
855.76,-2.293,-5.144
855.78,-2.384,-4.032
855.8,-2.452,-2.971
855.82,-2.502,-1.963
855.84,-2.532,-0.969
855.86,-2.54,0.039
855.88,-2.531,1.034
855.9,-2.499,2.042
855.92,-2.449,3.063
855.94,-2.377,4.097
855.96,-2.286,5.157
855.98,-2.171,6.257
856,-2.036,7.37
856.02,-1.876,8.43
856.04,-1.696,9.451
856.06,-1.499,10.472
856.08,-1.279,11.428
856.1,-1.037,12.161
856.12,-0.787,12.789
856.14,-0.531,13.169
856.16,-0.25,13.43
856.18,0.006,13.535
856.2,0.287,13.456
856.22,0.556,13.051
856.24,0.815,12.095
856.26,1.045,10.982
856.28,1.25,9.791
856.3,1.439,8.456
