Time (s) Auto,Angle (rad) pi/2 postiv/lagt til venstre,Angular Velocity (rad/s) pi/2 postiv/lagt til venstre
0,0,
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,0,0
1.02,0,0
1.04,0,0
1.06,0,0
1.08,0,0
1.1,0,0
1.12,0,0
1.14,0,0
1.16,0,0
1.18,0,0
1.2,0,0
1.22,0,0
1.24,0,0
1.26,0,0
1.28,0,0.013
1.3,0,0.039
1.32,0.002,0.092
1.34,0.003,0.17
1.36,0.008,0.275
1.38,0.014,0.393
1.4,0.024,0.524
1.42,0.035,0.668
1.44,0.05,0.812
1.46,0.068,0.942
1.48,0.088,1.073
1.5,0.11,1.191
1.52,0.137,1.283
1.54,0.162,1.361
1.56,0.19,1.401
1.58,0.22,1.401
1.6,0.247,1.348
1.62,0.273,1.27
1.64,0.298,1.152
1.66,0.32,0.969
1.68,0.338,0.746
1.7,0.35,0.497
1.72,0.358,0.223
1.74,0.36,-0.079
1.76,0.355,-0.406
1.78,0.344,-0.746
1.8,0.325,-1.113
1.82,0.3,-1.492
1.84,0.265,-1.872
1.86,0.225,-2.251
1.88,0.176,-2.618
1.9,0.119,-2.971
1.92,0.057,-3.299
1.94,-0.013,-3.6
1.96,-0.088,-3.862
1.98,-0.168,-4.084
2,-0.251,-4.254
2.02,-0.339,-4.372
2.04,-0.427,-4.438
2.06,-0.517,-4.411
2.08,-0.606,-4.294
2.1,-0.69,-4.097
2.12,-0.77,-3.953
2.14,-0.845,-3.77
2.16,-0.925,-3.416
2.18,-0.986,-2.906
2.2,-1.038,-2.343
2.22,-1.081,-1.82
2.24,-1.112,-1.244
2.26,-1.131,-0.628
2.28,-1.137,0
2.3,-1.131,0.654
2.32,-1.112,1.348
2.34,-1.078,2.068
2.36,-1.029,2.788
2.38,-0.966,3.508
2.4,-0.889,4.228
2.42,-0.796,4.935
2.44,-0.691,5.616
2.46,-0.572,6.257
2.48,-0.44,6.833
2.5,-0.297,7.304
2.52,-0.146,7.789
2.54,0.011,8.129
2.56,0.187,8.181
2.58,0.346,7.933
2.6,0.501,7.527
2.62,0.649,7.095
2.64,0.787,6.506
2.66,0.911,5.786
2.68,1.019,4.961
2.7,1.111,4.019
2.72,1.183,2.893
2.74,1.23,1.715
2.76,1.247,0.615
2.78,1.252,-0.406
2.8,1.235,-1.453
2.82,1.194,-2.579
2.84,1.131,-3.691
2.86,1.046,-4.778
2.88,0.939,-5.812
2.9,0.812,-6.768
2.92,0.668,-7.645
2.94,0.506,-8.417
2.96,0.328,-9.045
2.98,0.141,-9.49
3,-0.053,-9.778
3.02,-0.251,-9.935
3.04,-0.452,-9.948
3.06,-0.652,-9.896
3.08,-0.847,-9.739
3.1,-1.045,-9.438
3.12,-1.228,-9.006
3.14,-1.403,-8.508
3.16,-1.569,-8.024
3.18,-1.725,-7.527
3.2,-1.869,-7.016
3.22,-2.006,-6.453
3.24,-2.13,-5.747
3.26,-2.238,-5.105
3.28,-2.326,-4.542
3.3,-2.422,-4.136
3.32,-2.491,-3.835
3.34,-2.57,-3.547
3.36,-2.639,-3.259
3.38,-2.7,-2.814
3.4,-2.752,-2.356
3.42,-2.794,-1.885
3.44,-2.827,-1.401
3.46,-2.851,-0.89
3.48,-2.864,-0.353
3.5,-2.865,0.183
3.52,-2.856,0.72
3.54,-2.837,1.283
3.56,-2.805,1.872
3.58,-2.761,2.487
3.6,-2.706,3.115
3.62,-2.637,3.783
3.64,-2.556,4.503
3.66,-2.458,5.262
3.68,-2.345,6.061
3.7,-2.216,6.885
3.72,-2.07,7.749
3.74,-1.907,8.639
3.76,-1.725,9.543
3.78,-1.525,10.393
3.8,-1.307,11.205
3.82,-1.078,11.99
3.84,-0.828,12.723
3.86,-0.565,13.299
3.88,-0.292,13.561
3.9,-0.017,13.417
3.92,0.251,12.998
3.94,0.501,12.226
3.96,0.749,11.218
3.98,0.952,10.132
4,1.147,8.98
4.02,1.319,7.736
4.04,1.459,6.139
4.06,1.568,4.346
4.08,1.635,2.461
4.1,1.665,0.537
4.12,1.657,-1.361
4.14,1.61,-3.233
4.16,1.527,-5.066
4.18,1.407,-6.872
4.2,1.252,-8.574
4.22,1.06,-10.053
4.24,0.845,-11.284
4.26,0.608,-12.291
4.28,0.35,-13.064
4.3,0.08,-13.522
4.32,-0.195,-13.666
4.34,-0.47,-13.548
4.36,-0.74,-13.182
4.38,-1.001,-12.606
4.4,-1.246,-11.886
4.42,-1.477,-10.812
4.44,-1.69,-9.333
4.46,-1.854,-8.063
4.48,-1.989,-7.265
4.5,-2.146,-6.859
4.52,-2.27,-6.388
4.54,-2.395,-5.76
4.56,-2.505,-5.144
4.58,-2.601,-4.411
4.6,-2.681,-3.718
4.62,-2.749,-3.037
4.64,-2.804,-2.369
4.66,-2.843,-1.715
4.68,-2.871,-1.086
4.7,-2.887,-0.484
4.72,-2.89,0.118
4.74,-2.882,0.694
4.76,-2.862,1.244
4.78,-2.832,1.78
4.8,-2.791,2.317
4.82,-2.739,2.854
4.84,-2.677,3.39
4.86,-2.604,3.914
4.88,-2.52,4.438
4.9,-2.427,4.974
4.92,-2.322,5.537
4.94,-2.205,6.113
4.96,-2.077,6.676
4.98,-1.938,7.186
5,-1.788,7.527
5.02,-1.632,7.906
5.04,-1.48,8.482
5.06,-1.297,9.071
5.08,-1.104,9.503
5.1,-0.919,9.791
5.12,-0.718,10.053
5.14,-0.509,10.119
5.16,-0.308,9.673
5.18,-0.115,9.124
5.2,0.049,8.744
5.22,0.229,8.404
5.24,0.397,7.815
5.26,0.545,6.82
5.28,0.671,5.707
5.3,0.774,4.529
5.32,0.853,3.299
5.34,0.906,2.055
5.36,0.935,0.825
5.38,0.939,-0.367
5.4,0.919,-1.492
5.42,0.878,-2.526
5.44,0.817,-3.456
5.46,0.738,-4.294
5.48,0.644,-5
5.5,0.536,-5.563
5.52,0.419,-5.969
5.54,0.295,-6.218
5.56,0.168,-6.309
5.58,0.041,-6.231
5.6,-0.083,-6.021
5.62,-0.201,-5.681
5.64,-0.313,-5.21
5.66,-0.412,-4.621
5.68,-0.498,-3.953
5.7,-0.57,-3.233
5.72,-0.628,-2.448
5.74,-0.669,-1.636
5.76,-0.693,-0.825
5.78,-0.702,-0.026
5.8,-0.694,0.759
5.82,-0.671,1.505
5.84,-0.633,2.186
5.86,-0.583,2.827
5.88,-0.52,3.416
5.9,-0.445,3.914
5.92,-0.361,4.294
5.94,-0.272,4.555
5.96,-0.178,4.712
5.98,-0.082,4.752
6,0.014,4.66
6.02,0.107,4.438
6.04,0.193,4.071
6.06,0.272,3.574
6.08,0.338,2.971
6.1,0.391,2.278
6.12,0.43,1.505
6.14,0.452,0.668
6.16,0.457,-0.196
6.18,0.445,-1.047
6.2,0.415,-1.885
6.22,0.369,-2.71
6.24,0.306,-3.495
6.26,0.228,-4.189
6.28,0.137,-4.778
6.3,0.036,-5.262
6.32,-0.075,-5.616
6.34,-0.192,-5.825
6.36,-0.309,-5.904
6.38,-0.429,-5.851
6.4,-0.547,-5.655
6.42,-0.657,-5.328
6.44,-0.76,-4.896
6.46,-0.855,-4.372
6.48,-0.936,-3.757
6.5,-1.005,-3.076
6.52,-1.06,-2.33
6.54,-1.1,-1.532
6.56,-1.122,-0.694
6.58,-1.128,0.17
6.6,-1.115,1.047
6.62,-1.085,1.924
6.64,-1.038,2.788
6.66,-0.974,3.639
6.68,-0.892,4.477
6.7,-0.795,5.301
6.72,-0.68,6.074
6.74,-0.55,6.768
6.76,-0.408,7.357
6.78,-0.254,7.828
6.8,-0.093,8.155
6.82,0.074,8.299
6.84,0.242,8.273
6.86,0.407,8.05
6.88,0.567,7.645
6.9,0.715,7.055
6.92,0.851,6.309
6.94,0.969,5.432
6.96,1.07,4.424
6.98,1.148,3.325
7,1.203,2.147
7.02,1.235,0.916
7.04,1.241,-0.367
7.06,1.221,-1.689
7.08,1.173,-2.998
7.1,1.1,-4.267
7.12,1.002,-5.498
7.14,0.88,-6.663
7.16,0.734,-7.749
7.18,0.569,-8.705
7.2,0.383,-9.516
7.22,0.185,-10.158
7.24,-0.025,-10.603
7.26,-0.242,-10.865
7.28,-0.462,-10.943
7.3,-0.682,-10.865
7.32,-0.898,-10.642
7.34,-1.109,-10.289
7.36,-1.312,-9.831
7.38,-1.503,-9.307
7.4,-1.684,-8.731
7.42,-1.854,-7.985
7.44,-2.009,-6.898
7.46,-2.136,-5.969
7.48,-2.229,-5.55
7.5,-2.35,-5.485
7.52,-2.461,-5.288
7.54,-2.562,-4.765
7.56,-2.652,-4.254
7.58,-2.732,-3.757
7.6,-2.802,-3.259
7.62,-2.862,-2.749
7.64,-2.912,-2.225
7.66,-2.952,-1.702
7.68,-2.98,-1.191
7.7,-2.999,-0.694
7.72,-3.008,-0.183
7.74,-3.007,0.353
7.76,-2.994,0.903
7.78,-2.97,1.466
7.8,-2.936,2.042
7.82,-2.889,2.618
7.84,-2.831,3.207
7.86,-2.761,3.822
7.88,-2.678,4.464
7.9,-2.582,5.118
7.92,-2.474,5.786
7.94,-2.351,6.493
7.96,-2.215,7.252
7.98,-2.062,8.037
8,-1.893,8.823
8.02,-1.709,9.543
8.04,-1.51,10.171
8.06,-1.301,10.812
8.08,-1.081,11.493
8.1,-0.84,12.134
8.12,-0.591,12.553
8.14,-0.335,12.566
8.16,-0.08,12.095
8.18,0.157,11.428
8.2,0.369,10.852
8.22,0.587,10.276
8.24,0.792,9.386
8.26,0.968,8.063
8.28,1.115,6.532
8.3,1.232,4.883
8.32,1.312,3.155
8.34,1.357,1.427
8.36,1.368,-0.288
8.38,1.346,-2.003
8.4,1.288,-3.691
8.42,1.197,-5.275
8.44,1.074,-6.702
8.46,0.927,-7.959
8.48,0.754,-9.032
8.5,0.562,-9.896
8.52,0.355,-10.498
8.54,0.138,-10.852
8.56,-0.082,-10.956
8.58,-0.303,-10.825
8.6,-0.518,-10.459
8.62,-0.724,-9.883
8.64,-0.916,-9.163
8.66,-1.092,-7.933
8.68,-1.25,-6.493
8.7,-1.341,-5.38
8.72,-1.445,-4.739
8.74,-1.543,-4.176
8.76,-1.618,-3.207
8.78,-1.67,-2.121
8.8,-1.703,-1.034
8.82,-1.712,0.039
8.84,-1.7,1.1
8.86,-1.668,2.147
8.88,-1.615,3.207
8.9,-1.539,4.254
8.92,-1.444,5.262
8.94,-1.329,6.244
8.96,-1.194,7.199
8.98,-1.04,8.09
9,-0.869,8.862
9.02,-0.683,9.516
9.04,-0.487,9.975
9.06,-0.28,10.249
9.08,-0.075,10.276
9.1,0.135,10.053
9.12,0.331,9.687
9.14,0.52,8.94
9.16,0.702,7.998
9.18,0.837,7.016
9.2,0.974,6.061
9.22,1.09,4.987
9.24,1.177,3.547
9.26,1.233,1.99
9.28,1.257,0.393
9.3,1.249,-1.217
9.32,1.208,-2.801
9.34,1.136,-4.359
9.36,1.034,-5.851
9.38,0.9,-7.239
9.4,0.741,-8.456
9.42,0.559,-9.49
9.44,0.36,-10.315
9.46,0.143,-10.891
9.48,-0.08,-11.218
9.5,-0.308,-11.297
9.52,-0.536,-11.153
9.54,-0.757,-10.799
9.56,-0.969,-10.276
9.58,-1.17,-9.621
9.6,-1.356,-8.836
9.62,-1.525,-7.422
9.64,-1.674,-5.995
9.66,-1.742,-5.118
9.68,-1.858,-4.778
9.7,-1.956,-4.398
9.72,-2.034,-3.299
9.74,-2.094,-2.225
9.76,-2.116,-1.348
9.78,-2.141,-0.641
9.8,-2.149,0.079
9.82,-2.138,0.969
9.84,-2.11,1.859
9.86,-2.064,2.762
9.88,-2,3.691
9.9,-1.916,4.634
9.92,-1.814,5.616
9.94,-1.693,6.624
9.96,-1.549,7.579
9.98,-1.387,8.482
10,-1.211,9.372
10.02,-1.013,10.249
10.04,-0.798,11.035
10.06,-0.57,11.585
10.08,-0.33,11.598
10.1,-0.091,11.441
10.12,0.115,11.297
10.14,0.358,11.218
10.16,0.576,10.681
10.18,0.793,9.647
10.2,0.961,8.652
10.22,1.131,7.618
10.24,1.277,6.453
10.26,1.392,4.922
10.28,1.475,3.246
10.3,1.524,1.479
10.32,1.535,-0.327
10.34,1.51,-2.121
10.36,1.45,-3.901
10.38,1.354,-5.668
10.4,1.222,-7.33
10.42,1.057,-8.823
10.44,0.867,-10.132
10.46,0.65,-11.244
10.48,0.413,-12.134
10.5,0.162,-12.737
10.52,-0.101,-13.051
10.54,-0.364,-13.09
10.56,-0.627,-12.881
10.58,-0.883,-12.475
10.6,-1.128,-11.899
10.62,-1.36,-10.891
10.64,-1.577,-9.569
10.66,-1.74,-8.495
10.68,-1.896,-7.749
10.7,-2.061,-7.265
10.72,-2.187,-6.715
10.74,-2.322,-6.165
10.76,-2.441,-5.629
10.78,-2.546,-4.909
10.8,-2.637,-4.202
10.82,-2.714,-3.521
10.84,-2.777,-2.867
10.86,-2.829,-2.212
10.88,-2.867,-1.479
10.9,-2.89,-0.759
10.92,-2.893,-0.17
10.94,-2.893,0.288
10.96,-2.884,0.72
10.98,-2.865,1.23
11,-2.835,1.767
11.02,-2.794,2.317
11.04,-2.743,2.867
11.06,-2.68,3.416
11.08,-2.606,3.979
11.1,-2.521,4.555
11.12,-2.424,5.144
11.14,-2.315,5.733
11.16,-2.194,6.336
11.18,-2.062,6.964
11.2,-1.916,7.579
11.22,-1.758,8.116
11.24,-1.59,8.378
11.26,-1.415,8.652
11.28,-1.253,9.124
11.3,-1.056,9.804
11.32,-0.855,10.42
11.34,-0.638,10.668
11.36,-0.421,10.642
11.38,-0.209,10.158
11.4,-0.006,9.595
11.42,0.167,9.124
11.44,0.355,8.639
11.46,0.525,7.893
11.48,0.672,6.754
11.5,0.796,5.511
11.52,0.894,4.176
11.54,0.964,2.788
11.56,1.005,1.401
11.58,1.019,0.052
11.6,1.007,-1.244
11.62,0.969,-2.474
11.64,0.906,-3.6
11.66,0.823,-4.595
11.68,0.721,-5.459
11.7,0.603,-6.178
11.72,0.471,-6.728
11.74,0.331,-7.108
11.76,0.185,-7.304
11.78,0.036,-7.317
11.8,-0.11,-7.134
11.82,-0.251,-6.794
11.84,-0.383,-6.322
11.86,-0.506,-5.707
11.88,-0.614,-4.974
11.9,-0.705,-4.163
11.92,-0.781,-3.312
11.94,-0.839,-2.422
11.96,-0.878,-1.492
11.98,-0.898,-0.563
12,-0.9,0.353
12.02,-0.884,1.244
12.04,-0.85,2.094
12.06,-0.8,2.906
12.08,-0.734,3.665
12.1,-0.652,4.359
12.12,-0.558,4.961
12.14,-0.452,5.472
12.16,-0.338,5.864
12.18,-0.215,6.113
12.2,-0.091,6.192
12.22,0.035,6.126
12.24,0.156,5.904
12.26,0.273,5.524
12.28,0.379,4.987
12.3,0.474,4.294
12.32,0.553,3.482
12.34,0.614,2.566
12.36,0.657,1.597
12.38,0.679,0.576
12.4,0.68,-0.484
12.42,0.66,-1.571
12.44,0.617,-2.631
12.46,0.553,-3.626
12.48,0.471,-4.542
12.5,0.371,-5.38
12.52,0.254,-6.126
12.54,0.124,-6.728
12.56,-0.017,-7.16
12.58,-0.165,-7.422
12.6,-0.316,-7.514
12.62,-0.468,-7.448
12.64,-0.616,-7.226
12.66,-0.759,-6.859
12.68,-0.892,-6.362
12.7,-1.015,-5.76
12.72,-1.123,-5.079
12.74,-1.219,-4.333
12.76,-1.297,-3.443
12.78,-1.36,-2.199
12.8,-1.395,-0.929
12.82,-1.385,-0.026
12.84,-1.384,0.524
12.86,-1.374,1.1
12.88,-1.343,1.977
12.9,-1.294,2.932
12.92,-1.227,3.901
12.94,-1.139,4.883
12.96,-1.03,5.812
12.98,-0.905,6.676
13,-0.763,7.487
13.02,-0.605,8.247
13.04,-0.432,8.888
13.06,-0.247,9.359
13.08,-0.055,9.582
13.1,0.141,9.608
13.12,0.33,9.477
13.14,0.522,9.202
13.16,0.702,8.731
13.18,0.873,7.71
13.2,1.026,6.427
13.22,1.123,5.288
13.24,1.224,4.424
13.26,1.31,3.534
13.28,1.37,2.265
13.3,1.401,0.851
13.32,1.404,-0.602
13.34,1.378,-2.081
13.36,1.321,-3.587
13.38,1.235,-5.053
13.4,1.117,-6.44
13.42,0.975,-7.736
13.44,0.807,-8.927
13.46,0.616,-9.988
13.48,0.405,-10.852
13.5,0.179,-11.506
13.52,-0.058,-11.938
13.54,-0.302,-12.148
13.56,-0.547,-12.161
13.58,-0.79,-12.017
13.6,-1.029,-11.729
13.62,-1.261,-11.297
13.64,-1.483,-10.76
13.66,-1.692,-10.105
13.68,-1.89,-8.98
13.7,-2.067,-7.919
13.72,-2.185,-7.396
13.74,-2.347,-7.37
13.76,-2.498,-7.317
13.78,-2.639,-6.833
13.8,-2.771,-6.336
13.82,-2.893,-5.799
13.84,-3.003,-5.262
13.86,-3.102,-4.634
13.88,-3.193,-4.163
13.9,-3.259,-3.953
13.92,-3.346,-3.914
13.94,-3.424,-3.822
13.96,-3.498,-3.495
13.98,-3.566,-3.129
14,-3.624,-2.736
14.02,-3.674,-2.369
14.04,-3.718,-2.029
14.06,-3.756,-1.689
14.08,-3.786,-1.348
14.1,-3.809,-1.021
14.12,-3.826,-0.681
14.14,-3.837,-0.327
14.16,-3.839,-0.026
14.18,-3.836,0.183
14.2,-3.831,0.327
14.22,-3.823,0.471
14.24,-3.812,0.615
14.26,-3.798,0.733
14.28,-3.782,0.825
14.3,-3.765,0.877
14.32,-3.746,0.877
14.34,-3.729,0.825
14.36,-3.713,0.746
14.38,-3.699,0.641
14.4,-3.687,0.497
14.42,-3.679,0.314
14.44,-3.674,0.105
14.46,-3.674,-0.131
14.48,-3.679,-0.419
14.5,-3.69,-0.746
14.52,-3.709,-1.086
14.54,-3.734,-1.427
14.56,-3.765,-1.78
14.58,-3.804,-2.16
14.6,-3.852,-2.539
14.62,-3.907,-2.893
14.64,-3.968,-3.207
14.66,-4.035,-3.495
14.68,-4.108,-3.744
14.7,-4.186,-3.953
14.72,-4.266,-4.11
14.74,-4.351,-4.202
14.76,-4.436,-4.215
14.78,-4.521,-4.15
14.8,-4.602,-4.019
14.82,-4.683,-3.796
14.84,-4.756,-3.482
14.86,-4.822,-3.076
14.88,-4.88,-2.618
14.9,-4.928,-2.094
14.92,-4.965,-1.505
14.94,-4.989,-0.864
14.96,-5,-0.196
14.98,-4.997,0.484
15,-4.981,1.178
15.02,-4.95,1.859
15.04,-4.906,2.513
15.06,-4.849,3.129
15.08,-4.78,3.718
15.1,-4.7,4.267
15.12,-4.609,4.765
15.14,-4.508,5.197
15.16,-4.4,5.55
15.18,-4.285,5.851
15.2,-4.166,6.126
15.22,-4.04,6.362
15.24,-3.91,6.545
15.26,-3.778,6.676
15.28,-3.643,6.794
15.3,-3.506,6.912
15.32,-3.366,7.029
15.34,-3.225,7.147
15.36,-3.08,7.265
15.38,-2.934,7.37
15.4,-2.785,7.487
15.42,-2.636,7.671
15.44,-2.48,7.933
15.46,-2.318,8.194
15.48,-2.15,8.338
15.5,-1.982,8.181
15.52,-1.816,8.221
15.54,-1.671,8.77
15.56,-1.475,9.621
15.58,-1.271,10.315
15.6,-1.062,10.551
15.62,-0.847,10.708
15.64,-0.633,10.76
15.66,-0.415,10.577
15.68,-0.203,10.053
15.7,-0.008,9.477
15.72,0.167,9.084
15.74,0.353,8.718
15.76,0.526,8.077
15.78,0.679,7.095
15.8,0.811,6.021
15.82,0.92,4.883
15.84,1.007,3.691
15.86,1.068,2.474
15.88,1.106,1.283
15.9,1.118,0.131
15.92,1.111,-0.982
15.94,1.079,-2.029
15.96,1.027,-2.998
15.98,0.958,-3.862
16,0.872,-4.634
16.02,0.771,-5.301
16.04,0.658,-5.838
16.06,0.536,-6.231
16.08,0.407,-6.466
16.1,0.275,-6.558
16.12,0.143,-6.506
16.14,0.013,-6.309
16.16,-0.112,-5.969
16.18,-0.228,-5.511
16.2,-0.333,-4.804
16.22,-0.427,-4.045
16.24,-0.489,-3.416
16.26,-0.558,-2.906
16.28,-0.613,-2.369
16.3,-0.652,-1.649
16.32,-0.679,-0.942
16.34,-0.69,-0.275
16.36,-0.688,0.353
16.38,-0.675,0.929
16.4,-0.65,1.453
16.42,-0.616,1.911
16.44,-0.573,2.291
16.46,-0.523,2.605
16.48,-0.468,2.841
16.5,-0.408,2.985
16.52,-0.347,2.971
16.54,-0.286,2.827
16.56,-0.234,2.657
16.58,-0.182,2.435
16.6,-0.132,2.16
16.62,-0.096,1.833
16.64,-0.061,1.505
16.66,-0.033,1.139
16.68,-0.014,0.681
16.7,-0.006,0.209
16.72,-0.006,-0.236
16.74,-0.016,-0.641
16.76,-0.033,-0.995
16.78,-0.057,-1.296
16.8,-0.085,-1.532
16.82,-0.119,-1.702
16.84,-0.154,-1.793
16.86,-0.192,-1.82
16.88,-0.228,-1.78
16.9,-0.264,-1.649
16.92,-0.295,-1.44
16.94,-0.322,-1.165
16.96,-0.342,-0.851
16.98,-0.357,-0.497
17,-0.363,-0.118
17.02,-0.361,0.301
17.04,-0.352,0.746
17.06,-0.331,1.191
17.08,-0.303,1.61
17.1,-0.267,2.016
17.12,-0.223,2.409
17.14,-0.17,2.775
17.16,-0.112,3.089
17.18,-0.046,3.338
17.2,0.024,3.534
17.22,0.096,3.652
17.24,0.171,3.678
17.26,0.245,3.613
17.28,0.316,3.469
17.3,0.385,3.233
17.32,0.448,2.893
17.34,0.501,2.461
17.36,0.547,1.977
17.38,0.581,1.44
17.4,0.605,0.838
17.42,0.616,0.196
17.44,0.613,-0.471
17.46,0.597,-1.152
17.48,0.567,-1.846
17.5,0.523,-2.526
17.52,0.465,-3.181
17.54,0.396,-3.822
17.56,0.313,-4.438
17.58,0.217,-4.987
17.6,0.112,-5.445
17.62,-0.002,-5.838
17.64,-0.123,-6.152
17.66,-0.25,-6.362
17.68,-0.379,-6.466
17.7,-0.509,-6.48
17.72,-0.639,-6.388
17.74,-0.767,-6.192
17.76,-0.888,-5.917
17.78,-1.004,-5.589
17.8,-1.112,-5.184
17.82,-1.213,-4.686
17.84,-1.301,-4.123
17.86,-1.378,-3.521
17.88,-1.442,-2.88
17.9,-1.494,-2.186
17.92,-1.53,-1.466
17.94,-1.552,-0.707
17.96,-1.56,0.34
17.98,-1.549,1.584
18,-1.492,2.579
18.02,-1.429,3.155
18.04,-1.37,3.6
18.06,-1.293,4.32
18.08,-1.197,5.21
18.1,-1.084,6.087
18.12,-0.953,6.938
18.14,-0.806,7.736
18.16,-0.642,8.469
18.18,-0.467,9.098
18.2,-0.276,9.595
18.22,-0.08,9.896
18.24,0.123,10.001
18.26,0.322,9.922
18.28,0.522,9.66
18.3,0.712,9.202
18.32,0.892,8.535
18.34,1.056,7.474
18.36,1.202,6.087
18.38,1.299,4.804
18.4,1.379,3.809
18.42,1.455,2.906
18.44,1.503,1.728
18.46,1.524,0.34
18.48,1.517,-1.073
18.5,1.481,-2.487
18.52,1.417,-3.901
18.54,1.326,-5.301
18.56,1.205,-6.676
18.58,1.057,-7.959
18.6,0.884,-9.111
18.62,0.691,-10.145
18.64,0.478,-11.022
18.66,0.247,-11.689
18.68,0.006,-12.134
18.7,-0.24,-12.383
18.72,-0.492,-12.449
18.74,-0.741,-12.331
18.76,-0.986,-12.069
18.78,-1.225,-11.702
18.8,-1.456,-11.257
18.82,-1.676,-10.76
18.84,-1.887,-10.132
18.86,-2.086,-9.307
18.88,-2.262,-8.469
18.9,-2.417,-8.011
18.92,-2.571,-7.959
18.94,-2.738,-7.985
18.96,-2.897,-7.815
18.98,-3.05,-7.265
19,-3.197,-6.61
19.02,-3.31,-6.283
19.04,-3.431,-6.375
19.06,-3.57,-6.558
19.08,-3.701,-6.48
19.1,-3.826,-6.283
19.12,-3.952,-6.113
19.14,-4.073,-5.877
19.16,-4.188,-5.563
19.18,-4.296,-5.21
19.2,-4.397,-4.804
19.22,-4.489,-4.346
19.24,-4.571,-3.848
19.26,-4.643,-3.312
19.28,-4.705,-2.723
19.3,-4.753,-2.094
19.32,-4.788,-1.466
19.34,-4.811,-0.851
19.36,-4.822,-0.249
19.38,-4.821,0.34
19.4,-4.808,0.903
19.42,-4.785,1.427
19.44,-4.75,1.898
19.46,-4.708,2.304
19.48,-4.657,2.644
19.5,-4.601,2.932
19.52,-4.54,3.142
19.54,-4.474,3.272
19.56,-4.408,3.338
19.58,-4.34,3.338
19.6,-4.273,3.272
19.62,-4.208,3.129
19.64,-4.147,2.932
19.66,-4.09,2.697
19.68,-4.039,2.422
19.7,-3.993,2.107
19.72,-3.954,1.741
19.74,-3.922,1.348
19.76,-3.9,0.942
19.78,-3.885,0.524
19.8,-3.878,0.105
19.82,-3.881,-0.301
19.84,-3.891,-0.681
19.86,-3.908,-1.047
19.88,-3.933,-1.401
19.9,-3.965,-1.715
19.92,-4.002,-1.977
19.94,-4.045,-2.186
19.96,-4.09,-2.343
19.98,-4.139,-2.461
20,-4.189,-2.539
20.02,-4.241,-2.566
20.04,-4.293,-2.526
20.06,-4.343,-2.435
20.08,-4.39,-2.291
20.1,-4.436,-2.094
20.12,-4.475,-1.833
20.14,-4.51,-1.518
20.16,-4.536,-1.178
20.18,-4.557,-0.798
20.2,-4.569,-0.393
20.22,-4.573,0.026
20.24,-4.568,0.445
20.26,-4.555,0.877
20.28,-4.533,1.335
20.3,-4.502,1.78
20.32,-4.461,2.186
20.34,-4.414,2.553
20.36,-4.359,2.906
20.38,-4.298,3.246
20.4,-4.229,3.547
20.42,-4.155,3.809
20.44,-4.076,4.045
20.46,-3.993,4.254
20.48,-3.905,4.411
20.5,-3.815,4.529
20.52,-3.724,4.621
20.54,-3.63,4.686
20.56,-3.536,4.712
20.58,-3.442,4.725
20.6,-3.347,4.739
20.62,-3.252,4.752
20.64,-3.157,4.752
20.66,-3.061,4.739
20.68,-2.967,4.686
20.7,-2.873,4.634
20.72,-2.783,4.634
20.74,-2.689,4.66
20.76,-2.595,4.608
20.78,-2.502,4.568
20.8,-2.417,4.673
20.82,-2.318,4.686
20.84,-2.218,4.66
20.86,-2.139,4.778
20.88,-2.037,5.184
20.9,-1.926,5.629
20.92,-1.81,5.773
20.94,-1.692,5.995
20.96,-1.579,6.48
20.98,-1.437,7.147
21,-1.286,7.775
21.02,-1.126,8.247
21.04,-0.957,8.705
21.06,-0.778,9.124
21.08,-0.591,9.49
21.1,-0.397,9.765
21.12,-0.198,9.844
21.14,0.002,9.778
21.16,0.192,9.621
21.18,0.386,9.386
21.2,0.572,8.98
21.22,0.748,8.351
21.24,0.908,7.579
21.26,1.052,6.663
21.28,1.177,5.629
21.3,1.279,4.451
21.32,1.357,3.299
21.34,1.406,2.265
21.36,1.445,1.296
21.38,1.462,0.275
21.4,1.456,-0.851
21.42,1.428,-1.963
21.44,1.378,-3.05
21.46,1.305,-4.136
21.48,1.213,-5.197
21.5,1.096,-6.152
21.52,0.963,-6.951
21.54,0.817,-7.618
21.56,0.658,-8.207
21.58,0.487,-8.692
21.6,0.308,-9.019
21.62,0.124,-9.189
21.64,-0.061,-9.228
21.66,-0.247,-9.124
21.68,-0.429,-8.888
21.7,-0.603,-8.548
21.72,-0.771,-8.142
21.74,-0.93,-7.697
