Time (s) Auto,Angle (rad) Minus pi/4,Angular Velocity (rad/s) Minus pi/4
0,0,
0.02,0,0
0.04,0,-0.026
0.06,-0.002,-0.026
0.08,-0.002,-0.013
0.1,-0.002,0
0.12,-0.002,0
0.14,-0.002,0
0.16,-0.002,-0.013
0.18,-0.002,-0.013
0.2,-0.003,0
0.22,-0.002,0.013
0.24,-0.002,0.013
0.26,-0.002,0
0.28,-0.002,0.013
0.3,-0.002,0.026
0.32,0,0.026
0.34,0,0.013
0.36,0,0
0.38,0,0
0.4,0,-0.013
0.42,0,-0.026
0.44,-0.002,-0.026
0.46,-0.002,-0.013
0.48,-0.002,0
0.5,-0.002,0
0.52,-0.002,0
0.54,-0.002,0
0.56,-0.002,-0.013
0.58,-0.002,-0.013
0.6,-0.003,0
0.62,-0.002,0.013
0.64,-0.002,0.013
0.66,-0.002,0.013
0.68,-0.002,0.026
0.7,0,0.026
0.72,0,0.013
0.74,0,0
0.76,0,0
0.78,0,-0.013
0.8,0,-0.026
0.82,-0.002,-0.026
0.84,-0.002,-0.013
0.86,-0.002,0
0.88,-0.002,-0.013
0.9,-0.002,-0.013
0.92,-0.003,0
0.94,-0.002,0
0.96,-0.002,0
0.98,-0.003,0
1,-0.002,0.013
1.02,-0.002,0.013
1.04,-0.002,0.013
1.06,-0.002,0.026
1.08,0,0.026
1.1,0,0.013
1.12,0,0.026
1.14,0,0.092
1.16,0.003,0.17
1.18,0.008,0.262
1.2,0.013,0.38
1.22,0.022,0.537
1.24,0.035,0.694
1.26,0.05,0.838
1.28,0.068,0.995
1.3,0.09,1.165
1.32,0.115,1.322
1.34,0.143,1.44
1.36,0.173,1.558
1.38,0.204,1.662
1.4,0.24,1.715
1.42,0.275,1.715
1.44,0.308,1.676
1.46,0.342,1.623
1.48,0.374,1.518
1.5,0.404,1.361
1.52,0.429,1.191
1.54,0.451,0.982
1.56,0.47,0.72
1.58,0.481,0.406
1.6,0.485,0.079
1.62,0.484,-0.249
1.64,0.476,-0.615
1.66,0.46,-1.021
1.68,0.435,-1.453
1.7,0.402,-1.898
1.72,0.36,-2.343
1.74,0.308,-2.801
1.76,0.248,-3.246
1.78,0.178,-3.691
1.8,0.101,-4.11
1.82,0.013,-4.49
1.84,-0.08,-4.817
1.86,-0.181,-5.066
1.88,-0.284,-5.223
1.9,-0.391,-5.262
1.92,-0.496,-5.197
1.94,-0.6,-5.013
1.96,-0.699,-4.699
1.98,-0.79,-4.241
2,-0.87,-3.665
2.02,-0.938,-2.998
2.04,-0.991,-2.251
2.06,-1.029,-1.427
2.08,-1.049,-0.55
2.1,-1.051,0.353
2.12,-1.035,1.283
2.14,-1.001,2.212
2.16,-0.946,3.129
2.18,-0.875,3.992
2.2,-0.785,4.804
2.22,-0.682,5.563
2.24,-0.562,6.218
2.26,-0.43,6.768
2.28,-0.291,7.213
2.3,-0.141,7.553
2.32,0.014,7.762
2.34,0.171,7.841
2.36,0.328,7.815
2.38,0.485,7.684
2.4,0.638,7.448
2.42,0.784,7.147
2.44,0.924,6.807
2.46,1.057,6.414
2.48,1.181,5.982
2.5,1.296,5.537
2.52,1.403,5.105
2.54,1.5,4.66
2.56,1.59,4.189
2.58,1.668,3.718
2.6,1.737,3.246
2.62,1.799,2.775
2.64,1.849,2.291
2.66,1.89,1.793
2.68,1.921,1.283
2.7,1.942,0.733
2.72,1.951,0.157
2.74,1.948,-0.432
2.76,1.934,-1.06
2.78,1.907,-1.741
2.8,1.865,-2.474
2.82,1.808,-3.246
2.84,1.736,-4.071
2.86,1.646,-4.961
2.88,1.538,-5.89
2.9,1.411,-6.833
2.92,1.264,-7.802
2.94,1.1,-8.77
2.96,0.913,-9.687
2.98,0.71,-10.511
3,0.492,-11.231
3.02,0.259,-11.807
3.04,0.016,-12.161
3.06,-0.231,-12.278
3.08,-0.478,-12.148
3.1,-0.721,-11.755
3.12,-0.952,-11.061
3.14,-1.167,-10.079
3.16,-1.359,-8.888
3.18,-1.524,-7.527
3.2,-1.662,-6.021
3.22,-1.767,-4.385
3.24,-1.838,-2.67
3.26,-1.874,-0.929
3.28,-1.876,0.838
3.3,-1.841,2.618
3.32,-1.77,4.372
3.34,-1.665,6.074
3.36,-1.527,7.71
3.38,-1.356,9.242
3.4,-1.155,10.616
3.42,-0.928,11.794
3.44,-0.68,12.763
3.46,-0.415,13.47
3.48,-0.137,13.888
3.5,0.145,14.046
3.52,0.427,13.993
3.54,0.707,13.758
3.56,0.98,13.378
3.58,1.243,12.933
3.6,1.497,12.488
3.62,1.742,12.043
3.64,1.979,11.611
3.66,2.205,11.231
3.68,2.427,10.93
3.7,2.642,10.708
3.72,2.854,10.537
3.74,3.063,10.42
3.76,3.27,10.315
3.78,3.476,10.197
3.8,3.679,10.053
3.82,3.878,9.883
3.84,4.075,9.66
3.86,4.266,9.333
3.88,4.45,8.888
3.9,4.623,8.325
3.92,4.785,7.631
3.94,4.931,6.781
3.96,5.058,5.786
3.98,5.163,4.699
4,5.246,3.521
4.02,5.306,2.278
4.04,5.338,1.008
4.06,5.345,-0.223
4.08,5.328,-1.388
4.1,5.289,-2.487
4.12,5.228,-3.482
4.14,5.148,-4.372
4.16,5.052,-5.131
4.18,4.94,-5.747
4.2,4.819,-6.205
4.22,4.69,-6.506
4.24,4.557,-6.689
4.26,4.422,-6.754
4.28,4.285,-6.702
4.3,4.152,-6.532
4.32,4.023,-6.283
4.34,3.9,-5.995
4.36,3.782,-5.668
4.38,3.673,-5.301
4.4,3.57,-4.909
4.42,3.476,-4.516
4.44,3.39,-4.123
4.46,3.311,-3.731
4.48,3.241,-3.338
4.5,3.178,-2.971
4.52,3.123,-2.618
4.54,3.072,-2.278
4.56,3.032,-1.95
4.58,2.996,-1.636
4.6,2.966,-1.348
4.62,2.942,-1.086
4.64,2.923,-0.864
4.66,2.908,-0.681
4.68,2.897,-0.511
4.7,2.887,-0.38
4.72,2.882,-0.301
4.74,2.876,-0.249
4.76,2.871,-0.236
4.78,2.868,-0.249
4.8,2.862,-0.314
4.82,2.856,-0.419
4.84,2.846,-0.563
4.86,2.834,-0.759
4.88,2.816,-0.982
4.9,2.794,-1.244
4.92,2.768,-1.558
4.94,2.733,-1.924
4.96,2.691,-2.33
4.98,2.641,-2.775
5,2.581,-3.272
5.02,2.51,-3.822
5.04,2.428,-4.424
5.06,2.334,-5.079
5.08,2.226,-5.773
5.1,2.103,-6.506
5.12,1.967,-7.291
5.14,1.813,-8.116
5.16,1.641,-8.954
5.18,1.455,-9.778
5.2,1.25,-10.577
5.22,1.03,-11.31
5.24,0.796,-11.938
5.26,0.551,-12.422
5.28,0.297,-12.71
5.3,0.039,-12.763
5.32,-0.217,-12.566
5.34,-0.467,-12.121
5.36,-0.705,-11.401
5.38,-0.927,-10.42
5.4,-1.125,-9.202
5.42,-1.297,-7.789
5.44,-1.439,-6.218
5.46,-1.547,-4.529
5.48,-1.621,-2.775
5.5,-1.659,-0.982
5.52,-1.66,0.825
5.54,-1.626,2.605
5.56,-1.555,4.333
5.58,-1.451,5.995
5.6,-1.315,7.566
5.62,-1.147,8.993
5.64,-0.952,10.21
5.66,-0.735,11.205
5.68,-0.501,11.951
5.7,-0.253,12.435
5.72,-1.50E-15,12.645
5.74,0.256,12.619
5.76,0.507,12.383
5.78,0.754,11.964
5.8,0.988,11.428
5.82,1.211,10.825
5.84,1.422,10.184
5.86,1.619,9.503
5.88,1.802,8.823
5.9,1.971,8.155
5.92,2.128,7.514
5.94,2.271,6.885
5.96,2.403,6.296
5.98,2.523,5.733
6,2.633,5.184
6.02,2.73,4.66
6.04,2.818,4.163
6.06,2.897,3.691
6.08,2.966,3.207
6.1,3.025,2.736
6.12,3.074,2.304
6.14,3.116,1.911
6.16,3.151,1.532
6.18,3.178,1.165
6.2,3.197,0.838
6.22,3.211,0.55
6.24,3.219,0.288
6.26,3.222,0.065
6.28,3.22,-0.105
6.3,3.217,-0.236
6.32,3.211,-0.327
6.34,3.203,-0.38
6.36,3.195,-0.38
6.38,3.187,-0.34
6.4,3.181,-0.275
6.42,3.176,-0.17
6.44,3.173,-0.039
6.46,3.175,0.131
6.48,3.178,0.327
6.5,3.187,0.537
6.52,3.2,0.772
6.54,3.217,1.034
6.56,3.241,1.322
6.58,3.27,1.623
6.6,3.305,1.924
6.62,3.347,2.238
6.64,3.394,2.579
6.66,3.449,2.932
6.68,3.512,3.299
6.7,3.581,3.639
6.72,3.658,3.966
6.74,3.74,4.307
6.76,3.83,4.634
6.78,3.927,4.935
6.8,4.028,5.171
6.82,4.134,5.367
6.84,4.243,5.511
6.86,4.356,5.576
6.88,4.467,5.55
6.9,4.579,5.419
6.92,4.686,5.197
6.94,4.788,4.856
6.96,4.882,4.398
6.98,4.965,3.835
7,5.036,3.181
7.02,5.094,2.435
7.04,5.135,1.597
7.06,5.158,0.707
7.08,5.163,-0.196
7.1,5.151,-1.113
7.12,5.119,-2.016
7.14,5.069,-2.88
7.16,5.003,-3.704
7.18,4.921,-4.477
7.2,4.822,-5.171
7.22,4.712,-5.773
7.24,4.591,-6.27
7.26,4.459,-6.676
7.28,4.323,-6.977
7.3,4.18,-7.173
7.32,4.034,-7.291
7.34,3.888,-7.33
7.36,3.74,-7.304
7.38,3.594,-7.239
7.4,3.451,-7.16
7.42,3.308,-7.082
7.44,3.167,-7.003
7.46,3.028,-6.912
7.48,2.89,-6.833
7.5,2.755,-6.794
7.52,2.62,-6.781
7.54,2.483,-6.794
7.56,2.348,-6.833
7.58,2.212,-6.925
7.6,2.072,-7.069
7.62,1.929,-7.252
7.64,1.783,-7.461
7.66,1.63,-7.697
7.68,1.475,-7.946
7.7,1.313,-8.194
7.72,1.147,-8.443
7.74,0.975,-8.679
7.76,0.8,-8.875
7.78,0.619,-8.993
7.8,0.438,-9.006
7.82,0.258,-8.927
7.84,0.08,-8.744
7.86,-0.094,-8.443
7.88,-0.259,-8.011
7.9,-0.416,-7.448
7.92,-0.559,-6.781
7.94,-0.688,-6.021
7.96,-0.801,-5.184
7.98,-0.897,-4.28
8,-0.972,-3.338
8.02,-1.03,-2.369
8.04,-1.068,-1.414
8.06,-1.085,-0.484
8.08,-1.087,0.38
8.1,-1.07,1.191
8.12,-1.038,1.937
8.14,-0.991,2.592
8.16,-0.933,3.168
8.18,-0.864,3.652
8.2,-0.785,4.045
8.22,-0.701,4.32
8.24,-0.611,4.49
8.26,-0.52,4.581
8.28,-0.427,4.595
8.3,-0.335,4.516
8.32,-0.245,4.346
8.34,-0.16,4.11
8.36,-0.08,3.835
8.38,-0.006,3.534
8.4,0.061,3.22
8.42,0.123,2.906
8.44,0.178,2.579
8.46,0.226,2.238
8.48,0.267,1.898
8.5,0.302,1.584
8.52,0.33,1.296
8.54,0.353,1.021
8.56,0.371,0.772
8.58,0.383,0.563
8.6,0.393,0.38
8.62,0.399,0.209
8.64,0.401,0.079
8.66,0.401,-0.013
8.68,0.401,-0.092
8.7,0.397,-0.17
8.72,0.393,-0.236
8.74,0.388,-0.275
8.76,0.382,-0.301
8.78,0.375,-0.314
8.8,0.369,-0.327
8.82,0.363,-0.34
8.84,0.355,-0.367
8.86,0.349,-0.393
8.88,0.339,-0.432
8.9,0.331,-0.484
8.92,0.32,-0.537
8.94,0.309,-0.615
8.96,0.297,-0.707
8.98,0.281,-0.825
9,0.264,-0.956
9.02,0.243,-1.1
9.04,0.22,-1.257
9.06,0.193,-1.44
9.08,0.163,-1.649
9.1,0.127,-1.859
9.12,0.088,-2.055
9.14,0.046,-2.265
9.16,-0.002,-2.487
9.18,-0.055,-2.697
9.2,-0.11,-2.88
9.22,-0.17,-3.05
9.24,-0.232,-3.194
9.26,-0.298,-3.286
9.28,-0.364,-3.325
9.3,-0.432,-3.312
9.32,-0.498,-3.233
9.34,-0.562,-3.063
9.36,-0.622,-2.814
9.38,-0.675,-2.487
9.4,-0.723,-2.094
9.42,-0.76,-1.636
9.44,-0.789,-1.113
9.46,-0.806,-0.55
9.48,-0.811,0.052
9.5,-0.804,0.681
9.52,-0.784,1.322
9.54,-0.751,1.963
9.56,-0.705,2.592
9.58,-0.647,3.207
9.6,-0.576,3.796
9.62,-0.495,4.333
9.64,-0.402,4.804
9.66,-0.302,5.21
9.68,-0.193,5.537
9.7,-0.079,5.786
9.72,0.039,5.956
9.74,0.16,6.048
9.76,0.283,6.048
9.78,0.404,5.956
9.8,0.522,5.799
9.82,0.636,5.589
9.84,0.746,5.315
9.86,0.85,4.987
9.88,0.946,4.634
9.9,1.035,4.254
9.92,1.117,3.848
9.94,1.189,3.416
9.96,1.253,2.958
9.98,1.308,2.487
10,1.352,1.99
10.02,1.389,1.479
10.04,1.412,0.956
10.06,1.426,0.393
10.08,1.429,-0.196
10.1,1.418,-0.812
10.12,1.396,-1.44
10.14,1.362,-2.107
10.16,1.313,-2.814
10.18,1.249,-3.547
10.2,1.172,-4.32
10.22,1.078,-5.118
10.24,0.966,-5.93
10.26,0.84,-6.715
10.28,0.697,-7.487
10.3,0.54,-8.221
10.32,0.368,-8.862
10.34,0.184,-9.399
10.36,-0.009,-9.791
10.38,-0.21,-10.027
10.4,-0.413,-10.053
10.42,-0.616,-9.857
10.44,-0.811,-9.451
10.46,-0.996,-8.823
10.48,-1.167,-7.998
10.5,-1.318,-6.99
10.52,-1.448,-5.838
10.54,-1.554,-4.568
10.56,-1.632,-3.181
10.58,-1.682,-1.728
10.6,-1.701,-0.236
10.62,-1.692,1.283
10.64,-1.651,2.801
10.66,-1.579,4.307
10.68,-1.478,5.773
10.7,-1.348,7.173
10.72,-1.189,8.482
10.74,-1.007,9.647
10.76,-0.801,10.629
10.78,-0.578,11.401
10.8,-0.342,11.951
10.82,-0.097,12.291
10.84,0.152,12.422
10.86,0.402,12.357
10.88,0.649,12.148
10.9,0.889,11.846
10.92,1.123,11.493
10.94,1.349,11.1
10.96,1.568,10.695
10.98,1.777,10.302
11,1.979,9.948
11.02,2.174,9.66
11.04,2.364,9.438
11.06,2.551,9.294
11.08,2.735,9.215
11.1,2.919,9.189
11.12,3.102,9.215
11.14,3.286,9.268
11.16,3.473,9.333
11.18,3.66,9.386
11.2,3.848,9.412
11.22,4.037,9.386
11.24,4.225,9.268
11.26,4.409,9.045
11.28,4.588,8.679
11.3,4.76,8.155
11.32,4.917,7.474
11.34,5.06,6.65
11.36,5.185,5.681
11.38,5.289,4.568
11.4,5.369,3.351
11.42,5.424,2.068
11.44,5.452,0.759
11.46,5.454,-0.55
11.48,5.43,-1.806
11.5,5.38,-2.985
11.52,5.309,-4.058
11.54,5.217,-5.013
11.56,5.107,-5.838
11.58,4.981,-6.519
11.6,4.844,-7.055
11.62,4.697,-7.435
11.64,4.544,-7.671
11.66,4.389,-7.762
11.68,4.232,-7.749
11.7,4.078,-7.645
11.72,3.925,-7.461
11.74,3.778,-7.213
11.76,3.636,-6.912
11.78,3.501,-6.584
11.8,3.373,-6.257
11.82,3.252,-5.943
11.84,3.135,-5.642
11.86,3.025,-5.354
11.88,2.922,-5.092
11.9,2.823,-4.869
11.92,2.727,-4.673
11.94,2.636,-4.503
11.96,2.548,-4.385
11.98,2.461,-4.32
12,2.375,-4.28
12.02,2.29,-4.267
12.04,2.205,-4.307
12.06,2.119,-4.411
12.08,2.029,-4.581
12.1,1.937,-4.804
12.12,1.838,-5.066
12.14,1.734,-5.38
12.16,1.624,-5.747
12.18,1.505,-6.178
12.2,1.378,-6.663
12.22,1.239,-7.186
12.24,1.09,-7.736
12.26,0.93,-8.286
12.28,0.759,-8.81
12.3,0.576,-9.281
12.32,0.386,-9.687
12.34,0.188,-10.001
12.36,-0.016,-10.184
12.38,-0.221,-10.21
12.4,-0.426,-10.079
12.42,-0.627,-9.804
12.44,-0.82,-9.372
12.46,-1.004,-8.77
12.48,-1.173,-8.011
12.5,-1.326,-7.108
12.52,-1.459,-6.087
12.54,-1.571,-4.974
12.56,-1.659,-3.783
12.58,-1.723,-2.526
12.6,-1.761,-1.217
12.62,-1.772,0.118
12.64,-1.756,1.466
12.66,-1.714,2.827
12.68,-1.643,4.176
12.7,-1.546,5.498
12.72,-1.423,6.768
12.74,-1.274,7.972
12.76,-1.103,9.058
12.78,-0.909,9.975
12.8,-0.701,10.708
12.82,-0.479,11.244
12.84,-0.248,11.585
12.86,-0.013,11.716
12.88,0.223,11.676
12.9,0.456,11.493
12.92,0.685,11.205
12.94,0.905,10.839
12.96,1.118,10.433
12.98,1.323,10.014
13,1.519,9.595
13.02,1.706,9.215
13.04,1.887,8.875
13.06,2.061,8.587
13.08,2.229,8.364
13.1,2.394,8.221
13.12,2.557,8.142
13.14,2.719,8.116
13.16,2.881,8.155
13.18,3.044,8.247
13.2,3.211,8.378
13.22,3.379,8.535
13.24,3.552,8.705
13.26,3.728,8.862
13.28,3.907,8.967
13.3,4.087,9.006
13.32,4.268,8.967
13.34,4.447,8.81
13.36,4.623,8.508
13.38,4.789,8.05
13.4,4.946,7.435
13.42,5.089,6.65
13.44,5.215,5.694
13.46,5.319,4.621
13.48,5.4,3.443
13.5,5.459,2.173
13.52,5.488,0.825
13.54,5.492,-0.524
13.56,5.466,-1.82
13.58,5.418,-3.05
13.6,5.344,-4.202
13.62,5.248,-5.262
13.64,5.132,-6.178
13.66,4.998,-6.938
13.68,4.852,-7.54
13.7,4.695,-7.998
13.72,4.53,-8.312
13.74,4.361,-8.482
13.76,4.189,-8.535
13.78,4.018,-8.495
13.8,3.848,-8.378
13.82,3.682,-8.194
13.84,3.52,-7.972
13.86,3.363,-7.749
13.88,3.211,-7.527
13.9,3.061,-7.317
13.92,2.919,-7.134
13.94,2.777,-6.99
13.96,2.639,-6.885
13.98,2.502,-6.807
14,2.367,-6.781
14.02,2.232,-6.807
14.04,2.095,-6.885
14.06,1.957,-7.003
14.08,1.816,-7.173
14.1,1.671,-7.396
14.12,1.521,-7.645
14.14,1.365,-7.906
14.16,1.205,-8.181
14.18,1.038,-8.469
14.2,0.866,-8.731
14.22,0.688,-8.94
14.24,0.507,-9.071
14.26,0.324,-9.111
14.28,0.141,-9.045
14.3,-0.039,-8.862
14.32,-0.215,-8.561
14.34,-0.383,-8.142
14.36,-0.542,-7.605
14.38,-0.69,-6.951
14.4,-0.822,-6.178
14.42,-0.938,-5.328
14.44,-1.035,-4.438
14.46,-1.115,-3.521
14.48,-1.177,-2.592
14.5,-1.219,-1.636
14.52,-1.243,-0.694
14.54,-1.246,0.209
14.56,-1.233,1.06
14.58,-1.203,1.846
14.6,-1.158,2.579
14.62,-1.1,3.246
14.64,-1.027,3.862
14.66,-0.944,4.411
14.68,-0.85,4.869
14.7,-0.748,5.223
14.72,-0.639,5.485
14.74,-0.528,5.668
14.76,-0.412,5.773
14.78,-0.295,5.786
14.8,-0.179,5.707
14.82,-0.066,5.576
14.84,0.044,5.393
14.86,0.151,5.144
14.88,0.251,4.843
14.9,0.344,4.516
14.92,0.432,4.176
14.94,0.512,3.822
14.96,0.584,3.456
14.98,0.65,3.089
15,0.708,2.71
15.02,0.759,2.33
15.04,0.801,1.977
15.06,0.837,1.636
15.08,0.867,1.296
15.1,0.889,0.969
15.12,0.905,0.654
15.14,0.916,0.353
15.16,0.919,0.052
15.18,0.917,-0.249
15.2,0.909,-0.537
15.22,0.895,-0.825
15.24,0.877,-1.1
15.26,0.851,-1.388
15.28,0.822,-1.689
15.3,0.784,-1.99
15.32,0.741,-2.304
15.34,0.693,-2.618
15.36,0.636,-2.932
15.38,0.575,-3.233
15.4,0.507,-3.534
15.42,0.434,-3.835
15.44,0.353,-4.11
15.46,0.269,-4.359
15.48,0.179,-4.581
15.5,0.085,-4.765
15.52,-0.013,-4.896
15.54,-0.112,-4.987
15.56,-0.212,-5.04
15.58,-0.314,-5.027
15.6,-0.415,-4.935
15.62,-0.512,-4.765
15.64,-0.606,-4.516
15.66,-0.694,-4.189
15.68,-0.774,-3.796
15.7,-0.847,-3.351
15.72,-0.909,-2.827
15.74,-0.961,-2.225
15.76,-0.999,-1.571
15.78,-1.024,-0.877
15.8,-1.035,-0.157
15.82,-1.03,0.576
15.84,-1.012,1.309
15.86,-0.979,2.055
15.88,-0.93,2.801
15.9,-0.866,3.521
15.92,-0.789,4.189
15.94,-0.697,4.804
15.96,-0.595,5.354
15.98,-0.482,5.812
16,-0.361,6.178
16.02,-0.234,6.453
16.04,-0.102,6.65
16.06,0.033,6.754
16.08,0.17,6.768
16.1,0.305,6.689
16.12,0.438,6.532
16.14,0.567,6.309
16.16,0.691,6.048
16.18,0.809,5.76
16.2,0.922,5.432
16.22,1.027,5.066
16.24,1.125,4.66
16.26,1.214,4.254
16.28,1.294,3.848
16.3,1.368,3.443
16.32,1.433,3.024
16.34,1.489,2.592
16.36,1.536,2.147
16.38,1.576,1.689
16.4,1.604,1.217
16.42,1.624,0.733
16.44,1.634,0.236
16.46,1.634,-0.301
16.48,1.623,-0.864
16.5,1.599,-1.453
16.52,1.565,-2.068
16.54,1.517,-2.723
16.56,1.456,-3.43
16.58,1.381,-4.176
16.6,1.29,-4.961
16.62,1.183,-5.786
16.64,1.059,-6.624
16.66,0.917,-7.448
16.68,0.76,-8.247
16.7,0.587,-9.006
16.72,0.399,-9.673
16.74,0.198,-10.197
16.76,-0.011,-10.564
16.78,-0.226,-10.747
16.8,-0.445,-10.721
16.82,-0.658,-10.459
16.84,-0.866,-9.961
16.86,-1.06,-9.255
16.88,-1.238,-8.338
16.9,-1.396,-7.252
16.92,-1.53,-6.008
16.94,-1.638,-4.647
16.96,-1.717,-3.194
16.98,-1.767,-1.676
17,-1.784,-0.118
17.02,-1.772,1.466
17.04,-1.726,3.037
17.06,-1.649,4.595
17.08,-1.543,6.126
17.1,-1.404,7.592
17.12,-1.236,8.954
17.14,-1.045,10.158
17.16,-0.828,11.166
17.18,-0.594,11.964
17.2,-0.347,12.514
17.22,-0.09,12.841
17.24,0.17,12.959
17.26,0.43,12.894
17.28,0.688,12.684
17.3,0.939,12.357
17.32,1.183,11.964
17.34,1.418,11.558
17.36,1.645,11.153
17.38,1.865,10.786
17.4,2.075,10.472
17.42,2.282,10.223
17.44,2.483,10.053
17.46,2.683,9.961
17.48,2.881,9.948
17.5,3.08,9.975
17.52,3.28,10.04
17.54,3.481,10.132
17.56,3.685,10.223
17.58,3.891,10.263
17.6,4.097,10.236
17.62,4.301,10.132
17.64,4.503,9.909
17.66,4.7,9.516
17.68,4.887,8.94
17.7,5.06,8.181
17.72,5.217,7.226
17.74,5.352,6.1
17.76,5.462,4.843
17.78,5.546,3.482
17.8,5.603,2.029
17.82,5.628,0.537
17.84,5.623,-0.929
17.86,5.59,-2.33
17.88,5.529,-3.665
17.9,5.443,-4.896
17.92,5.331,-5.995
17.94,5.201,-6.938
17.96,5.052,-7.723
17.98,4.89,-8.338
18,4.716,-8.77
18.02,4.536,-9.032
18.04,4.353,-9.15
18.06,4.169,-9.163
18.08,3.985,-9.071
18.1,3.804,-8.901
18.12,3.629,-8.666
18.14,3.457,-8.404
18.16,3.292,-8.155
18.18,3.132,-7.919
18.2,2.975,-7.71
18.22,2.824,-7.54
18.24,2.675,-7.422
18.26,2.527,-7.357
18.28,2.381,-7.317
18.3,2.235,-7.33
18.32,2.089,-7.422
18.34,1.94,-7.566
18.36,1.786,-7.749
18.38,1.63,-7.959
18.4,1.469,-8.207
18.42,1.302,-8.482
18.44,1.129,-8.757
18.46,0.952,-9.019
18.48,0.768,-9.228
18.5,0.581,-9.372
18.52,0.393,-9.438
18.54,0.203,-9.399
18.56,0.014,-9.228
18.58,-0.168,-8.927
18.6,-0.344,-8.495
18.62,-0.511,-7.933
18.64,-0.663,-7.252
18.66,-0.801,-6.48
18.68,-0.924,-5.629
18.7,-1.027,-4.699
18.72,-1.112,-3.731
18.74,-1.177,-2.749
18.76,-1.222,-1.754
18.78,-1.247,-0.772
18.8,-1.252,0.157
18.82,-1.239,1.021
18.84,-1.211,1.833
18.86,-1.166,2.605
18.88,-1.106,3.299
18.9,-1.032,3.901
18.92,-0.949,4.424
18.94,-0.855,4.869
18.96,-0.752,5.223
18.98,-0.644,5.472
19,-0.533,5.629
19.02,-0.418,5.694
19.04,-0.303,5.668
19.06,-0.19,5.563
19.08,-0.08,5.406
19.1,0.027,5.197
19.12,0.129,4.935
19.14,0.225,4.621
19.16,0.314,4.28
19.18,0.396,3.927
19.2,0.471,3.547
19.22,0.539,3.155
19.24,0.597,2.775
19.26,0.649,2.422
19.28,0.694,2.068
19.3,0.732,1.702
19.32,0.762,1.361
19.34,0.785,1.047
19.36,0.804,0.746
19.38,0.815,0.445
19.4,0.822,0.157
19.42,0.822,-0.105
19.44,0.817,-0.367
19.46,0.807,-0.615
19.48,0.792,-0.864
19.5,0.773,-1.1
19.52,0.748,-1.335
19.54,0.719,-1.571
19.56,0.685,-1.806
19.58,0.647,-2.042
19.6,0.603,-2.278
19.62,0.556,-2.513
19.64,0.503,-2.749
19.66,0.446,-2.985
19.68,0.383,-3.207
19.7,0.317,-3.403
19.72,0.247,-3.574
19.74,0.174,-3.744
19.76,0.097,-3.901
19.78,0.017,-4.032
19.8,-0.064,-4.11
19.82,-0.148,-4.15
19.84,-0.231,-4.163
19.86,-0.314,-4.136
19.88,-0.397,-4.058
19.9,-0.478,-3.914
19.92,-0.554,-3.718
19.94,-0.627,-3.482
19.96,-0.694,-3.181
19.98,-0.756,-2.814
20,-0.807,-2.382
20.02,-0.851,-1.898
20.04,-0.884,-1.374
20.06,-0.906,-0.812
20.08,-0.917,-0.209
20.1,-0.916,0.419
20.12,-0.9,1.06
20.14,-0.873,1.702
20.16,-0.833,2.33
20.18,-0.779,2.945
20.2,-0.715,3.521
20.22,-0.638,4.071
20.24,-0.551,4.568
20.26,-0.454,5
20.28,-0.35,5.367
20.3,-0.239,5.642
20.32,-0.123,5.838
20.34,-0.005,5.956
20.36,0.116,6.008
20.38,0.237,5.982
20.4,0.357,5.877
20.42,0.473,5.72
20.44,0.586,5.524
20.46,0.694,5.275
20.48,0.798,4.974
20.5,0.894,4.647
20.52,0.983,4.294
20.54,1.067,3.914
20.56,1.14,3.508
20.58,1.206,3.102
20.6,1.264,2.697
20.62,1.315,2.265
20.64,1.356,1.806
20.66,1.387,1.322
20.68,1.409,0.838
20.7,1.42,0.34
20.72,1.423,-0.17
20.74,1.414,-0.707
20.76,1.395,-1.27
20.78,1.363,-1.859
20.8,1.321,-2.5
20.82,1.264,-3.168
20.84,1.194,-3.875
20.86,1.111,-4.608
20.88,1.01,-5.367
20.9,0.895,-6.126
20.92,0.765,-6.872
20.94,0.62,-7.592
20.96,0.46,-8.247
20.98,0.289,-8.81
21,0.107,-9.255
21.02,-0.083,-9.569
21.04,-0.278,-9.713
21.06,-0.474,-9.66
21.08,-0.668,-9.412
21.1,-0.853,-8.967
21.12,-1.029,-8.325
21.14,-1.189,-7.487
21.16,-1.33,-6.48
21.18,-1.45,-5.341
21.2,-1.546,-4.084
21.22,-1.615,-2.736
21.24,-1.656,-1.335
21.26,-1.668,0.092
21.28,-1.652,1.545
21.3,-1.607,3.024
21.32,-1.532,4.477
21.34,-1.426,5.877
21.36,-1.296,7.199
21.38,-1.137,8.417
21.4,-0.957,9.503
21.42,-0.756,10.42
21.44,-0.537,11.14
21.46,-0.306,11.637
21.48,-0.069,11.925
21.5,0.173,12.03
21.52,0.415,11.964
21.54,0.653,11.755
21.56,0.886,11.454
21.58,1.112,11.1
21.6,1.33,10.708
21.62,1.541,10.289
21.64,1.742,9.883
21.66,1.935,9.53
21.68,2.122,9.255
21.7,2.304,9.045
21.72,2.483,8.888
21.74,2.659,8.783
21.76,2.834,8.731
21.78,3.008,8.744
21.8,3.182,8.81
21.82,3.36,8.901
21.84,3.539,8.993
21.86,3.72,9.058
21.88,3.902,9.084
21.9,4.084,9.045
21.92,4.265,8.927
